tick,day,slot,selected_tick,selected_resident,event_key,event_kind,previous_event_key,next_event_key,scrubber_position,replay_row_visible,same_loop_reference
0,1,0,0,Nia,v58-loop-event-00000,talk,v58-loop-event-00000:move,v58-loop-event-00001:offer_help,0.0,True,v58_consolidated_playable_consequence_loop
1,1,1,1,Ari,v58-loop-event-00001,offer_help,v58-loop-event-00000:talk,v58-loop-event-00002:borrow_tool,0.000198,True,v58_consolidated_playable_consequence_loop
2,1,2,2,Fay,v58-loop-event-00002,borrow_tool,v58-loop-event-00001:offer_help,v58-loop-event-00003:return_tool,0.000397,True,v58_consolidated_playable_consequence_loop
3,1,3,3,Milo,v58-loop-event-00003,return_tool,v58-loop-event-00002:borrow_tool,v58-loop-event-00004:interrupt_work,0.000595,True,v58_consolidated_playable_consequence_loop
4,1,4,4,Sera,v58-loop-event-00004,interrupt_work,v58-loop-event-00003:return_tool,v58-loop-event-00005:wait_offscreen,0.000794,True,v58_consolidated_playable_consequence_loop
5,1,5,5,Tovan,v58-loop-event-00005,wait_offscreen,v58-loop-event-00004:interrupt_work,v58-loop-event-00006:repair_trust,0.000992,True,v58_consolidated_playable_consequence_loop
6,1,6,6,Nia,v58-loop-event-00006,repair_trust,v58-loop-event-00005:wait_offscreen,v58-loop-event-00007:move,0.001191,True,v58_consolidated_playable_consequence_loop
7,1,7,7,Ari,v58-loop-event-00007,move,v58-loop-event-00006:repair_trust,v58-loop-event-00008:talk,0.001389,True,v58_consolidated_playable_consequence_loop
8,1,8,8,Fay,v58-loop-event-00008,talk,v58-loop-event-00007:move,v58-loop-event-00009:offer_help,0.001588,True,v58_consolidated_playable_consequence_loop
9,1,9,9,Milo,v58-loop-event-00009,offer_help,v58-loop-event-00008:talk,v58-loop-event-00010:borrow_tool,0.001786,True,v58_consolidated_playable_consequence_loop
10,1,10,10,Sera,v58-loop-event-00010,borrow_tool,v58-loop-event-00009:offer_help,v58-loop-event-00011:return_tool,0.001985,True,v58_consolidated_playable_consequence_loop
11,1,11,11,Tovan,v58-loop-event-00011,return_tool,v58-loop-event-00010:borrow_tool,v58-loop-event-00012:interrupt_work,0.002183,True,v58_consolidated_playable_consequence_loop
12,1,12,12,Nia,v58-loop-event-00012,interrupt_work,v58-loop-event-00011:return_tool,v58-loop-event-00013:wait_offscreen,0.002381,True,v58_consolidated_playable_consequence_loop
13,1,13,13,Ari,v58-loop-event-00013,wait_offscreen,v58-loop-event-00012:interrupt_work,v58-loop-event-00014:repair_trust,0.00258,True,v58_consolidated_playable_consequence_loop
14,1,14,14,Fay,v58-loop-event-00014,repair_trust,v58-loop-event-00013:wait_offscreen,v58-loop-event-00015:move,0.002778,True,v58_consolidated_playable_consequence_loop
15,1,15,15,Milo,v58-loop-event-00015,move,v58-loop-event-00014:repair_trust,v58-loop-event-00016:talk,0.002977,True,v58_consolidated_playable_consequence_loop
16,1,16,16,Sera,v58-loop-event-00016,talk,v58-loop-event-00015:move,v58-loop-event-00017:offer_help,0.003175,True,v58_consolidated_playable_consequence_loop
17,1,17,17,Tovan,v58-loop-event-00017,offer_help,v58-loop-event-00016:talk,v58-loop-event-00018:borrow_tool,0.003374,True,v58_consolidated_playable_consequence_loop
18,2,0,18,Nia,v58-loop-event-00018,return_tool,v58-loop-event-00017:borrow_tool,v58-loop-event-00019:interrupt_work,0.003572,True,v58_consolidated_playable_consequence_loop
19,2,1,19,Ari,v58-loop-event-00019,interrupt_work,v58-loop-event-00018:return_tool,v58-loop-event-00020:wait_offscreen,0.003771,True,v58_consolidated_playable_consequence_loop
20,2,2,20,Fay,v58-loop-event-00020,wait_offscreen,v58-loop-event-00019:interrupt_work,v58-loop-event-00021:repair_trust,0.003969,True,v58_consolidated_playable_consequence_loop
21,2,3,21,Milo,v58-loop-event-00021,repair_trust,v58-loop-event-00020:wait_offscreen,v58-loop-event-00022:move,0.004167,True,v58_consolidated_playable_consequence_loop
22,2,4,22,Sera,v58-loop-event-00022,move,v58-loop-event-00021:repair_trust,v58-loop-event-00023:talk,0.004366,True,v58_consolidated_playable_consequence_loop
23,2,5,23,Tovan,v58-loop-event-00023,talk,v58-loop-event-00022:move,v58-loop-event-00024:offer_help,0.004564,True,v58_consolidated_playable_consequence_loop
24,2,6,24,Nia,v58-loop-event-00024,offer_help,v58-loop-event-00023:talk,v58-loop-event-00025:borrow_tool,0.004763,True,v58_consolidated_playable_consequence_loop
25,2,7,25,Ari,v58-loop-event-00025,borrow_tool,v58-loop-event-00024:offer_help,v58-loop-event-00026:return_tool,0.004961,True,v58_consolidated_playable_consequence_loop
26,2,8,26,Fay,v58-loop-event-00026,return_tool,v58-loop-event-00025:borrow_tool,v58-loop-event-00027:interrupt_work,0.00516,True,v58_consolidated_playable_consequence_loop
27,2,9,27,Milo,v58-loop-event-00027,interrupt_work,v58-loop-event-00026:return_tool,v58-loop-event-00028:wait_offscreen,0.005358,True,v58_consolidated_playable_consequence_loop
28,2,10,28,Sera,v58-loop-event-00028,wait_offscreen,v58-loop-event-00027:interrupt_work,v58-loop-event-00029:repair_trust,0.005557,True,v58_consolidated_playable_consequence_loop
29,2,11,29,Tovan,v58-loop-event-00029,repair_trust,v58-loop-event-00028:wait_offscreen,v58-loop-event-00030:move,0.005755,True,v58_consolidated_playable_consequence_loop
30,2,12,30,Nia,v58-loop-event-00030,move,v58-loop-event-00029:repair_trust,v58-loop-event-00031:talk,0.005954,True,v58_consolidated_playable_consequence_loop
31,2,13,31,Ari,v58-loop-event-00031,talk,v58-loop-event-00030:move,v58-loop-event-00032:offer_help,0.006152,True,v58_consolidated_playable_consequence_loop
32,2,14,32,Fay,v58-loop-event-00032,offer_help,v58-loop-event-00031:talk,v58-loop-event-00033:borrow_tool,0.00635,True,v58_consolidated_playable_consequence_loop
33,2,15,33,Milo,v58-loop-event-00033,borrow_tool,v58-loop-event-00032:offer_help,v58-loop-event-00034:return_tool,0.006549,True,v58_consolidated_playable_consequence_loop
34,2,16,34,Sera,v58-loop-event-00034,return_tool,v58-loop-event-00033:borrow_tool,v58-loop-event-00035:interrupt_work,0.006747,True,v58_consolidated_playable_consequence_loop
35,2,17,35,Tovan,v58-loop-event-00035,interrupt_work,v58-loop-event-00034:return_tool,v58-loop-event-00036:wait_offscreen,0.006946,True,v58_consolidated_playable_consequence_loop
36,3,0,36,Nia,v58-loop-event-00036,repair_trust,v58-loop-event-00035:wait_offscreen,v58-loop-event-00037:move,0.007144,True,v58_consolidated_playable_consequence_loop
37,3,1,37,Ari,v58-loop-event-00037,move,v58-loop-event-00036:repair_trust,v58-loop-event-00038:talk,0.007343,True,v58_consolidated_playable_consequence_loop
38,3,2,38,Fay,v58-loop-event-00038,talk,v58-loop-event-00037:move,v58-loop-event-00039:offer_help,0.007541,True,v58_consolidated_playable_consequence_loop
39,3,3,39,Milo,v58-loop-event-00039,offer_help,v58-loop-event-00038:talk,v58-loop-event-00040:borrow_tool,0.00774,True,v58_consolidated_playable_consequence_loop
40,3,4,40,Sera,v58-loop-event-00040,borrow_tool,v58-loop-event-00039:offer_help,v58-loop-event-00041:return_tool,0.007938,True,v58_consolidated_playable_consequence_loop
41,3,5,41,Tovan,v58-loop-event-00041,return_tool,v58-loop-event-00040:borrow_tool,v58-loop-event-00042:interrupt_work,0.008137,True,v58_consolidated_playable_consequence_loop
42,3,6,42,Nia,v58-loop-event-00042,interrupt_work,v58-loop-event-00041:return_tool,v58-loop-event-00043:wait_offscreen,0.008335,True,v58_consolidated_playable_consequence_loop
43,3,7,43,Ari,v58-loop-event-00043,wait_offscreen,v58-loop-event-00042:interrupt_work,v58-loop-event-00044:repair_trust,0.008533,True,v58_consolidated_playable_consequence_loop
44,3,8,44,Fay,v58-loop-event-00044,repair_trust,v58-loop-event-00043:wait_offscreen,v58-loop-event-00045:move,0.008732,True,v58_consolidated_playable_consequence_loop
45,3,9,45,Milo,v58-loop-event-00045,move,v58-loop-event-00044:repair_trust,v58-loop-event-00046:talk,0.00893,True,v58_consolidated_playable_consequence_loop
46,3,10,46,Sera,v58-loop-event-00046,talk,v58-loop-event-00045:move,v58-loop-event-00047:offer_help,0.009129,True,v58_consolidated_playable_consequence_loop
47,3,11,47,Tovan,v58-loop-event-00047,offer_help,v58-loop-event-00046:talk,v58-loop-event-00048:borrow_tool,0.009327,True,v58_consolidated_playable_consequence_loop
48,3,12,48,Nia,v58-loop-event-00048,borrow_tool,v58-loop-event-00047:offer_help,v58-loop-event-00049:return_tool,0.009526,True,v58_consolidated_playable_consequence_loop
49,3,13,49,Ari,v58-loop-event-00049,return_tool,v58-loop-event-00048:borrow_tool,v58-loop-event-00050:interrupt_work,0.009724,True,v58_consolidated_playable_consequence_loop
50,3,14,50,Fay,v58-loop-event-00050,interrupt_work,v58-loop-event-00049:return_tool,v58-loop-event-00051:wait_offscreen,0.009923,True,v58_consolidated_playable_consequence_loop
51,3,15,51,Milo,v58-loop-event-00051,wait_offscreen,v58-loop-event-00050:interrupt_work,v58-loop-event-00052:repair_trust,0.010121,True,v58_consolidated_playable_consequence_loop
52,3,16,52,Sera,v58-loop-event-00052,repair_trust,v58-loop-event-00051:wait_offscreen,v58-loop-event-00053:move,0.01032,True,v58_consolidated_playable_consequence_loop
53,3,17,53,Tovan,v58-loop-event-00053,move,v58-loop-event-00052:repair_trust,v58-loop-event-00054:talk,0.010518,True,v58_consolidated_playable_consequence_loop
54,4,0,54,Nia,v58-loop-event-00054,offer_help,v58-loop-event-00053:talk,v58-loop-event-00055:borrow_tool,0.010716,True,v58_consolidated_playable_consequence_loop
55,4,1,55,Ari,v58-loop-event-00055,borrow_tool,v58-loop-event-00054:offer_help,v58-loop-event-00056:return_tool,0.010915,True,v58_consolidated_playable_consequence_loop
56,4,2,56,Fay,v58-loop-event-00056,return_tool,v58-loop-event-00055:borrow_tool,v58-loop-event-00057:interrupt_work,0.011113,True,v58_consolidated_playable_consequence_loop
57,4,3,57,Milo,v58-loop-event-00057,interrupt_work,v58-loop-event-00056:return_tool,v58-loop-event-00058:wait_offscreen,0.011312,True,v58_consolidated_playable_consequence_loop
58,4,4,58,Sera,v58-loop-event-00058,wait_offscreen,v58-loop-event-00057:interrupt_work,v58-loop-event-00059:repair_trust,0.01151,True,v58_consolidated_playable_consequence_loop
59,4,5,59,Tovan,v58-loop-event-00059,repair_trust,v58-loop-event-00058:wait_offscreen,v58-loop-event-00060:move,0.011709,True,v58_consolidated_playable_consequence_loop
60,4,6,60,Nia,v58-loop-event-00060,move,v58-loop-event-00059:repair_trust,v58-loop-event-00061:talk,0.011907,True,v58_consolidated_playable_consequence_loop
61,4,7,61,Ari,v58-loop-event-00061,talk,v58-loop-event-00060:move,v58-loop-event-00062:offer_help,0.012106,True,v58_consolidated_playable_consequence_loop
62,4,8,62,Fay,v58-loop-event-00062,offer_help,v58-loop-event-00061:talk,v58-loop-event-00063:borrow_tool,0.012304,True,v58_consolidated_playable_consequence_loop
63,4,9,63,Milo,v58-loop-event-00063,borrow_tool,v58-loop-event-00062:offer_help,v58-loop-event-00064:return_tool,0.012502,True,v58_consolidated_playable_consequence_loop
64,4,10,64,Sera,v58-loop-event-00064,return_tool,v58-loop-event-00063:borrow_tool,v58-loop-event-00065:interrupt_work,0.012701,True,v58_consolidated_playable_consequence_loop
65,4,11,65,Tovan,v58-loop-event-00065,interrupt_work,v58-loop-event-00064:return_tool,v58-loop-event-00066:wait_offscreen,0.012899,True,v58_consolidated_playable_consequence_loop
66,4,12,66,Nia,v58-loop-event-00066,wait_offscreen,v58-loop-event-00065:interrupt_work,v58-loop-event-00067:repair_trust,0.013098,True,v58_consolidated_playable_consequence_loop
67,4,13,67,Ari,v58-loop-event-00067,repair_trust,v58-loop-event-00066:wait_offscreen,v58-loop-event-00068:move,0.013296,True,v58_consolidated_playable_consequence_loop
68,4,14,68,Fay,v58-loop-event-00068,move,v58-loop-event-00067:repair_trust,v58-loop-event-00069:talk,0.013495,True,v58_consolidated_playable_consequence_loop
69,4,15,69,Milo,v58-loop-event-00069,talk,v58-loop-event-00068:move,v58-loop-event-00070:offer_help,0.013693,True,v58_consolidated_playable_consequence_loop
70,4,16,70,Sera,v58-loop-event-00070,offer_help,v58-loop-event-00069:talk,v58-loop-event-00071:borrow_tool,0.013892,True,v58_consolidated_playable_consequence_loop
71,4,17,71,Tovan,v58-loop-event-00071,borrow_tool,v58-loop-event-00070:offer_help,v58-loop-event-00072:return_tool,0.01409,True,v58_consolidated_playable_consequence_loop
72,5,0,72,Nia,v58-loop-event-00072,interrupt_work,v58-loop-event-00071:return_tool,v58-loop-event-00073:wait_offscreen,0.014289,True,v58_consolidated_playable_consequence_loop
73,5,1,73,Ari,v58-loop-event-00073,wait_offscreen,v58-loop-event-00072:interrupt_work,v58-loop-event-00074:repair_trust,0.014487,True,v58_consolidated_playable_consequence_loop
74,5,2,74,Fay,v58-loop-event-00074,repair_trust,v58-loop-event-00073:wait_offscreen,v58-loop-event-00075:move,0.014685,True,v58_consolidated_playable_consequence_loop
75,5,3,75,Milo,v58-loop-event-00075,move,v58-loop-event-00074:repair_trust,v58-loop-event-00076:talk,0.014884,True,v58_consolidated_playable_consequence_loop
76,5,4,76,Sera,v58-loop-event-00076,talk,v58-loop-event-00075:move,v58-loop-event-00077:offer_help,0.015082,True,v58_consolidated_playable_consequence_loop
77,5,5,77,Tovan,v58-loop-event-00077,offer_help,v58-loop-event-00076:talk,v58-loop-event-00078:borrow_tool,0.015281,True,v58_consolidated_playable_consequence_loop
78,5,6,78,Nia,v58-loop-event-00078,borrow_tool,v58-loop-event-00077:offer_help,v58-loop-event-00079:return_tool,0.015479,True,v58_consolidated_playable_consequence_loop
79,5,7,79,Ari,v58-loop-event-00079,return_tool,v58-loop-event-00078:borrow_tool,v58-loop-event-00080:interrupt_work,0.015678,True,v58_consolidated_playable_consequence_loop
80,5,8,80,Fay,v58-loop-event-00080,interrupt_work,v58-loop-event-00079:return_tool,v58-loop-event-00081:wait_offscreen,0.015876,True,v58_consolidated_playable_consequence_loop
81,5,9,81,Milo,v58-loop-event-00081,wait_offscreen,v58-loop-event-00080:interrupt_work,v58-loop-event-00082:repair_trust,0.016075,True,v58_consolidated_playable_consequence_loop
82,5,10,82,Sera,v58-loop-event-00082,repair_trust,v58-loop-event-00081:wait_offscreen,v58-loop-event-00083:move,0.016273,True,v58_consolidated_playable_consequence_loop
83,5,11,83,Tovan,v58-loop-event-00083,move,v58-loop-event-00082:repair_trust,v58-loop-event-00084:talk,0.016472,True,v58_consolidated_playable_consequence_loop
84,5,12,84,Nia,v58-loop-event-00084,talk,v58-loop-event-00083:move,v58-loop-event-00085:offer_help,0.01667,True,v58_consolidated_playable_consequence_loop
85,5,13,85,Ari,v58-loop-event-00085,offer_help,v58-loop-event-00084:talk,v58-loop-event-00086:borrow_tool,0.016868,True,v58_consolidated_playable_consequence_loop
86,5,14,86,Fay,v58-loop-event-00086,borrow_tool,v58-loop-event-00085:offer_help,v58-loop-event-00087:return_tool,0.017067,True,v58_consolidated_playable_consequence_loop
87,5,15,87,Milo,v58-loop-event-00087,return_tool,v58-loop-event-00086:borrow_tool,v58-loop-event-00088:interrupt_work,0.017265,True,v58_consolidated_playable_consequence_loop
88,5,16,88,Sera,v58-loop-event-00088,interrupt_work,v58-loop-event-00087:return_tool,v58-loop-event-00089:wait_offscreen,0.017464,True,v58_consolidated_playable_consequence_loop
89,5,17,89,Tovan,v58-loop-event-00089,wait_offscreen,v58-loop-event-00088:interrupt_work,v58-loop-event-00090:repair_trust,0.017662,True,v58_consolidated_playable_consequence_loop
90,6,0,90,Nia,v58-loop-event-00090,move,v58-loop-event-00089:repair_trust,v58-loop-event-00091:talk,0.017861,True,v58_consolidated_playable_consequence_loop
91,6,1,91,Ari,v58-loop-event-00091,talk,v58-loop-event-00090:move,v58-loop-event-00092:offer_help,0.018059,True,v58_consolidated_playable_consequence_loop
92,6,2,92,Fay,v58-loop-event-00092,offer_help,v58-loop-event-00091:talk,v58-loop-event-00093:borrow_tool,0.018258,True,v58_consolidated_playable_consequence_loop
93,6,3,93,Milo,v58-loop-event-00093,borrow_tool,v58-loop-event-00092:offer_help,v58-loop-event-00094:return_tool,0.018456,True,v58_consolidated_playable_consequence_loop
94,6,4,94,Sera,v58-loop-event-00094,return_tool,v58-loop-event-00093:borrow_tool,v58-loop-event-00095:interrupt_work,0.018654,True,v58_consolidated_playable_consequence_loop
95,6,5,95,Tovan,v58-loop-event-00095,interrupt_work,v58-loop-event-00094:return_tool,v58-loop-event-00096:wait_offscreen,0.018853,True,v58_consolidated_playable_consequence_loop
96,6,6,96,Nia,v58-loop-event-00096,wait_offscreen,v58-loop-event-00095:interrupt_work,v58-loop-event-00097:repair_trust,0.019051,True,v58_consolidated_playable_consequence_loop
97,6,7,97,Ari,v58-loop-event-00097,repair_trust,v58-loop-event-00096:wait_offscreen,v58-loop-event-00098:move,0.01925,True,v58_consolidated_playable_consequence_loop
98,6,8,98,Fay,v58-loop-event-00098,move,v58-loop-event-00097:repair_trust,v58-loop-event-00099:talk,0.019448,True,v58_consolidated_playable_consequence_loop
99,6,9,99,Milo,v58-loop-event-00099,talk,v58-loop-event-00098:move,v58-loop-event-00100:offer_help,0.019647,True,v58_consolidated_playable_consequence_loop
100,6,10,100,Sera,v58-loop-event-00100,offer_help,v58-loop-event-00099:talk,v58-loop-event-00101:borrow_tool,0.019845,True,v58_consolidated_playable_consequence_loop
101,6,11,101,Tovan,v58-loop-event-00101,borrow_tool,v58-loop-event-00100:offer_help,v58-loop-event-00102:return_tool,0.020044,True,v58_consolidated_playable_consequence_loop
102,6,12,102,Nia,v58-loop-event-00102,return_tool,v58-loop-event-00101:borrow_tool,v58-loop-event-00103:interrupt_work,0.020242,True,v58_consolidated_playable_consequence_loop
103,6,13,103,Ari,v58-loop-event-00103,interrupt_work,v58-loop-event-00102:return_tool,v58-loop-event-00104:wait_offscreen,0.020441,True,v58_consolidated_playable_consequence_loop
104,6,14,104,Fay,v58-loop-event-00104,wait_offscreen,v58-loop-event-00103:interrupt_work,v58-loop-event-00105:repair_trust,0.020639,True,v58_consolidated_playable_consequence_loop
105,6,15,105,Milo,v58-loop-event-00105,repair_trust,v58-loop-event-00104:wait_offscreen,v58-loop-event-00106:move,0.020837,True,v58_consolidated_playable_consequence_loop
106,6,16,106,Sera,v58-loop-event-00106,move,v58-loop-event-00105:repair_trust,v58-loop-event-00107:talk,0.021036,True,v58_consolidated_playable_consequence_loop
107,6,17,107,Tovan,v58-loop-event-00107,talk,v58-loop-event-00106:move,v58-loop-event-00108:offer_help,0.021234,True,v58_consolidated_playable_consequence_loop
108,7,0,108,Nia,v58-loop-event-00108,borrow_tool,v58-loop-event-00107:offer_help,v58-loop-event-00109:return_tool,0.021433,True,v58_consolidated_playable_consequence_loop
109,7,1,109,Ari,v58-loop-event-00109,return_tool,v58-loop-event-00108:borrow_tool,v58-loop-event-00110:interrupt_work,0.021631,True,v58_consolidated_playable_consequence_loop
110,7,2,110,Fay,v58-loop-event-00110,interrupt_work,v58-loop-event-00109:return_tool,v58-loop-event-00111:wait_offscreen,0.02183,True,v58_consolidated_playable_consequence_loop
111,7,3,111,Milo,v58-loop-event-00111,wait_offscreen,v58-loop-event-00110:interrupt_work,v58-loop-event-00112:repair_trust,0.022028,True,v58_consolidated_playable_consequence_loop
112,7,4,112,Sera,v58-loop-event-00112,repair_trust,v58-loop-event-00111:wait_offscreen,v58-loop-event-00113:move,0.022227,True,v58_consolidated_playable_consequence_loop
113,7,5,113,Tovan,v58-loop-event-00113,move,v58-loop-event-00112:repair_trust,v58-loop-event-00114:talk,0.022425,True,v58_consolidated_playable_consequence_loop
114,7,6,114,Nia,v58-loop-event-00114,talk,v58-loop-event-00113:move,v58-loop-event-00115:offer_help,0.022624,True,v58_consolidated_playable_consequence_loop
115,7,7,115,Ari,v58-loop-event-00115,offer_help,v58-loop-event-00114:talk,v58-loop-event-00116:borrow_tool,0.022822,True,v58_consolidated_playable_consequence_loop
116,7,8,116,Fay,v58-loop-event-00116,borrow_tool,v58-loop-event-00115:offer_help,v58-loop-event-00117:return_tool,0.02302,True,v58_consolidated_playable_consequence_loop
117,7,9,117,Milo,v58-loop-event-00117,return_tool,v58-loop-event-00116:borrow_tool,v58-loop-event-00118:interrupt_work,0.023219,True,v58_consolidated_playable_consequence_loop
118,7,10,118,Sera,v58-loop-event-00118,interrupt_work,v58-loop-event-00117:return_tool,v58-loop-event-00119:wait_offscreen,0.023417,True,v58_consolidated_playable_consequence_loop
119,7,11,119,Tovan,v58-loop-event-00119,wait_offscreen,v58-loop-event-00118:interrupt_work,v58-loop-event-00120:repair_trust,0.023616,True,v58_consolidated_playable_consequence_loop
120,7,12,120,Nia,v58-loop-event-00120,repair_trust,v58-loop-event-00119:wait_offscreen,v58-loop-event-00121:move,0.023814,True,v58_consolidated_playable_consequence_loop
121,7,13,121,Ari,v58-loop-event-00121,move,v58-loop-event-00120:repair_trust,v58-loop-event-00122:talk,0.024013,True,v58_consolidated_playable_consequence_loop
122,7,14,122,Fay,v58-loop-event-00122,talk,v58-loop-event-00121:move,v58-loop-event-00123:offer_help,0.024211,True,v58_consolidated_playable_consequence_loop
123,7,15,123,Milo,v58-loop-event-00123,offer_help,v58-loop-event-00122:talk,v58-loop-event-00124:borrow_tool,0.02441,True,v58_consolidated_playable_consequence_loop
124,7,16,124,Sera,v58-loop-event-00124,borrow_tool,v58-loop-event-00123:offer_help,v58-loop-event-00125:return_tool,0.024608,True,v58_consolidated_playable_consequence_loop
125,7,17,125,Tovan,v58-loop-event-00125,return_tool,v58-loop-event-00124:borrow_tool,v58-loop-event-00126:interrupt_work,0.024807,True,v58_consolidated_playable_consequence_loop
