tick,day,scene_id,agent,reaction_label,trust_in_avatar,guardedness,curiosity,boundary_pressure,body_marker,behavior_bound_to_reaction,reaction_persisted,private_workspace_sealed,reaction_state_score
0,1,v22-scene-d01,Melo,softens,0.648,0.346,0.53,0.26,faces avatar with lowered shoulders,1,1,1,1.0
1,1,v22-scene-d01,Melo,watching,0.648,0.346,0.53,0.26,keeps working while glancing up,1,1,1,1.0
2,1,v22-scene-d01,Melo,asks-space,0.652,0.362,0.524,0.7,turns-sideways and slows,1,1,1,1.0
3,1,v22-scene-d01,Melo,asks-space,0.628,0.392,0.536,0.7,turns-sideways and slows,1,1,1,1.0
4,1,v22-scene-d01,Melo,watching,0.646,0.392,0.536,0.26,keeps working while glancing up,1,1,1,1.0
5,1,v22-scene-d01,Melo,watching,0.646,0.392,0.554,0.26,keeps working while glancing up,1,1,1,1.0
6,1,v22-scene-d01,Melo,watching,0.656,0.392,0.572,0.26,keeps working while glancing up,1,1,1,1.0
7,1,v22-scene-d01,Melo,curious,0.666,0.392,0.59,0.26,leans toward object,1,1,1,1.0
8,1,v22-scene-d01,Melo,curious,0.666,0.392,0.608,0.18,leans toward object,1,1,1,1.0
9,1,v22-scene-d01,Sova,watching,0.57,0.32,0.45,0.18,keeps working while glancing up,1,1,1,1.0
10,1,v22-scene-d01,Keth,watching,0.59,0.34,0.508,0.18,keeps working while glancing up,1,1,1,1.0
11,1,v22-scene-d01,Keth,softens,0.608,0.326,0.508,0.26,faces avatar with lowered shoulders,1,1,1,1.0
12,1,v22-scene-d01,Keth,watching,0.608,0.326,0.526,0.26,keeps working while glancing up,1,1,1,1.0
13,1,v22-scene-d01,Keth,asks-space,0.612,0.342,0.52,0.7,turns-sideways and slows,1,1,1,1.0
14,1,v22-scene-d01,Keth,asks-space,0.598,0.372,0.532,0.7,turns-sideways and slows,1,1,1,1.0
15,1,v22-scene-d01,Keth,asks-space,0.574,0.402,0.544,0.7,turns-sideways and slows,1,1,1,1.0
16,2,v22-scene-d02,Keth,watching,0.574,0.402,0.544,0.26,keeps working while glancing up,1,0,1,0.8
17,2,v22-scene-d02,Keth,watching,0.574,0.402,0.562,0.26,keeps working while glancing up,1,1,1,1.0
18,2,v22-scene-d02,Keth,watching,0.592,0.402,0.562,0.18,keeps working while glancing up,1,1,1,1.0
19,2,v22-scene-d02,Sova,softens,0.598,0.306,0.45,0.18,faces avatar with lowered shoulders,1,1,1,1.0
20,2,v22-scene-d02,Sova,watching,0.608,0.306,0.468,0.18,keeps working while glancing up,1,1,1,1.0
21,2,v22-scene-d02,Sova,watching,0.608,0.306,0.486,0.18,keeps working while glancing up,1,1,1,1.0
22,2,v22-scene-d02,Sova,softens,0.636,0.292,0.486,0.18,faces avatar with lowered shoulders,1,1,1,1.0
23,2,v22-scene-d02,Sova,watching,0.636,0.292,0.504,0.18,keeps working while glancing up,1,1,1,1.0
24,2,v22-scene-d02,Keth,watching,0.592,0.402,0.562,0.18,keeps working while glancing up,1,1,1,1.0
25,2,v22-scene-d02,Keth,curious,0.592,0.402,0.58,0.18,leans toward object,1,1,1,1.0
26,2,v22-scene-d02,Keth,curious,0.602,0.402,0.598,0.26,leans toward object,1,1,1,1.0
27,2,v22-scene-d02,Keth,softens,0.63,0.388,0.598,0.26,faces avatar with lowered shoulders,1,1,1,1.0
28,2,v22-scene-d02,Keth,softens,0.63,0.374,0.598,0.26,faces avatar with lowered shoulders,1,1,1,1.0
29,2,v22-scene-d02,Keth,curious,0.64,0.374,0.616,0.26,leans toward object,1,1,1,1.0
30,2,v22-scene-d02,Keth,softens,0.658,0.36,0.616,0.26,faces avatar with lowered shoulders,1,1,1,1.0
31,2,v22-scene-d02,Keth,softens,0.676,0.346,0.616,0.26,faces avatar with lowered shoulders,1,1,1,1.0
32,3,v22-scene-d03,Keth,curious,0.662,0.376,0.616,0.48,leans toward object,1,1,1,1.0
33,3,v22-scene-d03,Keth,curious,0.672,0.376,0.616,0.18,leans toward object,1,1,1,1.0
34,3,v22-scene-d03,Keth,softens,0.69,0.362,0.616,0.18,faces avatar with lowered shoulders,1,1,1,1.0
35,3,v22-scene-d03,Keth,approaches,0.69,0.362,0.616,0.26,walks closer,1,1,1,1.0
36,3,v22-scene-d03,Keth,curious,0.69,0.362,0.634,0.26,leans toward object,1,1,1,1.0
37,3,v22-scene-d03,Keth,curious,0.69,0.362,0.634,0.26,leans toward object,1,1,1,1.0
38,3,v22-scene-d03,Keth,curious,0.7,0.362,0.634,0.26,leans toward object,1,1,1,1.0
39,3,v22-scene-d03,Keth,asks-space,0.686,0.392,0.646,0.7,turns-sideways and slows,1,1,1,1.0
40,3,v22-scene-d03,Keth,asks-space,0.672,0.422,0.658,0.7,turns-sideways and slows,1,1,1,1.0
41,3,v22-scene-d03,Keth,asks-space,0.666,0.438,0.652,0.7,turns-sideways and slows,1,1,1,1.0
42,3,v22-scene-d03,Keth,asks-space,0.652,0.468,0.664,0.7,turns-sideways and slows,1,1,1,1.0
43,3,v22-scene-d03,Keth,asks-space,0.628,0.498,0.658,0.7,turns-sideways and slows,1,1,1,1.0
44,3,v22-scene-d03,Keth,curious,0.628,0.498,0.676,0.26,leans toward object,1,1,1,1.0
45,3,v22-scene-d03,Keth,curious,0.628,0.498,0.676,0.26,leans toward object,1,1,1,1.0
46,3,v22-scene-d03,Keth,curious,0.638,0.498,0.694,0.18,leans toward object,1,1,1,1.0
47,3,v22-scene-d03,Keth,curious,0.648,0.498,0.694,0.18,leans toward object,1,1,1,1.0
48,4,v22-scene-d04,Keth,softens,0.676,0.484,0.694,0.18,faces avatar with lowered shoulders,1,1,1,1.0
49,4,v22-scene-d04,Keth,watching,0.676,0.484,0.694,0.18,keeps working while glancing up,1,1,1,1.0
50,4,v22-scene-d04,Keth,curious,0.676,0.484,0.712,0.18,leans toward object,1,1,1,1.0
51,4,v22-scene-d04,Keth,curious,0.676,0.484,0.712,0.26,leans toward object,1,1,1,1.0
52,4,v22-scene-d04,Keth,curious,0.686,0.484,0.712,0.26,leans toward object,1,1,1,1.0
53,4,v22-scene-d04,Keth,asks-space,0.672,0.514,0.724,0.7,turns-sideways and slows,1,1,1,1.0
54,4,v22-scene-d04,Keth,asks-space,0.648,0.544,0.736,0.7,turns-sideways and slows,1,1,1,1.0
55,4,v22-scene-d04,Keth,asks-space,0.634,0.574,0.748,0.7,turns-sideways and slows,1,1,1,1.0
56,4,v22-scene-d04,Keth,curious,0.634,0.574,0.748,0.26,leans toward object,1,1,1,1.0
57,4,v22-scene-d04,Keth,softens,0.634,0.56,0.748,0.26,faces avatar with lowered shoulders,1,0,1,0.8
58,4,v22-scene-d04,Keth,softens,0.652,0.546,0.748,0.26,faces avatar with lowered shoulders,1,1,1,1.0
59,4,v22-scene-d04,Keth,curious,0.662,0.546,0.748,0.18,leans toward object,1,1,1,1.0
60,4,v22-scene-d04,Keth,softens,0.69,0.532,0.748,0.18,faces avatar with lowered shoulders,1,1,1,1.0
61,4,v22-scene-d04,Keth,curious,0.69,0.532,0.748,0.18,leans toward object,1,1,1,1.0
62,4,v22-scene-d04,Keth,curious,0.7,0.532,0.766,0.18,leans toward object,1,1,1,1.0
63,4,v22-scene-d04,Keth,softens,0.718,0.518,0.766,0.18,faces avatar with lowered shoulders,1,1,1,1.0
64,5,v22-scene-d05,Keth,softens,0.736,0.504,0.766,0.18,faces avatar with lowered shoulders,1,1,1,1.0
65,5,v22-scene-d05,Keth,curious,0.746,0.504,0.766,0.18,leans toward object,1,1,1,1.0
66,5,v22-scene-d05,Keth,approaches,0.764,0.504,0.766,0.18,walks closer,1,1,1,1.0
67,5,v22-scene-d05,Keth,softens,0.782,0.49,0.766,0.18,faces avatar with lowered shoulders,1,1,1,1.0
68,5,v22-scene-d05,Keth,softens,0.81,0.476,0.766,0.18,faces avatar with lowered shoulders,1,1,1,1.0
69,5,v22-scene-d05,Keth,softens,0.828,0.462,0.766,0.18,faces avatar with lowered shoulders,1,1,1,1.0
70,5,v22-scene-d05,Keth,softens,0.846,0.448,0.766,0.18,faces avatar with lowered shoulders,1,1,1,1.0
71,5,v22-scene-d05,Keth,curious,0.846,0.448,0.784,0.18,leans toward object,1,1,1,1.0
72,5,v22-scene-d05,Keth,curious,0.856,0.448,0.784,0.18,leans toward object,1,1,1,1.0
73,5,v22-scene-d05,Keth,curious,0.866,0.448,0.784,0.18,leans toward object,1,1,1,1.0
74,5,v22-scene-d05,Keth,curious,0.876,0.448,0.784,0.18,leans toward object,1,1,1,1.0
75,5,v22-scene-d05,Keth,curious,0.876,0.448,0.802,0.18,leans toward object,1,1,1,1.0
76,5,v22-scene-d05,Keth,curious,0.876,0.448,0.82,0.18,leans toward object,1,1,1,1.0
77,5,v22-scene-d05,Keth,curious,0.862,0.478,0.82,0.4,leans toward object,1,1,1,1.0
78,5,v22-scene-d05,Keth,curious,0.872,0.478,0.82,0.18,leans toward object,1,1,1,1.0
79,5,v22-scene-d05,Keth,softens,0.9,0.464,0.82,0.18,faces avatar with lowered shoulders,1,1,1,1.0
80,6,v22-scene-d06,Keth,approaches,0.918,0.464,0.82,0.18,walks closer,1,1,1,1.0
81,6,v22-scene-d06,Keth,curious,0.918,0.464,0.82,0.18,leans toward object,1,1,1,1.0
82,6,v22-scene-d06,Keth,curious,0.918,0.464,0.82,0.18,leans toward object,1,1,1,1.0
83,6,v22-scene-d06,Keth,softens,0.936,0.45,0.82,0.18,faces avatar with lowered shoulders,1,1,1,1.0
84,6,v22-scene-d06,Keth,softens,0.954,0.436,0.82,0.18,faces avatar with lowered shoulders,1,1,1,1.0
85,6,v22-scene-d06,Keth,curious,0.964,0.436,0.838,0.18,leans toward object,1,1,1,1.0
86,6,v22-scene-d06,Keth,softens,0.974,0.422,0.838,0.18,faces avatar with lowered shoulders,1,1,1,1.0
87,6,v22-scene-d06,Keth,curious,0.974,0.422,0.838,0.18,leans toward object,1,1,1,1.0
88,6,v22-scene-d06,Keth,curious,0.984,0.422,0.856,0.18,leans toward object,1,1,1,1.0
89,6,v22-scene-d06,Keth,softens,0.984,0.408,0.856,0.18,faces avatar with lowered shoulders,1,1,1,1.0
90,6,v22-scene-d06,Keth,curious,0.984,0.408,0.874,0.18,leans toward object,1,1,1,1.0
91,6,v22-scene-d06,Keth,curious,0.984,0.408,0.892,0.18,leans toward object,1,1,1,1.0
92,6,v22-scene-d06,Keth,curious,0.994,0.408,0.892,0.18,leans toward object,1,1,1,1.0
93,6,v22-scene-d06,Keth,curious,1.0,0.408,0.91,0.18,leans toward object,1,1,1,1.0
94,6,v22-scene-d06,Keth,curious,1.0,0.408,0.91,0.18,leans toward object,1,1,1,1.0
95,6,v22-scene-d06,Keth,curious,1.0,0.408,0.91,0.18,leans toward object,1,1,1,1.0
96,7,v22-scene-d07,Keth,curious,1.0,0.408,0.91,0.18,leans toward object,1,1,1,1.0
97,7,v22-scene-d07,Keth,approaches,1.0,0.408,0.91,0.18,walks closer,1,1,1,1.0
98,7,v22-scene-d07,Keth,softens,1.0,0.394,0.91,0.18,faces avatar with lowered shoulders,1,0,1,0.8
99,7,v22-scene-d07,Keth,curious,0.986,0.424,0.91,0.4,leans toward object,1,1,1,1.0
100,7,v22-scene-d07,Keth,curious,0.986,0.424,0.928,0.18,leans toward object,1,1,1,1.0
101,7,v22-scene-d07,Keth,curious,0.996,0.424,0.946,0.18,leans toward object,1,1,1,1.0
102,7,v22-scene-d07,Keth,curious,0.996,0.424,0.946,0.18,leans toward object,1,1,1,1.0
103,7,v22-scene-d07,Keth,approaches,0.996,0.424,0.946,0.18,walks closer,1,1,1,1.0
104,7,v22-scene-d07,Keth,approaches,1.0,0.424,0.946,0.18,walks closer,1,1,1,1.0
105,7,v22-scene-d07,Keth,approaches,1.0,0.424,0.946,0.18,walks closer,1,1,1,1.0
106,7,v22-scene-d07,Keth,curious,1.0,0.424,0.946,0.18,leans toward object,1,1,1,1.0
107,7,v22-scene-d07,Keth,curious,0.976,0.454,0.946,0.4,leans toward object,1,1,1,1.0
108,7,v22-scene-d07,Keth,softens,1.0,0.44,0.946,0.18,faces avatar with lowered shoulders,1,1,1,1.0
109,7,v22-scene-d07,Keth,softens,1.0,0.426,0.946,0.18,faces avatar with lowered shoulders,1,1,1,1.0
110,7,v22-scene-d07,Keth,softens,1.0,0.412,0.946,0.18,faces avatar with lowered shoulders,1,1,1,1.0
111,7,v22-scene-d07,Keth,approaches,1.0,0.412,0.946,0.18,walks closer,1,1,1,1.0
112,8,v22-scene-d08,Keth,curious,1.0,0.412,0.964,0.18,leans toward object,1,1,1,1.0
113,8,v22-scene-d08,Keth,softens,1.0,0.398,0.964,0.18,faces avatar with lowered shoulders,1,1,1,1.0
114,8,v22-scene-d08,Keth,curious,1.0,0.398,0.964,0.18,leans toward object,1,1,1,1.0
115,8,v22-scene-d08,Keth,approaches,0.976,0.428,0.964,0.4,walks closer,1,1,1,1.0
116,8,v22-scene-d08,Keth,approaches,0.976,0.428,0.964,0.18,walks closer,1,1,1,1.0
117,8,v22-scene-d08,Keth,approaches,0.976,0.428,0.964,0.18,walks closer,1,1,1,1.0
118,8,v22-scene-d08,Keth,curious,0.986,0.428,0.964,0.18,leans toward object,1,1,1,1.0
119,8,v22-scene-d08,Keth,approaches,0.986,0.428,0.964,0.18,walks closer,1,1,1,1.0
120,8,v22-scene-d08,Keth,curious,0.986,0.428,0.964,0.18,leans toward object,1,1,1,1.0
121,8,v22-scene-d08,Keth,curious,0.996,0.428,0.964,0.18,leans toward object,1,1,1,1.0
122,8,v22-scene-d08,Keth,softens,1.0,0.414,0.964,0.18,faces avatar with lowered shoulders,1,1,1,1.0
123,8,v22-scene-d08,Keth,curious,1.0,0.414,0.982,0.18,leans toward object,1,1,1,1.0
124,8,v22-scene-d08,Keth,softens,1.0,0.4,0.982,0.18,faces avatar with lowered shoulders,1,1,1,1.0
125,8,v22-scene-d08,Keth,approaches,0.976,0.43,0.982,0.4,walks closer,1,1,1,1.0
126,8,v22-scene-d08,Keth,curious,0.962,0.46,0.982,0.4,leans toward object,1,1,1,1.0
127,8,v22-scene-d08,Keth,approaches,0.962,0.46,0.982,0.18,walks closer,1,1,1,1.0
128,9,v22-scene-d09,Keth,approaches,0.962,0.46,0.982,0.18,walks closer,1,1,1,1.0
129,9,v22-scene-d09,Keth,approaches,0.962,0.46,0.982,0.18,walks closer,1,1,1,1.0
130,9,v22-scene-d09,Keth,curious,0.962,0.46,1.0,0.18,leans toward object,1,1,1,1.0
131,9,v22-scene-d09,Keth,approaches,0.962,0.46,1.0,0.18,walks closer,1,1,1,1.0
132,9,v22-scene-d09,Keth,curious,0.948,0.49,1.0,0.4,leans toward object,1,1,1,1.0
133,9,v22-scene-d09,Keth,curious,0.948,0.49,1.0,0.18,leans toward object,1,1,1,1.0
134,9,v22-scene-d09,Keth,approaches,0.948,0.49,1.0,0.18,walks closer,1,1,1,1.0
135,9,v22-scene-d09,Keth,curious,0.948,0.49,1.0,0.18,leans toward object,1,1,1,1.0
136,9,v22-scene-d09,Keth,curious,0.948,0.49,1.0,0.18,leans toward object,1,1,1,1.0
137,9,v22-scene-d09,Keth,curious,0.948,0.49,1.0,0.18,leans toward object,1,1,1,1.0
138,9,v22-scene-d09,Keth,softens,0.976,0.476,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
139,9,v22-scene-d09,Keth,approaches,0.976,0.476,1.0,0.18,walks closer,1,0,1,0.8
140,9,v22-scene-d09,Keth,approaches,0.994,0.476,1.0,0.18,walks closer,1,1,1,1.0
141,9,v22-scene-d09,Keth,approaches,0.994,0.476,1.0,0.18,walks closer,1,1,1,1.0
142,9,v22-scene-d09,Keth,approaches,0.994,0.476,1.0,0.18,walks closer,1,1,1,1.0
143,9,v22-scene-d09,Keth,softens,1.0,0.462,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
144,10,v22-scene-d10,Keth,softens,1.0,0.448,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
145,10,v22-scene-d10,Keth,curious,1.0,0.448,1.0,0.18,leans toward object,1,1,1,1.0
146,10,v22-scene-d10,Keth,approaches,1.0,0.448,1.0,0.18,walks closer,1,1,1,1.0
