trajectory_id,day,agent_id,person_ref,interaction_kind,prior_trust,trust_delta,attachment_delta,avoidance_delta,dependency_delta,posterior_trust,relationship_specific_note
attach_ari_trusted_1,1,ari,Gabriel,asked_permission,0.57,0.05,0.04,-0.02,0.01,0.62,trusted person becomes safer through repeated specific behavior
attach_ari_trusted_2,5,ari,Gabriel,returned_attention,0.62,0.04,0.05,-0.01,0.02,0.66,trusted person becomes safer through repeated specific behavior
attach_ari_trusted_3,13,ari,Gabriel,helped_without_seizing,0.66,0.06,0.04,-0.02,0.01,0.72,trusted person becomes safer through repeated specific behavior
attach_ari_trusted_4,34,ari,Gabriel,kept_boundary_memory,0.72,0.05,0.03,-0.01,0.01,0.77,trusted person becomes safer through repeated specific behavior
attach_ari_difficult_1,3,ari,Mara,interrupted_work,0.42,-0.06,-0.02,0.05,-0.01,0.36,difficult person is not globally condemned; repair is tracked separately
attach_ari_difficult_2,8,ari,Mara,public_misread,0.36,-0.05,-0.02,0.04,-0.01,0.31,difficult person is not globally condemned; repair is tracked separately
attach_ari_difficult_3,21,ari,Mara,apologized_but_rushed,0.31,0.02,0.01,-0.01,0.0,0.33,difficult person is not globally condemned; repair is tracked separately
attach_ari_difficult_4,55,ari,Mara,respected_distance,0.33,0.03,0.02,-0.02,0.0,0.36,difficult person is not globally condemned; repair is tracked separately
attach_fay_trusted_1,1,fay,Niko,asked_permission,0.64,0.05,0.04,-0.02,0.01,0.6900000000000001,trusted person becomes safer through repeated specific behavior
attach_fay_trusted_2,5,fay,Niko,returned_attention,0.6900000000000001,0.04,0.05,-0.01,0.02,0.7300000000000001,trusted person becomes safer through repeated specific behavior
attach_fay_trusted_3,13,fay,Niko,helped_without_seizing,0.7300000000000001,0.06,0.04,-0.02,0.01,0.79,trusted person becomes safer through repeated specific behavior
attach_fay_trusted_4,34,fay,Niko,kept_boundary_memory,0.79,0.05,0.03,-0.01,0.01,0.8400000000000001,trusted person becomes safer through repeated specific behavior
attach_fay_difficult_1,3,fay,Mara,interrupted_work,0.46,-0.06,-0.02,0.05,-0.01,0.4,difficult person is not globally condemned; repair is tracked separately
attach_fay_difficult_2,8,fay,Mara,public_misread,0.4,-0.05,-0.02,0.04,-0.01,0.35000000000000003,difficult person is not globally condemned; repair is tracked separately
attach_fay_difficult_3,21,fay,Mara,apologized_but_rushed,0.35000000000000003,0.02,0.01,-0.01,0.0,0.37000000000000005,difficult person is not globally condemned; repair is tracked separately
attach_fay_difficult_4,55,fay,Mara,respected_distance,0.37000000000000005,0.03,0.02,-0.02,0.0,0.4,difficult person is not globally condemned; repair is tracked separately
attach_milo_trusted_1,1,milo,Gabriel,asked_permission,0.55,0.05,0.04,-0.02,0.01,0.6000000000000001,trusted person becomes safer through repeated specific behavior
attach_milo_trusted_2,5,milo,Gabriel,returned_attention,0.6000000000000001,0.04,0.05,-0.01,0.02,0.6400000000000001,trusted person becomes safer through repeated specific behavior
attach_milo_trusted_3,13,milo,Gabriel,helped_without_seizing,0.6400000000000001,0.06,0.04,-0.02,0.01,0.7000000000000002,trusted person becomes safer through repeated specific behavior
attach_milo_trusted_4,34,milo,Gabriel,kept_boundary_memory,0.7000000000000002,0.05,0.03,-0.01,0.01,0.7500000000000002,trusted person becomes safer through repeated specific behavior
attach_milo_difficult_1,3,milo,Rook,interrupted_work,0.38,-0.06,-0.02,0.05,-0.01,0.32,difficult person is not globally condemned; repair is tracked separately
attach_milo_difficult_2,8,milo,Rook,public_misread,0.32,-0.05,-0.02,0.04,-0.01,0.27,difficult person is not globally condemned; repair is tracked separately
attach_milo_difficult_3,21,milo,Rook,apologized_but_rushed,0.27,0.02,0.01,-0.01,0.0,0.29000000000000004,difficult person is not globally condemned; repair is tracked separately
attach_milo_difficult_4,55,milo,Rook,respected_distance,0.29000000000000004,0.03,0.02,-0.02,0.0,0.32000000000000006,difficult person is not globally condemned; repair is tracked separately
attach_sera_trusted_1,1,sera,Fay,asked_permission,0.49,0.05,0.04,-0.02,0.01,0.54,trusted person becomes safer through repeated specific behavior
