tick_id,day,agent_id,owned_object,avatar_event,ownership_appraisal,memory_episode_public,trust_delta,respect_delta,resentment_delta,gratitude_delta,memory_written,recall_key
0,1,Ari,cedar repair kit,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near cedar repair kit: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ari:0
2,1,Nia,signal spool,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near signal spool: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Nia:2
4,1,Ivo,seed satchel,give_space,repairs or protects self-boundary,Avatar event `give_space` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:4
7,1,Fay,herb ledger,give_space,repairs or protects self-boundary,Avatar event `give_space` near herb ledger: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Fay:7
9,1,Milo,oil lantern,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:9
11,1,Juno,copper wire,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:11
12,2,Ari,cedar repair kit,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near cedar repair kit: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ari:12
14,2,Nia,signal spool,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near signal spool: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Nia:14
16,2,Ivo,seed satchel,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:16
17,2,Juno,copper wire,ask_status,neutral request with low boundary pressure,Avatar event `ask_status` near copper wire: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Juno:17
19,2,Fay,herb ledger,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near herb ledger: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Fay:19
21,2,Milo,oil lantern,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:21
23,2,Juno,copper wire,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:23
24,3,Ari,cedar repair kit,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near cedar repair kit: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ari:24
26,3,Nia,signal spool,offer_apology,repairs or protects self-boundary,Avatar event `offer_apology` near signal spool: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Nia:26
28,3,Ivo,seed satchel,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near seed satchel: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ivo:28
31,3,Fay,herb ledger,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near herb ledger: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Fay:31
33,3,Milo,oil lantern,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:33
34,3,Ivo,seed satchel,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near seed satchel: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ivo:34
35,3,Juno,copper wire,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:35
36,4,Ari,cedar repair kit,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near cedar repair kit: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ari:36
38,4,Nia,signal spool,offer_care,repairs or protects self-boundary,Avatar event `offer_care` near signal spool: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Nia:38
39,4,Milo,oil lantern,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near oil lantern: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Milo:39
40,4,Ivo,seed satchel,ask_status,neutral request with low boundary pressure,Avatar event `ask_status` near seed satchel: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ivo:40
43,4,Fay,herb ledger,ask_status,neutral request with low boundary pressure,Avatar event `ask_status` near herb ledger: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Fay:43
45,4,Milo,oil lantern,misname_agent,crosses self-boundary without enough respect,Avatar event `misname_agent` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:45
47,4,Juno,copper wire,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:47
48,5,Ari,cedar repair kit,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near cedar repair kit: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ari:48
50,5,Nia,signal spool,give_space,repairs or protects self-boundary,Avatar event `give_space` near signal spool: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Nia:50
52,5,Ivo,seed satchel,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near seed satchel: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ivo:52
55,5,Fay,herb ledger,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:55
56,5,Nia,signal spool,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near signal spool: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Nia:56
57,5,Milo,oil lantern,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:57
59,5,Juno,copper wire,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:59
60,6,Ari,cedar repair kit,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near cedar repair kit: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ari:60
61,6,Fay,herb ledger,offer_care,repairs or protects self-boundary,Avatar event `offer_care` near herb ledger: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Fay:61
62,6,Nia,signal spool,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near signal spool: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Nia:62
64,6,Ivo,seed satchel,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near seed satchel: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ivo:64
67,6,Fay,herb ledger,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:67
69,6,Milo,oil lantern,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:69
71,6,Juno,copper wire,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:71
72,7,Ari,cedar repair kit,offer_apology,repairs or protects self-boundary,Avatar event `offer_apology` near cedar repair kit: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ari:72
74,7,Nia,signal spool,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near signal spool: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Nia:74
76,7,Ivo,seed satchel,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near seed satchel: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ivo:76
78,7,Ari,cedar repair kit,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near cedar repair kit: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ari:78
79,7,Fay,herb ledger,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:79
