thread_id,turn_index,day,time_s,speaker,listener,typed_or_spoken_line,intent,prior_context,privacy_gate,reply,memory_write,relationship_delta,state_delta,continuation_state,frequency_hz,flower_node
thread-stone-help,1,1,1809.88,avatar,ariq,Can I help with the stone now?,task_help,stone test is pending,private pain stays sealed,After the bell. Hold the chalk cord first.,Ariq records that Gabriel asked before lifting.,0.04,stone help gated by bell,open,310.0,6
thread-stone-help,2,1,1811.616,avatar,fayen,"Fayen, is the bell enough?",care_timing,Ariq accepted bell timing,"posture public, pain private","Bell, breath, then chalk. No pain words.",Fayen records posture-safe timing.,0.05,care language set,open,316.75,7
thread-stone-help,3,1,1812.847,avatar,ariq,I rang it. Should I pull the cord tight?,tool_followup,"bell rung, chalk cord active",do not override Roka line,Tension only to the blue mark. Stop if Roka moves.,Ariq records bounded tool help.,0.03,chalk cord controlled,resolved,323.5,8
thread-reed-boundary,1,2,2705.824,avatar,roka,Which reeds can I carry today?,access_query,prior tied-bundle overreach,child-work bundle boundary,Loose tray only. Ask every time.,Roka records repeated asking as safer than guessing.,0.04,loose tray open,open,330.25,9
thread-reed-boundary,2,2,2708.188,avatar,roka,Can I watch the tied bundle lesson?,watch_request,blue stone distance available,watching is not touching,From the blue stone. Hands behind cord.,Roka records watching without touching.,0.03,watch access conditional,open,337.0,10
thread-reed-boundary,3,2,2710.162,avatar,fayen,Can you stand near us while I help?,support_request,Roka trust partial,do not turn care into surveillance,"I can stand by the shade edge, not over Roka.",Fayen records support without crowding.,0.02,support position set,resolved,343.75,11
thread-debt-review,1,3,2719.917,avatar,noro,I read the debt line. Can I ask for the beam review?,debt_review,shade debt open,public debt only,"Yes. Ask for review, not timber now.",Noro records accountable request.,0.04,review scheduled,open,350.5,12
thread-debt-review,2,3,2721.482,avatar,nian,Does the review expose care reasons?,privacy_check,review touches shade care,object trail only,"No. It names beam, shade, and debt. Not body reasons.",Nian records review privacy boundary.,0.04,review privacy safe,open,357.25,1
thread-debt-review,3,3,2722.943,avatar,noro,Then I will ask at evening circle.,commitment,"review allowed, private reasons sealed",circle edge only,Edge of circle. Read the debt first.,Noro records a public review promise.,0.03,evening review promise,resolved,364.0,2
thread-archive-wording,1,4,910.193,avatar,nian,I wrote object trail but added too much detail.,wording_repair,digest knot wording drift,remove body reason,"Untie that phrase. Keep object, place, day.",Nian records repair before public posting.,0.05,digest wording repaired,open,370.75,3
thread-archive-wording,2,4,911.266,avatar,noro,Can the knot say shade frame and day four?,ledger_phrase,Nian approved object/place/day,ledger public only,"Yes. Shade frame, day four, open debt.",Noro records approved public phrase.,0.04,knot phrase approved,open,377.5,4
thread-archive-wording,3,4,912.936,avatar,nian,I will leave out the reason for shade.,privacy_commitment,public phrase ready,reason remains sealed,Good. That is the line.,Nian records privacy commitment held.,0.04,privacy-safe knot,resolved,384.25,5
