tick_id,day,route_id,replay_event,state_hash,includes_route_selection,includes_caravan_task,includes_forecast_edit,includes_drill_minigame,includes_guild_inspection,includes_reload_probe,replay_exportable
0,1,riverbend_roofward,riverbend_roofward:river ford:rev1:tasks0,v30-385701,False,False,True,False,False,True,True
1,1,roofward_archive,roofward_archive:glass stair:rev1:tasks0,v30-372981,True,False,False,False,True,False,True
2,1,archive_signal,archive_signal:paper lane:rev1:tasks0,v30-331998,False,False,False,False,False,False,True
3,1,signal_orchard,signal_orchard:dusk road:rev1:tasks0,v30-316639,False,False,False,False,False,False,True
4,1,orchard_riverbend,orchard_riverbend:fen track:rev1:tasks0,v30-357314,False,False,False,False,True,False,True
5,1,central_repair_ring,central_repair_ring:outer bell path:rev1:tasks0,v30-451782,True,False,False,False,False,False,True
6,1,riverbend_roofward,riverbend_roofward:river ford:rev1:tasks0,v30-386413,False,False,False,False,False,False,True
7,1,roofward_archive,roofward_archive:glass stair:rev1:tasks0,v30-366964,False,False,False,False,True,False,True
8,1,archive_signal,archive_signal:paper lane:rev2:tasks0,v30-332923,False,False,True,False,False,False,True
9,1,signal_orchard,signal_orchard:dusk road:rev1:tasks0,v30-322813,True,False,False,False,False,False,True
10,1,orchard_riverbend,orchard_riverbend:fen track:rev1:tasks0,v30-364798,False,False,False,False,False,False,True
11,1,central_repair_ring,central_repair_ring:outer bell path:rev1:tasks0,v30-460207,False,False,False,False,False,False,True
12,1,riverbend_roofward,riverbend_roofward:river ford:rev1:tasks0,v30-394164,False,False,False,False,True,False,True
13,1,roofward_archive,roofward_archive:glass stair:rev1:tasks0,v30-380255,True,False,False,False,True,False,True
14,1,archive_signal,archive_signal:paper lane:rev2:tasks0,v30-340187,False,False,False,False,False,False,True
15,1,signal_orchard,signal_orchard:dusk road:rev1:tasks0,v30-317622,False,False,False,False,False,True,True
16,2,orchard_riverbend,orchard_riverbend:fen track:rev2:tasks0,v30-365386,False,False,True,False,False,True,True
17,2,central_repair_ring,central_repair_ring:outer bell path:rev1:tasks0,v30-461064,True,False,False,False,False,False,True
18,2,riverbend_roofward,riverbend_roofward:river ford:rev1:tasks0,v30-394884,False,False,False,False,False,False,True
19,2,roofward_archive,roofward_archive:glass stair:rev1:tasks0,v30-380973,False,False,False,False,False,False,True
20,2,archive_signal,archive_signal:paper lane:rev2:tasks0,v30-333565,False,False,False,False,True,False,True
21,2,signal_orchard,signal_orchard:river lantern loop:rev1:tasks0,v30-436355,True,False,False,False,False,False,True
22,2,orchard_riverbend,orchard_riverbend:fen track:rev2:tasks0,v30-365381,True,False,False,False,False,False,True
23,2,central_repair_ring,central_repair_ring:outer bell path:rev1:tasks0,v30-461200,False,False,False,False,False,False,True
24,2,riverbend_roofward,riverbend_roofward:river ford:rev2:tasks0,v30-388273,False,False,True,False,False,False,True
25,2,roofward_archive,roofward_archive:cool archive lane:rev1:tasks0,v30-445399,True,False,False,False,False,False,True
26,2,archive_signal,archive_signal:paper lane:rev2:tasks0,v30-339845,False,False,False,False,True,False,True
27,2,signal_orchard,signal_orchard:river lantern loop:rev1:tasks0,v30-437083,False,False,False,False,False,False,True
28,2,orchard_riverbend,orchard_riverbend:market plank route:rev2:tasks0,v30-462465,True,False,False,False,True,False,True
29,2,central_repair_ring,central_repair_ring:outer bell path:rev1:tasks0,v30-447748,True,False,False,False,False,False,True
30,2,riverbend_roofward,riverbend_roofward:river ford:rev2:tasks0,v30-394032,False,False,False,False,False,False,True
31,2,roofward_archive,roofward_archive:cool archive lane:rev1:tasks0,v30-445156,False,False,False,False,False,True,True
32,3,archive_signal,archive_signal:paper lane:rev3:tasks0,v30-334142,False,False,True,False,False,True,True
33,3,signal_orchard,signal_orchard:dusk road:rev1:tasks0,v30-329416,True,False,False,False,True,False,True
34,3,orchard_riverbend,orchard_riverbend:market plank route:rev2:tasks0,v30-474748,True,False,False,False,False,False,True
35,3,central_repair_ring,central_repair_ring:outer bell path:rev1:tasks0,v30-459932,False,False,False,False,False,False,True
36,3,riverbend_roofward,riverbend_roofward:river ford:rev2:tasks0,v30-394752,False,False,False,False,True,False,True
37,3,roofward_archive,roofward_archive:cool archive lane:rev1:tasks0,v30-445886,True,False,False,False,False,False,True
38,3,archive_signal,archive_signal:paper lane:rev3:tasks0,v30-340422,False,False,False,False,False,False,True
39,3,signal_orchard,signal_orchard:dusk road:rev1:tasks0,v30-330126,False,False,False,False,True,False,True
40,3,orchard_riverbend,orchard_riverbend:market plank route:rev3:tasks0,v30-475132,False,False,True,False,False,False,True
41,3,central_repair_ring,central_repair_ring:outer bell path:rev1:tasks0,v30-460068,True,False,False,False,False,False,True
42,3,riverbend_roofward,riverbend_roofward:river ford:rev2:tasks0,v30-394751,False,False,False,False,False,False,True
43,3,roofward_archive,roofward_archive:cool archive lane:rev1:tasks0,v30-445895,False,False,False,False,False,False,True
44,3,archive_signal,archive_signal:paper lane:rev3:tasks0,v30-340413,False,False,False,False,True,False,True
45,3,signal_orchard,signal_orchard:river lantern loop:rev1:tasks0,v30-430879,True,False,False,False,True,False,True
46,3,orchard_riverbend,orchard_riverbend:market plank route:rev3:tasks0,v30-475866,False,False,False,False,False,False,True
47,3,central_repair_ring,central_repair_ring:outer bell path:rev1:tasks0,v30-460546,False,False,False,False,False,True,True
48,4,riverbend_roofward,riverbend_roofward:river ford:rev3:tasks0,v30-394269,False,False,True,False,False,True,True
49,4,roofward_archive,roofward_archive:cool archive lane:rev1:tasks0,v30-439623,True,False,False,False,False,False,True
50,4,archive_signal,archive_signal:paper lane:rev3:tasks0,v30-340404,False,False,False,False,False,False,True
51,4,signal_orchard,signal_orchard:river lantern loop:rev1:tasks0,v30-436961,False,False,False,False,False,False,True
52,4,orchard_riverbend,orchard_riverbend:market plank route:rev3:tasks0,v30-476005,False,False,False,False,True,False,True
53,4,central_repair_ring,central_repair_ring:inner repair yard:rev1:tasks0,v30-486882,True,False,False,False,False,False,True
54,4,riverbend_roofward,riverbend_roofward:river ford:rev3:tasks0,v30-394268,False,False,False,False,False,False,True
55,4,roofward_archive,roofward_archive:cool archive lane:rev1:tasks0,v30-444639,False,False,False,False,False,False,True
56,4,archive_signal,archive_signal:paper lane:rev4:tasks0,v30-341339,False,False,True,False,False,False,True
57,4,signal_orchard,signal_orchard:river lantern loop:rev1:tasks0,v30-437812,True,False,False,False,False,False,True
58,4,orchard_riverbend,orchard_riverbend:market plank route:rev3:tasks1,v30-476982,False,True,False,False,True,False,True
59,4,central_repair_ring,central_repair_ring:inner repair yard:rev1:tasks0,v30-487618,False,False,False,False,False,False,True
60,4,riverbend_roofward,riverbend_roofward:river ford:rev3:tasks0,v30-394267,False,False,False,False,True,False,True
61,4,roofward_archive,roofward_archive:cool archive lane:rev1:tasks0,v30-444772,True,False,False,False,False,False,True
62,4,archive_signal,archive_signal:paper lane:rev4:tasks1,v30-340168,False,True,False,False,False,True,True
63,4,signal_orchard,signal_orchard:river lantern loop:rev1:tasks0,v30-437569,False,False,False,False,False,True,True
64,5,orchard_riverbend,orchard_riverbend:market plank route:rev4:tasks1,v30-475723,False,False,True,False,False,True,True
65,5,central_repair_ring,central_repair_ring:outer bell path:rev1:tasks0,v30-461425,True,False,False,False,True,False,True
66,5,riverbend_roofward,riverbend_roofward:river ford:rev3:tasks1,v30-395218,False,True,False,False,False,False,True
67,5,roofward_archive,roofward_archive:cool archive lane:rev1:tasks0,v30-446000,False,False,False,True,False,False,True
68,5,archive_signal,archive_signal:paper lane:rev4:tasks1,v30-340880,False,False,False,False,True,False,True
