loop_id,tick_index,phase,tick_spec_id,motion_id,conversation_id,storage_snapshot_id,replay_download_id,schedule_tick_id,sensory_tick_id,loop_state,note
loop_001,1,seed,rt_001,motion_001,conv_001,store_001,download_001,sched_001,sense_001,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_002,2,vesica,rt_002,motion_002,conv_002,store_002,download_002,sched_002,sense_002,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_003,3,triad,rt_003,motion_003,conv_003,store_003,download_003,sched_003,sense_003,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_004,4,square,rt_004,motion_004,conv_004,store_004,download_004,sched_004,sense_004,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_005,5,pentad,rt_005,motion_005,conv_005,store_005,download_005,sched_005,sense_005,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_006,6,hexad,rt_006,motion_006,conv_006,store_006,download_006,sched_006,sense_006,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_007,7,flower,rt_007,motion_007,conv_007,store_007,download_007,sched_007,sense_007,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_008,8,fruit,rt_008,motion_008,conv_008,store_008,download_008,sched_008,sense_008,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_009,9,return,rt_009,motion_009,conv_009,store_009,download_009,sched_009,sense_009,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_010,10,seed,rt_010,motion_010,conv_010,store_010,download_010,sched_010,sense_010,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_011,11,vesica,rt_011,motion_011,conv_011,store_011,download_011,sched_011,sense_011,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_012,12,triad,rt_012,motion_012,conv_012,store_012,download_012,sched_012,sense_012,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_013,13,square,rt_013,motion_013,conv_013,store_013,download_013,sched_013,sense_013,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_014,14,pentad,rt_014,motion_014,conv_014,store_014,download_014,sched_014,sense_014,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_015,15,hexad,rt_015,motion_015,conv_015,store_015,download_015,sched_015,sense_015,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_016,16,flower,rt_016,motion_016,conv_016,store_016,download_016,sched_016,sense_016,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_017,17,fruit,rt_017,motion_017,conv_017,store_017,download_017,sched_017,sense_017,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_018,18,return,rt_018,motion_018,conv_018,store_018,download_018,sched_018,sense_018,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_019,19,seed,rt_019,motion_019,conv_019,store_019,download_019,sched_019,sense_019,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_020,20,vesica,rt_020,motion_020,conv_020,store_020,download_020,sched_020,sense_020,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_021,21,triad,rt_021,motion_021,conv_021,store_021,download_021,sched_021,sense_021,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_022,22,square,rt_022,motion_022,conv_022,store_022,download_022,sched_022,sense_022,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_023,23,pentad,rt_023,motion_023,conv_023,store_023,download_023,sched_023,sense_023,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_024,24,hexad,rt_024,motion_024,conv_024,store_024,download_024,sched_024,sense_024,paused,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_025,25,flower,rt_025,motion_025,conv_025,store_025,download_025,sched_025,sense_025,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_026,26,fruit,rt_026,motion_026,conv_026,store_026,download_026,sched_026,sense_026,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_027,27,return,rt_027,motion_027,conv_027,store_027,download_027,sched_027,sense_027,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_028,28,seed,rt_028,motion_028,conv_028,store_028,download_028,sched_028,sense_028,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_029,29,vesica,rt_029,motion_029,conv_029,store_029,download_029,sched_029,sense_029,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_030,30,triad,rt_030,motion_030,conv_030,store_030,download_030,sched_030,sense_030,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_031,31,square,rt_031,motion_031,conv_031,store_031,download_031,sched_031,sense_031,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_032,32,pentad,rt_032,motion_032,conv_032,store_032,download_032,sched_032,sense_032,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
