report,module,verdict,metric,value
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,many_day_ego_span,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,ego_agent_coverage,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,ownership_generalization_accuracy,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,false_mine_rejection_rate,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,ownership_calibration,0.913333
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,relationship_specific_attachment,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,attachment_differentiation,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,wound_repair_stability,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,forgiveness_without_amnesia,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,repeated_repair_non_spiral,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,private_workspace_continuity,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,body_language_richness,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,behavior_legibility,0.90375
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,bounded_dialogue_usability,0.901333
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,self_story_consolidation,0.91
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,distress_recovery_over_time,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,autonomy_usability_balance,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,source_boundary_integrity,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,frequency_flower_continuity,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,browser_body_language_loop_available,1.0
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,mean_continuity_channel_score,0.981421
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,weakest_channel_score,0.901333
233,ssrm_3d_many_day_ego_continuity_attachment_body_language_bridge,pass,many_day_ego_continuity_readiness,0.982171
