tick_id,day,tick,avatar_zone,active_project,visible_card,material_panel,fatigue_panel,obligation_panel,save_restore_key,replay_key,boundary_note
0,1,0,warm roof,west_bridge_repair,West bridge repair: 0.00/1.00 work active,planks: 18.00 left,"Ari fatigue 0.18, energy 0.88",return_caliper_to_ari debt 0.21,ssrm_v25_project_state_seed_20260878,v25-138735,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
1,1,1,north path,herb_roof_garden,Herb roof garden: 0.00/1.00 work active,water: 37.00 left,"Fay fatigue 0.22, energy 0.85",restore_seed_pouch_to_fay debt 0.22,ssrm_v25_project_state_seed_20260878,v25-127250,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
2,1,2,archive alcove,north_lantern_relay,North lantern relay: 0.00/1.00 work active,wire: 6.00 left,"Milo fatigue 0.31, energy 0.80",respect_milo_quiet_dusk_route debt 0.27,ssrm_v25_project_state_seed_20260878,v25-141860,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
3,1,3,central commons,archive_weather_log,Archive weather log: 0.00/1.00 work active,ink: 9.00 left,"Nia fatigue 0.35, energy 0.77",return_nia_reading_lens debt 0.36,ssrm_v25_project_state_seed_20260878,v25-140995,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
4,1,4,west crossing,west_bridge_repair,West bridge repair: 0.00/1.00 work active,resin: 7.50 left,"Ari fatigue 0.17, energy 0.88",return_caliper_to_ari debt 0.20,ssrm_v25_project_state_seed_20260878,v25-135602,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
5,1,5,warm roof,herb_roof_garden,Herb roof garden: 0.03/1.00 reserved work slot,compost: 7.87 left,"Fay fatigue 0.27, energy 0.82",restore_seed_pouch_to_fay debt 0.25,ssrm_v25_project_state_seed_20260878,v25-146214,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
6,1,6,north path,north_lantern_relay,North lantern relay: 0.00/1.00 work active,oil: 12.00 left,"Milo fatigue 0.29, energy 0.81",respect_milo_quiet_dusk_route debt 0.26,ssrm_v25_project_state_seed_20260878,v25-145178,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
7,1,7,archive alcove,archive_weather_log,Archive weather log: 0.03/1.00 reserved work slot,paper: 11.82 left,"Nia fatigue 0.39, energy 0.75",return_nia_reading_lens debt 0.35,ssrm_v25_project_state_seed_20260878,v25-175447,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
8,1,8,central commons,west_bridge_repair,West bridge repair: 0.00/1.00 work active,rope: 6.00 left,"Ari fatigue 0.16, energy 0.89",return_caliper_to_ari debt 0.19,ssrm_v25_project_state_seed_20260878,v25-135408,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
9,1,9,west crossing,herb_roof_garden,Herb roof garden: 0.03/1.00 blocked: obligation_time_conflict,seed: 10.38 left,"Fay fatigue 0.33, energy 0.79",restore_seed_pouch_to_fay debt 0.29,ssrm_v25_project_state_seed_20260878,v25-302788,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
10,1,10,warm roof,north_lantern_relay,North lantern relay: 0.03/1.00 reserved work slot,glass: 7.87 left,"Milo fatigue 0.34, energy 0.79",respect_milo_quiet_dusk_route debt 0.24,ssrm_v25_project_state_seed_20260878,v25-174155,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
11,1,11,north path,archive_weather_log,Archive weather log: 0.03/1.00 work active,thread: 2.20 left,"Nia fatigue 0.38, energy 0.75",return_nia_reading_lens debt 0.34,ssrm_v25_project_state_seed_20260878,v25-164781,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
12,1,12,archive alcove,west_bridge_repair,West bridge repair: 0.00/1.00 work active,planks: 18.00 left,"Ari fatigue 0.14, energy 0.89",return_caliper_to_ari debt 0.18,ssrm_v25_project_state_seed_20260878,v25-143441,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
13,1,13,central commons,herb_roof_garden,Herb roof garden: 0.03/1.00 work active,water: 37.00 left,"Fay fatigue 0.31, energy 0.80",restore_seed_pouch_to_fay debt 0.28,ssrm_v25_project_state_seed_20260878,v25-149862,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
14,1,14,west crossing,north_lantern_relay,North lantern relay: 0.03/1.00 work active,wire: 6.00 left,"Milo fatigue 0.32, energy 0.79",respect_milo_quiet_dusk_route debt 0.06,ssrm_v25_project_state_seed_20260878,v25-165705,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
15,1,15,warm roof,archive_weather_log,Archive weather log: 0.06/1.00 reserved work slot,ink: 8.87 left,"Nia fatigue 0.42, energy 0.73",return_nia_reading_lens debt 0.33,ssrm_v25_project_state_seed_20260878,v25-173153,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
16,1,16,north path,west_bridge_repair,West bridge repair: 0.00/1.00 work active,resin: 7.50 left,"Ari fatigue 0.09, energy 0.91",return_caliper_to_ari debt 0.00,ssrm_v25_project_state_seed_20260878,v25-140267,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
17,1,17,archive alcove,herb_roof_garden,Herb roof garden: 0.03/1.00 work active,compost: 7.87 left,"Fay fatigue 0.26, energy 0.82",restore_seed_pouch_to_fay debt 0.26,ssrm_v25_project_state_seed_20260878,v25-154390,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
18,2,0,north path,north_lantern_relay,North lantern relay: 0.03/1.00 work active,oil: 12.00 left,"Milo fatigue 0.27, energy 0.81",respect_milo_quiet_dusk_route debt 0.05,ssrm_v25_project_state_seed_20260878,v25-169297,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
19,2,1,archive alcove,archive_weather_log,Archive weather log: 0.06/1.00 work active,paper: 11.82 left,"Nia fatigue 0.37, energy 0.75",return_nia_reading_lens debt 0.32,ssrm_v25_project_state_seed_20260878,v25-180315,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
20,2,2,central commons,west_bridge_repair,West bridge repair: 0.03/1.00 reserved work slot,rope: 5.88 left,"Ari fatigue 0.13, energy 0.89",return_caliper_to_ari debt 0.00,ssrm_v25_project_state_seed_20260878,v25-166772,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
21,2,3,west crossing,herb_roof_garden,Herb roof garden: 0.03/1.00 work active,seed: 10.38 left,"Fay fatigue 0.24, energy 0.82",restore_seed_pouch_to_fay debt 0.25,ssrm_v25_project_state_seed_20260878,v25-157261,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
22,2,4,warm roof,north_lantern_relay,North lantern relay: 0.03/1.00 work active,glass: 7.87 left,"Milo fatigue 0.25, energy 0.81",respect_milo_quiet_dusk_route debt 0.09,ssrm_v25_project_state_seed_20260878,v25-174208,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
23,2,5,north path,archive_weather_log,Archive weather log: 0.06/1.00 work active,thread: 2.20 left,"Nia fatigue 0.35, energy 0.75",return_nia_reading_lens debt 0.30,ssrm_v25_project_state_seed_20260878,v25-164469,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
24,2,6,archive alcove,west_bridge_repair,West bridge repair: 0.03/1.00 work active,planks: 18.00 left,"Ari fatigue 0.12, energy 0.89",return_caliper_to_ari debt 0.00,ssrm_v25_project_state_seed_20260878,v25-162463,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
25,2,7,central commons,herb_roof_garden,Herb roof garden: 0.06/1.00 reserved work slot,water: 36.82 left,"Fay fatigue 0.29, energy 0.80",restore_seed_pouch_to_fay debt 0.24,ssrm_v25_project_state_seed_20260878,v25-161789,"deterministic browser-local project/material/body-cost scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
