seed,session_id,branch_id,hint_id,source_practice_id,avatar_commanded,hidden_law_exposed
36217,36217-HRS-01,36217-AHB-001-1,36217-AHD-001,36217-EPG-001,False,False
36217,36217-HRS-01,36217-AHB-001-2,36217-AHD-001,36217-EPG-001,False,False
36217,36217-HRS-01,36217-AHB-001-3,36217-AHD-001,36217-EPG-001,False,False
36217,36217-HRS-01,36217-AHB-002-1,36217-AHD-002,36217-EPG-002,False,False
36217,36217-HRS-01,36217-AHB-002-2,36217-AHD-002,36217-EPG-002,False,False
36217,36217-HRS-01,36217-AHB-002-3,36217-AHD-002,36217-EPG-002,False,False
36217,36217-HRS-02,36217-AHB-001-1,36217-AHD-001,36217-EPG-001,False,False
36217,36217-HRS-02,36217-AHB-001-2,36217-AHD-001,36217-EPG-001,False,False
36217,36217-HRS-02,36217-AHB-001-3,36217-AHD-001,36217-EPG-001,False,False
36217,36217-HRS-02,36217-AHB-002-1,36217-AHD-002,36217-EPG-002,False,False
36217,36217-HRS-02,36217-AHB-002-2,36217-AHD-002,36217-EPG-002,False,False
36217,36217-HRS-02,36217-AHB-002-3,36217-AHD-002,36217-EPG-002,False,False
36217,36217-HRS-03,36217-AHB-001-1,36217-AHD-001,36217-EPG-001,False,False
36217,36217-HRS-03,36217-AHB-001-2,36217-AHD-001,36217-EPG-001,False,False
36217,36217-HRS-03,36217-AHB-001-3,36217-AHD-001,36217-EPG-001,False,False
36217,36217-HRS-03,36217-AHB-002-1,36217-AHD-002,36217-EPG-002,False,False
36217,36217-HRS-03,36217-AHB-002-2,36217-AHD-002,36217-EPG-002,False,False
36217,36217-HRS-03,36217-AHB-002-3,36217-AHD-002,36217-EPG-002,False,False
36231,36231-HRS-01,36231-AHB-003-1,36231-AHD-003,36231-EPG-003,False,False
36231,36231-HRS-01,36231-AHB-003-2,36231-AHD-003,36231-EPG-003,False,False
36231,36231-HRS-01,36231-AHB-003-3,36231-AHD-003,36231-EPG-003,False,False
36231,36231-HRS-01,36231-AHB-004-1,36231-AHD-004,36231-EPG-004,False,False
36231,36231-HRS-01,36231-AHB-004-2,36231-AHD-004,36231-EPG-004,False,False
36231,36231-HRS-01,36231-AHB-004-3,36231-AHD-004,36231-EPG-004,False,False
36231,36231-HRS-02,36231-AHB-003-1,36231-AHD-003,36231-EPG-003,False,False
36231,36231-HRS-02,36231-AHB-003-2,36231-AHD-003,36231-EPG-003,False,False
36231,36231-HRS-02,36231-AHB-003-3,36231-AHD-003,36231-EPG-003,False,False
36231,36231-HRS-02,36231-AHB-004-1,36231-AHD-004,36231-EPG-004,False,False
36231,36231-HRS-02,36231-AHB-004-2,36231-AHD-004,36231-EPG-004,False,False
36231,36231-HRS-02,36231-AHB-004-3,36231-AHD-004,36231-EPG-004,False,False
36231,36231-HRS-03,36231-AHB-003-1,36231-AHD-003,36231-EPG-003,False,False
36231,36231-HRS-03,36231-AHB-003-2,36231-AHD-003,36231-EPG-003,False,False
36231,36231-HRS-03,36231-AHB-003-3,36231-AHD-003,36231-EPG-003,False,False
36231,36231-HRS-03,36231-AHB-004-1,36231-AHD-004,36231-EPG-004,False,False
36231,36231-HRS-03,36231-AHB-004-2,36231-AHD-004,36231-EPG-004,False,False
36231,36231-HRS-03,36231-AHB-004-3,36231-AHD-004,36231-EPG-004,False,False
36247,36247-HRS-01,36247-AHB-005-1,36247-AHD-005,36247-EPG-005,False,False
