tick_id,day,settlement_id,resident_id,resident_goal,goal_priority,goal_pressure_before,goal_pressure_after,avatar_visible,resident_goal_owned,private_workspace_sealed,visible_goal_marker,frequency_hz,flower_phase
0,1,moss_ward,Ari,repair blanket loom,0.4525,0.34,0.33905,True,True,True,Ari:repair blanket loom,5.377875,0.021714
1,1,glass_harbor,Oren,seal fog catcher,0.485,0.34,0.3497,True,True,True,Oren:seal fog catcher,6.53035,0.038881
2,1,cinder_garden,Vale,guard seed calendar,0.5175,0.34,0.35035,True,True,True,Vale:guard seed calendar,9.102825,0.064048
3,1,lichen_bridge,Sol,test rope bridge,0.55,0.34,0.351,True,True,True,Sol:test rope bridge,7.7853,0.057214
4,1,orchid_engine,Bea,clean gear wash,0.42,0.34,0.3384,True,True,True,Bea:clean gear wash,10.0904,0.084381
5,1,moss_ward,Fay,protect root archive,0.4525,0.34,0.34905,True,True,True,Fay:protect root archive,5.452875,0.042548
6,1,glass_harbor,Puck,prepare crossing tea,0.485,0.34,0.3497,True,True,True,Puck:prepare crossing tea,6.60535,0.059714
7,1,cinder_garden,Wren,shade seed rows,0.5175,0.34,0.35035,True,True,True,Wren:shade seed rows,9.177825,0.084881
8,1,lichen_bridge,Kio,weave spare rope,0.55,0.34,0.341,True,True,True,Kio:weave spare rope,7.8603,0.078048
9,1,orchid_engine,Cai,tend orchid lamp,0.42,0.34,0.3484,True,True,True,Cai:tend orchid lamp,10.1654,0.105214
10,1,moss_ward,Milo,prepare warm-cup ritual,0.4525,0.34,0.34905,True,True,True,Milo:prepare warm-cup ritual,5.527875,0.063381
11,1,glass_harbor,Sera,keep public lamp bright,0.485,0.34,0.3497,True,True,True,Sera:keep public lamp bright,6.68035,0.080548
12,1,cinder_garden,Juno,sort ember fruit,0.5175,0.34,0.34035,True,True,True,Juno:sort ember fruit,9.252825,0.105714
13,1,lichen_bridge,Luma,mark signal bell,0.55,0.34,0.351,True,True,True,Luma:mark signal bell,7.9353,0.098881
14,1,orchid_engine,Dax,prepare steam tea,0.42,0.34,0.3484,True,True,True,Dax:prepare steam tea,10.2404,0.126048
15,1,moss_ward,Tala,keep rain path dry,0.4525,0.34,0.34905,True,True,True,Tala:keep rain path dry,5.602875,0.084214
16,1,glass_harbor,Nia,mend net before fog,0.485,0.34,0.3397,True,True,True,Nia:mend net before fog,6.75535,0.101381
17,1,cinder_garden,Pax,cool ash path,0.5175,0.34,0.35035,True,True,True,Pax:cool ash path,9.327825,0.126548
18,2,orchid_engine,Bea,tend orchid lamp,0.485,0.3384,0.3381,True,True,True,Bea:tend orchid lamp,10.31667,0.143429
19,2,moss_ward,Fay,prepare warm-cup ritual,0.5175,0.34905,0.3594,True,True,True,Fay:prepare warm-cup ritual,5.678485,0.101595
20,2,glass_harbor,Puck,keep public lamp bright,0.55,0.3497,0.3607,True,True,True,Puck:keep public lamp bright,6.83162,0.118762
21,2,cinder_garden,Wren,sort ember fruit,0.42,0.35035,0.35875,True,True,True,Wren:sort ember fruit,9.36584,0.143929
22,2,lichen_bridge,Kio,mark signal bell,0.4525,0.341,0.34005,True,True,True,Kio:mark signal bell,8.049195,0.137095
23,2,orchid_engine,Cai,prepare steam tea,0.485,0.3484,0.3581,True,True,True,Cai:prepare steam tea,10.39101,0.164262
24,2,moss_ward,Milo,keep rain path dry,0.5175,0.34905,0.3594,True,True,True,Milo:keep rain path dry,5.753485,0.122429
25,2,glass_harbor,Sera,mend net before fog,0.55,0.3497,0.3607,True,True,True,Sera:mend net before fog,6.9053,0.139595
26,2,cinder_garden,Juno,cool ash path,0.42,0.34035,0.33875,True,True,True,Juno:cool ash path,9.44172,0.164762
