metric,value
avatar_decision_memory_integrity,1.0
body_language_after_shared_snapshot,0.823
body_language_reaction_binding,1.0
body_language_reload_count,102.0
body_language_visible_count,648.0
branch_merge_ui_integrity,1.0
browser_world_v32_multi_agent_readiness,0.913279
browser_world_v32_surface_available,1.0
cross_session_snapshot_sync,1.0
dialogue_choice_consequence_binding,1.0
dialogue_choice_count,408.0
frequency_flower_dialogue_rhythm,0.761905
mean_multi_agent_channel_score,0.978153
merge_attempt_count,315.0
merge_success_count,296.0
multi_agent_dialogue_choice_surface,1.0
multi_agent_replay_integrity,1.0
persistent_body_language_after_reload,1.0
privacy_safe_multi_agent_state,1.0
reload_replay_binding,1.0
rollback_count,46.0
rollback_isolation_integrity,1.0
selected_dialogue_count,394.0
sensory_dialogue_branch_binding,1.0
shared_snapshot_count,568.0
shared_world_snapshot_integrity,1.0
snapshot_reload_probe_integrity,1.0
source_branch_dialogue_continuity,1.0
valid_dialogue_count,384.0
visible_browser_multi_agent_surface,1.0
weakest_channel_score,0.761905
