tick_id,day,settlement_id,resident_id,scheduled_task,scheduled_room,avatar_action,interrupted,recovery_action_available,recovery_completed,routine_integrity,visible_routine_state
0,1,riverbend,Lio,repair project,plank hall,dry_off,True,True,False,0.79,interrupted
1,1,roofward,Fay,repair project,ledger loft,path_to_resident,False,False,False,0.86,on schedule
2,1,archive,Toma,repair project,spool room,inspect_affordance,False,False,False,0.86,on schedule
3,1,signal,Milo,teach dialect,lantern walk,interrupt_routine,True,True,True,0.85,recovered
4,1,orchard,Mara,teach dialect,satchel shed,ask_dialect_memory,False,False,False,0.86,on schedule
5,1,repair_ring,Juno,teach dialect,spark lane,rest,False,False,False,0.86,on schedule
6,1,riverbend,Lio,patrol hazard,dry ridge,interrupt_routine,True,True,True,0.78,recovered
7,1,roofward,Fay,patrol hazard,glass stair,ask_dialect_memory,False,False,False,0.86,on schedule
8,1,archive,Toma,patrol hazard,ink niche,rest,False,False,False,0.86,on schedule
9,1,signal,Milo,restore memory,arrival court,dry_off,False,False,False,0.85,on schedule
10,1,orchard,Mara,restore memory,arrival court,path_to_resident,False,False,False,0.86,on schedule
11,1,repair_ring,Juno,restore memory,cool corner,inspect_affordance,False,False,False,0.86,on schedule
12,2,riverbend,Ari,repair project,plank hall,continue_project,False,False,False,0.86,on schedule
13,2,roofward,Sera,repair project,ledger loft,path_to_rest,False,False,False,0.86,on schedule
14,2,archive,Nia,repair project,spool room,perform_chain_step,False,False,False,0.86,on schedule
15,2,signal,Ren,teach dialect,lantern walk,recover_routine,False,True,True,0.92,recovered
16,2,orchard,Ivo,teach dialect,satchel shed,offer_care,False,False,False,0.86,on schedule
17,2,repair_ring,Pax,teach dialect,spark lane,treat_pain,False,False,False,0.86,on schedule
18,2,riverbend,Ari,patrol hazard,dry ridge,recover_routine,False,True,True,0.92,recovered
19,2,roofward,Sera,patrol hazard,glass stair,offer_care,False,False,False,0.86,on schedule
20,2,archive,Nia,patrol hazard,ink niche,treat_pain,False,False,False,0.86,on schedule
21,2,signal,Ren,restore memory,arrival court,continue_project,False,False,False,0.92,on schedule
22,2,orchard,Ivo,restore memory,arrival court,path_to_rest,False,False,False,0.86,on schedule
23,2,repair_ring,Pax,restore memory,cool corner,perform_chain_step,False,False,False,0.86,on schedule
24,3,riverbend,Lio,repair project,plank hall,path_to_resident,False,False,False,0.78,on schedule
25,3,roofward,Fay,repair project,ledger loft,inspect_affordance,False,False,False,0.86,on schedule
