tick_id,day,settlement_id,resident_id,cue_key,cue_kind,cue_value,relationship_before,relationship_after,memory_age_days,recalled_after_restore,dialogue_bias,persistent_memory_key,private_memory_not_dumped
0,1,signal,Ren,signal:signal perch:sound:1,sound,rope creak,0.626,0.63,0,False,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
1,1,orchard,Ivo,orchard:seed lane:smell:1,smell,dry twine,0.626,0.63,0,False,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
2,1,repair_ring,Pax,repair_ring:bell alcove:temperature:1,temperature,17.2C,0.623,0.619,0,False,guarded after boundary strain,ssrm.v42.sensory_memory.repair_ring.Pax,True
4,1,roofward,Sera,roofward:glass stair:smell:1,smell,polished brass,0.566,0.57,0,False,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
6,1,signal,Ren,signal:arrival court:sound:1,sound,static crickets,0.622,0.626,0,False,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
7,1,orchard,Ivo,orchard:mud row:smell:1,smell,apple soil,0.636,0.64,0,False,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
8,1,repair_ring,Pax,repair_ring:cool corner:temperature:1,temperature,18.4C,0.625,0.629,0,False,warmer if cue is familiar,ssrm.v42.sensory_memory.repair_ring.Pax,True
10,1,roofward,Sera,roofward:warm lane:smell:1,smell,thyme paper,0.576,0.58,0,False,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
12,1,signal,Ren,signal:mast base:sound:1,sound,rope creak,0.632,0.636,0,False,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
13,1,orchard,Ivo,orchard:market plank:smell:1,smell,mud reed,0.646,0.65,0,False,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
14,1,repair_ring,Pax,repair_ring:arrival court:temperature:1,temperature,15.4C,0.632,0.628,0,False,guarded after boundary strain,ssrm.v42.sensory_memory.repair_ring.Pax,True
16,1,roofward,Sera,roofward:ledger loft:smell:1,smell,warm dust,0.586,0.59,0,False,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
18,2,orchard,Ivo,orchard:seed lane:sound:2,sound,seed rattle,0.656,0.66,1,False,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
20,2,riverbend,Ari,riverbend:kit alcove:temperature:2,temperature,12.7C,0.63,0.634,0,False,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
21,2,roofward,Sera,roofward:glass stair:sound:2,sound,paper hush,0.596,0.6,1,False,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
22,2,archive,Nia,archive:ink niche:smell:2,smell,wax seal,0.635,0.631,0,False,guarded after boundary strain,ssrm.v42.sensory_memory.archive.Nia,True
24,2,orchard,Ivo,orchard:mud row:sound:2,sound,roof drip,0.666,0.67,1,False,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
26,2,riverbend,Ari,riverbend:arrival court:temperature:2,temperature,10.4C,0.626,0.63,0,False,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
27,2,roofward,Sera,roofward:warm lane:sound:2,sound,sun glass hum,0.606,0.61,1,False,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
28,2,archive,Nia,archive:memory desk:smell:2,smell,ink linen,0.637,0.641,0,False,warmer if cue is familiar,ssrm.v42.sensory_memory.archive.Nia,True
30,2,orchard,Ivo,orchard:market plank:sound:2,sound,cart creak,0.676,0.68,1,False,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
32,2,riverbend,Ari,riverbend:plank hall:temperature:2,temperature,10.9C,0.636,0.64,0,False,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
33,2,roofward,Sera,roofward:ledger loft:sound:2,sound,hinge ticks,0.616,0.62,1,False,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
34,2,archive,Nia,archive:arrival court:smell:2,smell,wax seal,0.644,0.64,0,False,guarded after boundary strain,ssrm.v42.sensory_memory.archive.Nia,True
36,3,repair_ring,Pax,repair_ring:bell alcove:sound:3,sound,bell hum,0.614,0.61,2,True,guarded after boundary strain,ssrm.v42.sensory_memory.repair_ring.Pax,True
38,3,roofward,Sera,roofward:glass stair:temperature:3,temperature,18.0C,0.626,0.63,2,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
40,3,signal,Ren,signal:arrival court:smell:3,smell,lamp oil,0.618,0.622,2,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
41,3,orchard,Ivo,orchard:mud row:temperature:3,temperature,14.8C,0.686,0.69,2,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
42,3,repair_ring,Pax,repair_ring:cool corner:sound:3,sound,wire snap,0.616,0.62,2,True,warmer if cue is familiar,ssrm.v42.sensory_memory.repair_ring.Pax,True
44,3,roofward,Sera,roofward:warm lane:temperature:3,temperature,19.2C,0.636,0.64,2,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
46,3,signal,Ren,signal:mast base:smell:3,smell,salt wind,0.628,0.632,2,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
47,3,orchard,Ivo,orchard:market plank:temperature:3,temperature,15.2C,0.696,0.7,2,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
48,3,repair_ring,Pax,repair_ring:arrival court:sound:3,sound,bell hum,0.594,0.59,2,True,guarded after boundary strain,ssrm.v42.sensory_memory.repair_ring.Pax,True
50,3,roofward,Sera,roofward:ledger loft:temperature:3,temperature,19.7C,0.646,0.65,2,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
52,3,signal,Ren,signal:lantern walk:smell:3,smell,hot glass,0.624,0.628,2,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
53,3,orchard,Ivo,orchard:satchel shed:temperature:3,temperature,16.4C,0.706,0.71,2,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
