tick_id,day,guild,region_id,assigned_agent,backlog_before,new_work,repair_capacity,backlog_after,repair_success,safety_clause,visible_guild_board
0,1,Bridgewright Guild,riverbend,Ari,0.18,0.0,0.0,0.18,False,normal repair safety,Bridgewright Guild:0.18
1,1,Glassgarden Guild,roofward,Fay,0.215,0.0,0.0,0.215,False,normal repair safety,Glassgarden Guild:0.21
2,1,Index Guild,archive_quarter,Nia,0.25,0.0,0.07445,0.17555,True,normal repair safety,Index Guild:0.18
3,1,Signal Guild,signal_ridge,Milo,0.285,0.0,0.0,0.285,False,normal repair safety,Signal Guild:0.29
4,1,Seed Guild,orchard_fen,Ivo,0.32,0.0,0.0,0.32,False,normal repair safety,Seed Guild:0.32
5,1,Bridgewright Guild,riverbend,Ari,0.18,0.0,0.0,0.18,False,normal repair safety,Bridgewright Guild:0.18
6,1,Glassgarden Guild,roofward,Fay,0.215,0.0,0.0,0.215,False,normal repair safety,Glassgarden Guild:0.21
7,1,Index Guild,archive_quarter,Nia,0.17555,0.0,0.07466,0.10089,True,normal repair safety,Index Guild:0.10
8,1,Signal Guild,signal_ridge,Milo,0.285,0.0,0.0,0.285,False,normal repair safety,Signal Guild:0.29
9,1,Seed Guild,orchard_fen,Ivo,0.32,0.0,0.0,0.32,False,normal repair safety,Seed Guild:0.32
10,1,Bridgewright Guild,riverbend,Ari,0.18,0.0,0.0,0.18,False,normal repair safety,Bridgewright Guild:0.18
11,1,Glassgarden Guild,roofward,Fay,0.215,0.0,0.0,0.215,False,normal repair safety,Glassgarden Guild:0.21
12,1,Index Guild,archive_quarter,Nia,0.10089,0.0,0.07487,0.02602,False,normal repair safety,Index Guild:0.03
13,1,Signal Guild,signal_ridge,Milo,0.285,0.0,0.0,0.285,False,normal repair safety,Signal Guild:0.29
14,1,Seed Guild,orchard_fen,Ivo,0.32,0.0,0.0,0.32,False,normal repair safety,Seed Guild:0.32
15,1,Bridgewright Guild,riverbend,Ari,0.18,0.0,0.07291,0.10709,True,normal repair safety,Bridgewright Guild:0.11
16,2,Glassgarden Guild,roofward,Fay,0.215,0.0,0.0,0.215,False,normal repair safety,Glassgarden Guild:0.21
17,2,Index Guild,archive_quarter,Nia,0.02602,0.0,0.0,0.02602,False,normal repair safety,Index Guild:0.03
18,2,Signal Guild,signal_ridge,Milo,0.285,0.0,0.075955,0.209045,True,normal repair safety,Signal Guild:0.21
19,2,Seed Guild,orchard_fen,Ivo,0.32,0.0,0.0,0.32,False,normal repair safety,Seed Guild:0.32
20,2,Bridgewright Guild,riverbend,Ari,0.10709,0.0,0.0,0.10709,False,normal repair safety,Bridgewright Guild:0.11
21,2,Glassgarden Guild,roofward,Fay,0.215,0.0,0.0,0.215,False,normal repair safety,Glassgarden Guild:0.21
22,2,Index Guild,archive_quarter,Nia,0.02602,0.0,0.0,0.02602,False,normal repair safety,Index Guild:0.03
23,2,Signal Guild,signal_ridge,Milo,0.209045,0.0,0.076165,0.13288,True,normal repair safety,Signal Guild:0.13
24,2,Seed Guild,orchard_fen,Ivo,0.32,0.0,0.0,0.32,False,normal repair safety,Seed Guild:0.32
25,2,Bridgewright Guild,riverbend,Ari,0.10709,0.0,0.0,0.10709,False,normal repair safety,Bridgewright Guild:0.11
26,2,Glassgarden Guild,roofward,Fay,0.215,0.0,0.0,0.215,False,normal repair safety,Glassgarden Guild:0.21
27,2,Index Guild,archive_quarter,Nia,0.02602,0.0,0.0,0.02602,False,normal repair safety,Index Guild:0.03
28,2,Signal Guild,signal_ridge,Milo,0.13288,0.0,0.076375,0.056505,False,normal repair safety,Signal Guild:0.06
29,2,Seed Guild,orchard_fen,Ivo,0.32,0.0,0.0,0.32,False,normal repair safety,Seed Guild:0.32
30,2,Bridgewright Guild,riverbend,Ari,0.10709,0.0,0.0,0.10709,False,normal repair safety,Bridgewright Guild:0.11
31,2,Glassgarden Guild,roofward,Fay,0.215,0.0,0.073995,0.141005,True,normal repair safety,Glassgarden Guild:0.14
32,3,Index Guild,archive_quarter,Nia,0.02602,0.0,0.0,0.02602,False,normal repair safety,Index Guild:0.03
