tick_id,day,settlement_id,resident_id,gesture,mismatch_type,repair_action,repair_success,risk_before,risk_after,visible_gesture_marker,bounded_repair
0,1,glass_harbor,Nia,tea hold,timing,slow repeat with resident correction,True,0.44,0.28,Nia:tea hold:timing,True
2,1,lichen_bridge,Rin,rope touch,none,gesture accepted,True,0.36,0.2,Rin:rope touch:none,True
4,1,moss_ward,Ari,cup pause,none,gesture accepted,True,0.36,0.2,Ari:cup pause:none,True
5,1,glass_harbor,Oren,lantern tap,timing,slow repeat with resident correction,True,0.44,0.28,Oren:lantern tap:timing,True
6,1,cinder_garden,Vale,cool hand,none,gesture accepted,True,0.36,0.2,Vale:cool hand:none,True
8,1,orchid_engine,Bea,open palms,none,gesture accepted,True,0.36,0.2,Bea:open palms:none,True
10,1,glass_harbor,Puck,net-hand open,timing,slow repeat with resident correction,True,0.44,0.28,Puck:net-hand open:timing,True
11,1,cinder_garden,Wren,shade bow,none,gesture accepted,True,0.36,0.2,Wren:shade bow:none,True
12,1,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.36,0.2,Kio:signal hush:none,True
14,1,moss_ward,Milo,empty hands,meaning,slow repeat with resident correction,True,0.44,0.28,Milo:empty hands:meaning,True
16,1,cinder_garden,Juno,seed-step stop,none,gesture accepted,True,0.36,0.2,Juno:seed-step stop:none,True
17,1,lichen_bridge,Luma,rope touch,none,gesture accepted,True,0.36,0.2,Luma:rope touch:none,True
18,2,moss_ward,Ari,cup pause,none,gesture accepted,True,0.342,0.182,Ari:cup pause:none,True
20,2,cinder_garden,Vale,cool hand,timing,slow repeat with resident correction,True,0.462,0.302,Vale:cool hand:timing,True
22,2,orchid_engine,Bea,open palms,none,gesture accepted,True,0.35,0.19,Bea:open palms:none,True
24,2,glass_harbor,Puck,net-hand open,none,gesture accepted,True,0.342,0.182,Puck:net-hand open:none,True
26,2,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.382,0.222,Kio:signal hush:none,True
28,2,moss_ward,Milo,empty hands,meaning,slow repeat with resident correction,True,0.43,0.27,Milo:empty hands:meaning,True
30,2,cinder_garden,Juno,seed-step stop,timing,slow repeat with resident correction,False,0.422,0.382,Juno:seed-step stop:timing,True
32,2,orchid_engine,Dax,valve pause,none,gesture accepted,True,0.4,0.24,Dax:valve pause:none,True
34,2,glass_harbor,Nia,lantern tap,none,gesture accepted,True,0.342,0.182,Nia:lantern tap:none,True
36,3,orchid_engine,Bea,open palms,none,gesture accepted,True,0.332,0.172,Bea:open palms:none,True
38,3,glass_harbor,Puck,net-hand open,none,gesture accepted,True,0.338,0.178,Puck:net-hand open:none,True
39,3,cinder_garden,Wren,shade bow,none,gesture accepted,True,0.332,0.172,Wren:shade bow:none,True
40,3,lichen_bridge,Kio,signal hush,timing,slow repeat with resident correction,True,0.416,0.256,Kio:signal hush:timing,True
42,3,moss_ward,Milo,empty hands,meaning,slow repeat with resident correction,False,0.412,0.372,Milo:empty hands:meaning,True
44,3,cinder_garden,Juno,seed-step stop,none,gesture accepted,True,0.338,0.178,Juno:seed-step stop:none,True
45,3,lichen_bridge,Luma,rope touch,timing,slow repeat with resident correction,True,0.412,0.252,Luma:rope touch:timing,True
46,3,orchid_engine,Dax,valve pause,none,gesture accepted,True,0.354,0.194,Dax:valve pause:none,True
48,3,glass_harbor,Nia,lantern tap,none,gesture accepted,True,0.324,0.164,Nia:lantern tap:none,True
50,3,lichen_bridge,Rin,shared bowl,timing,slow repeat with resident correction,True,0.43,0.27,Rin:shared bowl:timing,True
51,3,orchid_engine,Eli,open palms,none,gesture accepted,True,0.354,0.194,Eli:open palms:none,True
52,3,moss_ward,Ari,door-path step,none,gesture accepted,True,0.338,0.178,Ari:door-path step:none,True
54,4,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.358,0.198,Kio:signal hush:none,True
56,4,moss_ward,Milo,empty hands,meaning,slow repeat with resident correction,True,0.402,0.242,Milo:empty hands:meaning,True
58,4,cinder_garden,Juno,seed-step stop,none,gesture accepted,True,0.32,0.16,Juno:seed-step stop:none,True
60,4,orchid_engine,Dax,valve pause,timing,slow repeat with resident correction,False,0.456,0.416,Dax:valve pause:timing,True
62,4,glass_harbor,Nia,lantern tap,none,gesture accepted,True,0.314,0.154,Nia:lantern tap:none,True
64,4,lichen_bridge,Rin,shared bowl,none,gesture accepted,True,0.332,0.172,Rin:shared bowl:none,True
66,4,moss_ward,Ari,door-path step,none,gesture accepted,True,0.36,0.2,Ari:door-path step:none,True
68,4,cinder_garden,Vale,shade bow,none,gesture accepted,True,0.336,0.176,Vale:shade bow:none,True
70,4,orchid_engine,Bea,orchid cup,timing,slow repeat with resident correction,True,0.402,0.242,Bea:orchid cup:timing,True
72,5,cinder_garden,Juno,seed-step stop,none,gesture accepted,True,0.316,0.156,Juno:seed-step stop:none,True
73,5,lichen_bridge,Luma,rope touch,none,gesture accepted,True,0.304,0.144,Luma:rope touch:none,True
74,5,orchid_engine,Dax,valve pause,none,gesture accepted,True,0.33,0.17,Dax:valve pause:none,True
76,5,glass_harbor,Nia,lantern tap,none,gesture accepted,True,0.296,0.136,Nia:lantern tap:none,True
78,5,lichen_bridge,Rin,shared bowl,none,gesture accepted,True,0.328,0.168,Rin:shared bowl:none,True
79,5,orchid_engine,Eli,open palms,none,gesture accepted,True,0.326,0.166,Eli:open palms:none,True
80,5,moss_ward,Ari,door-path step,timing,slow repeat with resident correction,True,0.394,0.234,Ari:door-path step:timing,True
82,5,cinder_garden,Vale,shade bow,none,gesture accepted,True,0.318,0.158,Vale:shade bow:none,True
84,5,orchid_engine,Bea,orchid cup,meaning,slow repeat with resident correction,True,0.398,0.238,Bea:orchid cup:meaning,True
85,5,moss_ward,Fay,empty hands,timing,slow repeat with resident correction,True,0.4,0.24,Fay:empty hands:timing,True
86,5,glass_harbor,Puck,tea hold,none,gesture accepted,True,0.32,0.16,Puck:tea hold:none,True
88,5,lichen_bridge,Kio,rope touch,none,gesture accepted,True,0.312,0.152,Kio:rope touch:none,True
90,6,glass_harbor,Nia,lantern tap,timing,slow repeat with resident correction,True,0.366,0.206,Nia:lantern tap:timing,True
92,6,lichen_bridge,Rin,shared bowl,none,gesture accepted,True,0.31,0.15,Rin:shared bowl:none,True
94,6,moss_ward,Ari,door-path step,none,gesture accepted,True,0.336,0.176,Ari:door-path step:none,True
96,6,cinder_garden,Vale,shade bow,none,gesture accepted,True,0.308,0.148,Vale:shade bow:none,True
98,6,orchid_engine,Bea,orchid cup,meaning,slow repeat with resident correction,True,0.38,0.22,Bea:orchid cup:meaning,True
100,6,glass_harbor,Puck,tea hold,timing,slow repeat with resident correction,True,0.422,0.262,Puck:tea hold:timing,True
102,6,lichen_bridge,Kio,rope touch,none,gesture accepted,True,0.302,0.142,Kio:rope touch:none,True
104,6,moss_ward,Milo,cup pause,none,gesture accepted,True,0.304,0.144,Milo:cup pause:none,True
106,6,cinder_garden,Juno,cool hand,none,gesture accepted,True,0.338,0.178,Juno:cool hand:none,True
108,7,moss_ward,Ari,door-path step,none,gesture accepted,True,0.29,0.13,Ari:door-path step:none,True
110,7,cinder_garden,Vale,shade bow,timing,slow repeat with resident correction,True,0.37,0.21,Vale:shade bow:timing,True
112,7,orchid_engine,Bea,orchid cup,meaning,slow repeat with resident correction,True,0.376,0.216,Bea:orchid cup:meaning,True
113,7,moss_ward,Fay,empty hands,none,gesture accepted,True,0.292,0.132,Fay:empty hands:none,True
114,7,glass_harbor,Puck,tea hold,none,gesture accepted,True,0.296,0.136,Puck:tea hold:none,True
116,7,lichen_bridge,Kio,rope touch,none,gesture accepted,True,0.284,0.124,Kio:rope touch:none,True
118,7,moss_ward,Milo,cup pause,none,gesture accepted,True,0.3,0.14,Milo:cup pause:none,True
119,7,glass_harbor,Sera,lantern tap,meaning,slow repeat with resident correction,True,0.382,0.222,Sera:lantern tap:meaning,True
120,7,cinder_garden,Juno,cool hand,timing,slow repeat with resident correction,True,0.372,0.212,Juno:cool hand:timing,True
122,7,orchid_engine,Dax,open palms,none,gesture accepted,True,0.312,0.152,Dax:open palms:none,True
124,7,glass_harbor,Nia,net-hand open,none,gesture accepted,True,0.268,0.108,Nia:net-hand open:none,True
125,7,cinder_garden,Pax,shade bow,timing,slow repeat with resident correction,True,0.37,0.21,Pax:shade bow:timing,True
126,8,orchid_engine,Bea,orchid cup,meaning,slow repeat with resident correction,False,0.358,0.318,Bea:orchid cup:meaning,True
128,8,glass_harbor,Puck,tea hold,none,gesture accepted,True,0.318,0.158,Puck:tea hold:none,True
130,8,lichen_bridge,Kio,rope touch,timing,slow repeat with resident correction,True,0.354,0.194,Kio:rope touch:timing,True
