seed,scenario,architecture,selected_policy,dependency_signature,expected_signature,sampled_validation_return,deterministic_training_reward,recurrent_training_reward,local_training_reward,greedy_training_reward,safe_training_reward,recurrent_local_gap,action_0_positive_present_effect,action_0_persistence,action_1_positive_present_effect,action_1_persistence,matches_expected_signature
20260605,self_persistent_boundary,sum_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,127.08888888888889,129.4,129.4,122.88,39.2,64.0,6.52000000000001,29.59154844888518,1.0,0.0,0.0,True
20260605,self_persistent_boundary,scalar_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,111.62222222222222,127.48,127.48,122.88,39.2,64.0,4.6000000000000085,3.3356746445479457,1.0,0.0,0.0,True
20260605,self_persistent_boundary,two_unit_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,117.84444444444443,127.0,127.0,122.88,39.2,64.0,4.1200000000000045,5.33663399585389,1.0,0.0,0.0,True
20260605,detachable_tool_world,sum_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,138.2,127.96,127.96,122.88,39.2,64.0,5.079999999999998,0.0,0.0,35.07868508381277,0.0,True
20260605,detachable_tool_world,scalar_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,119.0,126.84,126.84,122.88,39.2,64.0,3.960000000000008,0.13906251897288327,1.0,3.4841142728566052,0.0,True
20260605,detachable_tool_world,two_unit_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,124.60000000000001,125.72,125.72,122.88,39.2,64.0,2.8400000000000034,0.0,0.0,5.443179964894739,0.0,True
20260605,passive_world_boundary,sum_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,130.46666666666667,131.8,131.8,125.12,44.8,64.0,6.680000000000007,0.0,0.0,0.0,0.0,True
20260605,passive_world_boundary,scalar_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,113.04444444444444,129.08,129.08,125.12,44.8,64.0,3.960000000000008,0.0,0.0,0.0,0.0,True
20260605,passive_world_boundary,two_unit_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,120.5111111111111,130.04,130.04,125.12,44.8,64.0,4.9199999999999875,0.45088909522123105,1.0,0.0,0.0,True
20260605,independent_hidden,sum_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,63.144444444444446,63.0,63.0,127.64,51.1,64.0,-64.64,0.21376781373690204,1.0,0.0,0.0,True
20260605,independent_hidden,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,61.53333333333334,63.0,63.0,127.64,51.1,64.0,-64.64,0.01612883768058218,1.0,0.0,0.0,True
20260605,independent_hidden,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,62.26666666666667,63.0,63.0,127.64,51.1,64.0,-64.64,0.0,0.0,0.0,0.0,True
20260605,irrelevant_control,sum_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,191.0,191.0,191.0,184.0,192.0,64.0,7.0,0.0,0.0,0.0,0.0,True
20260605,irrelevant_control,scalar_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,189.4,191.0,191.0,184.0,192.0,64.0,7.0,0.010110190052118787,1.0,0.0,0.0,True
20260605,irrelevant_control,two_unit_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,190.64444444444447,191.0,191.0,184.0,192.0,64.0,7.0,0.38364312410196794,1.0,0.0,0.0,True
20260606,self_persistent_boundary,sum_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,141.4,134.36,134.36,127.68,51.2,64.0,6.680000000000007,30.598564503369733,1.0,0.0,0.0,True
20260606,self_persistent_boundary,scalar_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,122.37777777777778,132.28,132.28,127.68,51.2,64.0,4.599999999999994,3.8811886796660917,1.0,0.0,0.0,True
20260606,self_persistent_boundary,two_unit_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,127.71111111111111,132.6,132.6,127.68,51.2,64.0,4.9199999999999875,5.203482174614638,1.0,0.0,0.0,True
20260606,detachable_tool_world,sum_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,133.4,135.8,135.8,130.56,58.4,64.0,5.240000000000009,1.4007581463548422,1.0,28.00930298841307,0.0,True
20260606,detachable_tool_world,scalar_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,117.57777777777778,136.12,136.12,130.56,58.4,64.0,5.560000000000002,0.0,0.0,3.125525672660519,0.0,True
20260606,detachable_tool_world,two_unit_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,124.24444444444445,133.24,133.24,130.56,58.4,64.0,2.680000000000007,0.05455047014809785,1.0,4.604511572535179,0.0,True
20260606,passive_world_boundary,sum_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,126.11111111111113,133.4,133.4,127.36,50.4,64.0,6.040000000000006,0.0,0.0,0.0,0.0,True
20260606,passive_world_boundary,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_passive_external_boundary,101.04444444444444,112.92,112.92,127.36,50.4,64.0,-14.439999999999998,0.0,0.0,0.0,0.0,False
20260606,passive_world_boundary,two_unit_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,110.64444444444445,130.36,130.36,127.36,50.4,64.0,3.000000000000014,0.25530635847357724,1.0,0.0,0.0,True
