tick_id,day,session_id,settlement_id,canvas_panel,animated_pathing_panel,inventory_ui_panel,tool_dispute_panel,repair_minigame_panel,phrase_consequence_panel,reload_panel,frequency_flower_panel,visible_boundary_notice,save_restore_key,replay_key
0,1,canvas-session-001,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v56.lichen_bridge.canvas-session-001,ssrm.v56.lichen_bridge.replay
1,1,canvas-session-001,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v56.orchid_engine.canvas-session-001,ssrm.v56.orchid_engine.replay
2,1,canvas-session-001,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v56.moss_ward.canvas-session-001,ssrm.v56.moss_ward.replay
3,1,canvas-session-001,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v56.glass_harbor.canvas-session-001,ssrm.v56.glass_harbor.replay
4,1,canvas-session-001,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v56.cinder_garden.canvas-session-001,ssrm.v56.cinder_garden.replay
5,1,canvas-session-001,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v56.lichen_bridge.canvas-session-001,ssrm.v56.lichen_bridge.replay
6,1,canvas-session-001,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v56.orchid_engine.canvas-session-001,ssrm.v56.orchid_engine.replay
7,1,canvas-session-001,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v56.moss_ward.canvas-session-001,ssrm.v56.moss_ward.replay
8,1,canvas-session-001,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v56.glass_harbor.canvas-session-001,ssrm.v56.glass_harbor.replay
9,1,canvas-session-001,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v56.cinder_garden.canvas-session-001,ssrm.v56.cinder_garden.replay
10,1,canvas-session-001,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v56.lichen_bridge.canvas-session-001,ssrm.v56.lichen_bridge.replay
11,1,canvas-session-001,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v56.orchid_engine.canvas-session-001,ssrm.v56.orchid_engine.replay
12,1,canvas-session-001,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v56.moss_ward.canvas-session-001,ssrm.v56.moss_ward.replay
13,1,canvas-session-001,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v56.glass_harbor.canvas-session-001,ssrm.v56.glass_harbor.replay
14,1,canvas-session-001,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v56.cinder_garden.canvas-session-001,ssrm.v56.cinder_garden.replay
15,1,canvas-session-001,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v56.lichen_bridge.canvas-session-001,ssrm.v56.lichen_bridge.replay
16,1,canvas-session-001,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v56.orchid_engine.canvas-session-001,ssrm.v56.orchid_engine.replay
17,1,canvas-session-001,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v56.moss_ward.canvas-session-001,ssrm.v56.moss_ward.replay
18,2,canvas-session-001,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v56.cinder_garden.canvas-session-001,ssrm.v56.cinder_garden.replay
19,2,canvas-session-001,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v56.lichen_bridge.canvas-session-001,ssrm.v56.lichen_bridge.replay
20,2,canvas-session-001,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v56.orchid_engine.canvas-session-001,ssrm.v56.orchid_engine.replay
21,2,canvas-session-001,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v56.moss_ward.canvas-session-001,ssrm.v56.moss_ward.replay
22,2,canvas-session-001,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v56.glass_harbor.canvas-session-001,ssrm.v56.glass_harbor.replay
