metric,value
source_v47_continuity,1.0
embodied_need_coupling,1.0
social_schedule_need_binding,1.0
household_care_duty_trace,1.0
fatigue_rest_negotiation_trace,1.0
weather_exposure_loan_trace,1.0
recoverable_welfare_state,1.0
welfare_recovery_path_visibility,0.9557613168724279
multi_reload_welfare_integrity,0.9903288201160542
browser_v48_surface,1.0
private_workspace_boundary_preserved,1.0
frequency_flower_welfare_binding,1.0
distress_not_spectacle,0.842
browser_world_v48_surface,1.0
weakest_channel_name,distress_not_spectacle
mean_embodied_welfare_channel_score,0.984864
weakest_channel_score,0.842
browser_world_v48_embodied_welfare_readiness,0.942005
session_day_count,216.0
embodied_need_frame_count,3888.0
social_schedule_need_frame_count,3888.0
household_care_duty_count,3094.0
fatigue_rest_negotiation_count,2616.0
weather_exposure_loan_count,3413.0
recoverable_welfare_frame_count,3888.0
welfare_recovery_improved_count,3716.0
welfare_reload_probe_count,517.0
browser_tick_count,3888.0
html_button_count,87.0
html_localstorage_handler_count,3.0
