tick_id,day,tick,season,region_id,weather_pattern,intensity,temperature,wetness,production_modifier,collapse_pressure,migration_pressure,sensory_weather_marker
0,1,0,spring_rain,riverbend,wet surge,0.5,0.44,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
1,1,1,spring_rain,roofward,wet surge,0.58,0.46,0.81,1.151,0.2094,0.398,spring_rain:wet surge:0.58
2,1,2,spring_rain,archive_quarter,wet surge,0.66,0.48,0.84,1.147,0.2238,0.406,spring_rain:wet surge:0.66
3,1,3,spring_rain,signal_ridge,wet surge,0.74,0.5,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
4,1,4,spring_rain,orchard_fen,wet surge,0.52,0.52,0.81,1.154,0.1986,0.392,spring_rain:wet surge:0.52
5,1,5,spring_rain,riverbend,wet surge,0.5,0.44,0.84,1.155,0.195,0.39,spring_rain:wet surge:0.50
6,1,6,spring_rain,roofward,wet surge,0.58,0.46,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
7,1,7,spring_rain,archive_quarter,wet surge,0.66,0.48,0.81,1.147,0.2238,0.406,spring_rain:wet surge:0.66
8,1,8,spring_rain,signal_ridge,wet surge,0.74,0.5,0.84,1.143,0.2382,0.414,spring_rain:wet surge:0.74
9,1,9,spring_rain,orchard_fen,wet surge,0.52,0.52,0.78,1.154,0.1986,0.392,spring_rain:wet surge:0.52
10,1,10,spring_rain,riverbend,wet surge,0.5,0.44,0.81,1.155,0.195,0.39,spring_rain:wet surge:0.50
11,1,11,spring_rain,roofward,wet surge,0.58,0.46,0.84,1.151,0.2094,0.398,spring_rain:wet surge:0.58
12,1,12,spring_rain,archive_quarter,wet surge,0.66,0.48,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
13,1,13,spring_rain,signal_ridge,wet surge,0.74,0.5,0.81,1.143,0.2382,0.414,spring_rain:wet surge:0.74
14,1,14,spring_rain,orchard_fen,wet surge,0.52,0.52,0.84,1.154,0.1986,0.392,spring_rain:wet surge:0.52
15,1,15,spring_rain,riverbend,wet surge,0.5,0.44,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
16,2,0,spring_rain,roofward,wet surge,0.58,0.44,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
17,2,1,spring_rain,archive_quarter,wet surge,0.66,0.46,0.81,1.147,0.2238,0.406,spring_rain:wet surge:0.66
18,2,2,spring_rain,signal_ridge,wet surge,0.74,0.48,0.84,1.143,0.2382,0.414,spring_rain:wet surge:0.74
19,2,3,spring_rain,orchard_fen,wet surge,0.42,0.5,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
20,2,4,spring_rain,riverbend,wet surge,0.6,0.52,0.81,1.15,0.213,0.4,spring_rain:wet surge:0.60
