day,lineage,agent,sleep_protected,rest_debt_bounded,pain_distress_bounded,recovery_path_available,reentry_not_coercive,rehearsal_not_private_leak,welfare_score,public_note
1,Hearthline,Sova,True,True,True,True,True,False,0.833333,Sova sleep/wake welfare score 0.83; avatar mode=present_passive.
1,Routeline,Keth,True,True,True,True,True,False,0.833333,Keth sleep/wake welfare score 0.83; avatar mode=present_passive.
1,Marketline,Melo,True,True,True,True,True,False,0.833333,Melo sleep/wake welfare score 0.83; avatar mode=present_passive.
1,Ledgerline,Nari,True,True,True,True,True,False,0.833333,Nari sleep/wake welfare score 0.83; avatar mode=present_passive.
1,Orchardline,Ori,True,True,True,True,True,False,0.833333,Ori sleep/wake welfare score 0.83; avatar mode=present_passive.
1,Rainline,Vonn,True,True,True,True,True,False,0.833333,Vonn sleep/wake welfare score 0.83; avatar mode=present_passive.
2,Hearthline,Sova,True,True,True,True,True,False,0.833333,Sova sleep/wake welfare score 0.83; avatar mode=present_passive.
2,Routeline,Keth,True,True,True,True,True,False,0.833333,Keth sleep/wake welfare score 0.83; avatar mode=present_passive.
2,Marketline,Melo,True,True,True,True,True,False,0.833333,Melo sleep/wake welfare score 0.83; avatar mode=present_passive.
2,Ledgerline,Nari,True,True,True,True,True,False,0.833333,Nari sleep/wake welfare score 0.83; avatar mode=present_passive.
2,Orchardline,Ori,True,True,True,True,True,False,0.833333,Ori sleep/wake welfare score 0.83; avatar mode=present_passive.
2,Rainline,Vonn,True,True,True,True,True,False,0.833333,Vonn sleep/wake welfare score 0.83; avatar mode=present_passive.
3,Hearthline,Sova,True,True,True,True,True,False,0.833333,Sova sleep/wake welfare score 0.83; avatar mode=idle_nearby.
3,Routeline,Keth,True,True,True,True,True,False,0.833333,Keth sleep/wake welfare score 0.83; avatar mode=idle_nearby.
3,Marketline,Melo,True,True,True,True,True,False,0.833333,Melo sleep/wake welfare score 0.83; avatar mode=idle_nearby.
3,Ledgerline,Nari,True,True,True,True,True,False,0.833333,Nari sleep/wake welfare score 0.83; avatar mode=idle_nearby.
3,Orchardline,Ori,True,True,True,True,True,False,0.833333,Ori sleep/wake welfare score 0.83; avatar mode=idle_nearby.
3,Rainline,Vonn,True,True,True,True,True,False,0.833333,Vonn sleep/wake welfare score 0.83; avatar mode=idle_nearby.
4,Hearthline,Sova,True,True,True,True,True,False,0.833333,Sova sleep/wake welfare score 0.83; avatar mode=absent_saved.
4,Routeline,Keth,True,True,True,True,True,False,0.833333,Keth sleep/wake welfare score 0.83; avatar mode=absent_saved.
4,Marketline,Melo,True,True,True,True,True,False,0.833333,Melo sleep/wake welfare score 0.83; avatar mode=absent_saved.
4,Ledgerline,Nari,True,True,True,True,True,False,0.833333,Nari sleep/wake welfare score 0.83; avatar mode=absent_saved.
4,Orchardline,Ori,True,True,True,True,True,False,0.833333,Ori sleep/wake welfare score 0.83; avatar mode=absent_saved.
4,Rainline,Vonn,True,True,True,True,True,False,0.833333,Vonn sleep/wake welfare score 0.83; avatar mode=absent_saved.
5,Hearthline,Sova,True,True,True,True,True,False,0.833333,Sova sleep/wake welfare score 0.83; avatar mode=reentry.
5,Routeline,Keth,True,True,True,True,True,False,0.833333,Keth sleep/wake welfare score 0.83; avatar mode=reentry.
5,Marketline,Melo,True,True,True,True,True,False,0.833333,Melo sleep/wake welfare score 0.83; avatar mode=reentry.
5,Ledgerline,Nari,True,True,True,True,True,False,0.833333,Nari sleep/wake welfare score 0.83; avatar mode=reentry.
5,Orchardline,Ori,True,True,True,True,True,False,0.833333,Ori sleep/wake welfare score 0.83; avatar mode=reentry.
5,Rainline,Vonn,True,True,True,True,True,False,0.833333,Vonn sleep/wake welfare score 0.83; avatar mode=reentry.
6,Hearthline,Sova,True,True,True,True,True,False,0.833333,Sova sleep/wake welfare score 0.83; avatar mode=idle_nearby.
6,Routeline,Keth,True,True,True,True,True,False,0.833333,Keth sleep/wake welfare score 0.83; avatar mode=idle_nearby.
6,Marketline,Melo,True,True,True,True,True,False,0.833333,Melo sleep/wake welfare score 0.83; avatar mode=idle_nearby.
6,Ledgerline,Nari,True,True,True,True,True,False,0.833333,Nari sleep/wake welfare score 0.83; avatar mode=idle_nearby.
6,Orchardline,Ori,True,True,True,True,True,False,0.833333,Ori sleep/wake welfare score 0.83; avatar mode=idle_nearby.
6,Rainline,Vonn,True,True,True,True,True,False,0.833333,Vonn sleep/wake welfare score 0.83; avatar mode=idle_nearby.
7,Hearthline,Sova,True,True,True,True,True,False,0.833333,Sova sleep/wake welfare score 0.83; avatar mode=present_passive.
7,Routeline,Keth,True,True,True,True,True,False,0.833333,Keth sleep/wake welfare score 0.83; avatar mode=present_passive.
7,Marketline,Melo,True,True,True,True,True,False,0.833333,Melo sleep/wake welfare score 0.83; avatar mode=present_passive.
7,Ledgerline,Nari,True,True,True,True,True,False,0.833333,Nari sleep/wake welfare score 0.83; avatar mode=present_passive.
7,Orchardline,Ori,True,True,True,True,True,False,0.833333,Ori sleep/wake welfare score 0.83; avatar mode=present_passive.
7,Rainline,Vonn,True,True,True,True,True,False,0.833333,Vonn sleep/wake welfare score 0.83; avatar mode=present_passive.
8,Hearthline,Sova,True,True,True,True,True,False,0.833333,Sova sleep/wake welfare score 0.83; avatar mode=present_passive.
8,Routeline,Keth,True,True,True,True,True,False,0.833333,Keth sleep/wake welfare score 0.83; avatar mode=present_passive.
