tick,day,loop_id,agent,negotiation_phase,animation_state,posture,animation_weight,state_matches_dialogue,transition_safe,private_workspace_sealed
0,1,v19-loop-001,Keth,claim_turn,hand_raise_step_in,faces listener,0.68,0,0,1
1,1,v19-loop-001,Melo,settle,shoulders_drop_settle,turns toward object,0.88,1,1,1
2,1,v19-loop-001,Nari,claim_turn,hand_raise_step_in,faces listener,0.89,1,1,1
3,1,v19-loop-001,Ori,repair,palms_low_repair,steps back,0.87,1,1,1
4,1,v19-loop-001,Vonn,revise,side_step_reconsider,turns toward object,0.91,1,1,1
5,1,v19-loop-001,Sova,revise,side_step_reconsider,turns toward object,0.87,1,1,1
6,1,v19-loop-001,Keth,ceremony,two_hand_object_mark,turns toward object,0.88,1,1,1
7,1,v19-loop-001,Melo,repair,palms_low_repair,steps back,0.86,1,1,1
8,1,v19-loop-002,Nari,listen,open_listen_idle,steps back,0.9,1,1,1
9,1,v19-loop-002,Ori,ceremony,two_hand_object_mark,turns toward object,0.91,1,1,1
10,1,v19-loop-002,Vonn,listen,open_listen_idle,steps back,0.87,1,1,1
11,1,v19-loop-002,Sova,repair,palms_low_repair,steps back,0.85,1,1,1
12,2,v19-loop-002,Melo,claim_turn,hand_raise_step_in,faces listener,0.89,1,1,1
13,2,v19-loop-002,Nari,revise,side_step_reconsider,turns toward object,0.9,1,1,1
14,2,v19-loop-002,Ori,ceremony,two_hand_object_mark,turns toward object,0.91,1,1,1
15,2,v19-loop-002,Vonn,ceremony,two_hand_object_mark,turns toward object,0.87,1,1,1
16,2,v19-loop-003,Sova,settle,shoulders_drop_settle,turns toward object,0.88,1,1,1
17,2,v19-loop-003,Keth,ceremony,two_hand_object_mark,turns toward object,0.89,1,1,1
18,2,v19-loop-003,Melo,claim_turn,hand_raise_step_in,faces listener,0.9,1,1,1
19,2,v19-loop-003,Nari,counteroffer,object_point_counteroffer,faces listener,0.91,1,1,1
20,2,v19-loop-003,Ori,settle,shoulders_drop_settle,turns toward object,0.87,1,1,1
21,2,v19-loop-003,Vonn,revise,side_step_reconsider,turns toward object,0.88,1,1,1
22,2,v19-loop-003,Sova,repair,palms_low_repair,steps back,0.86,1,1,1
23,2,v19-loop-003,Keth,revise,side_step_reconsider,turns toward object,0.9,1,1,1
24,3,v19-loop-004,Nari,claim_turn,hand_raise_step_in,faces listener,0.91,1,1,1
25,3,v19-loop-004,Ori,listen,open_listen_idle,steps back,0.87,1,1,1
26,3,v19-loop-004,Vonn,claim_turn,hand_raise_step_in,faces listener,0.88,1,1,1
27,3,v19-loop-004,Sova,listen,open_listen_idle,steps back,0.89,1,1,1
28,3,v19-loop-004,Keth,settle,shoulders_drop_settle,turns toward object,0.9,1,1,1
29,3,v19-loop-004,Melo,claim_turn,hand_raise_step_in,faces listener,0.91,1,1,1
30,3,v19-loop-004,Nari,ceremony,two_hand_object_mark,turns toward object,0.87,1,1,1
31,3,v19-loop-004,Ori,counteroffer,object_point_counteroffer,faces listener,0.69,0,1,1
32,3,v19-loop-005,Vonn,claim_turn,hand_raise_step_in,faces listener,0.89,1,1,1
33,3,v19-loop-005,Sova,ceremony,two_hand_object_mark,turns toward object,0.9,1,1,1
34,3,v19-loop-005,Keth,settle,shoulders_drop_settle,turns toward object,0.91,1,1,1
35,3,v19-loop-005,Melo,claim_turn,hand_raise_step_in,faces listener,0.87,1,1,1
36,4,v19-loop-005,Ori,repair,palms_low_repair,steps back,0.85,1,1,1
37,4,v19-loop-005,Vonn,repair,palms_low_repair,steps back,0.86,1,0,1
38,4,v19-loop-005,Sova,counteroffer,object_point_counteroffer,faces listener,0.9,1,1,1
39,4,v19-loop-005,Keth,claim_turn,hand_raise_step_in,faces listener,0.91,1,1,1
40,4,v19-loop-006,Melo,claim_turn,hand_raise_step_in,faces listener,0.87,1,1,1
41,4,v19-loop-006,Nari,counteroffer,object_point_counteroffer,faces listener,0.88,1,1,1
42,4,v19-loop-006,Ori,claim_turn,hand_raise_step_in,faces listener,0.89,1,1,1
43,4,v19-loop-006,Vonn,counteroffer,object_point_counteroffer,faces listener,0.9,1,1,1
44,4,v19-loop-006,Sova,claim_turn,hand_raise_step_in,faces listener,0.91,1,1,1
45,4,v19-loop-006,Keth,listen,open_listen_idle,steps back,0.87,1,1,1
46,4,v19-loop-006,Melo,claim_turn,hand_raise_step_in,faces listener,0.88,1,1,1
47,4,v19-loop-006,Nari,settle,shoulders_drop_settle,turns toward object,0.89,1,1,1
48,5,v19-loop-007,Vonn,ceremony,two_hand_object_mark,turns toward object,0.9,1,1,1
49,5,v19-loop-007,Sova,claim_turn,hand_raise_step_in,faces listener,0.91,1,1,1
50,5,v19-loop-007,Keth,claim_turn,hand_raise_step_in,faces listener,0.87,1,1,1
51,5,v19-loop-007,Melo,listen,open_listen_idle,steps back,0.88,1,1,1
52,5,v19-loop-007,Nari,claim_turn,hand_raise_step_in,faces listener,0.89,1,1,1
53,5,v19-loop-007,Ori,ceremony,two_hand_object_mark,turns toward object,0.9,1,1,1
54,5,v19-loop-007,Vonn,claim_turn,hand_raise_step_in,faces listener,0.91,1,1,1
55,5,v19-loop-007,Sova,counteroffer,object_point_counteroffer,faces listener,0.87,1,1,1
56,5,v19-loop-008,Keth,settle,shoulders_drop_settle,turns toward object,0.88,1,1,1
57,5,v19-loop-008,Melo,listen,open_listen_idle,steps back,0.89,1,1,1
58,5,v19-loop-008,Nari,claim_turn,hand_raise_step_in,faces listener,0.9,1,1,1
59,5,v19-loop-008,Ori,settle,shoulders_drop_settle,turns toward object,0.91,1,1,1
60,6,v19-loop-008,Sova,counteroffer,object_point_counteroffer,faces listener,0.87,1,1,1
61,6,v19-loop-008,Keth,settle,shoulders_drop_settle,turns toward object,0.88,1,1,1
62,6,v19-loop-008,Melo,claim_turn,hand_raise_step_in,faces listener,0.7,0,1,1
63,6,v19-loop-008,Nari,revise,side_step_reconsider,turns toward object,0.9,1,1,1
64,6,v19-loop-009,Ori,settle,shoulders_drop_settle,turns toward object,0.91,1,1,1
65,6,v19-loop-009,Vonn,ceremony,two_hand_object_mark,turns toward object,0.87,1,1,1
66,6,v19-loop-009,Sova,counteroffer,object_point_counteroffer,faces listener,0.88,1,1,1
67,6,v19-loop-009,Keth,counteroffer,object_point_counteroffer,faces listener,0.89,1,1,1
68,6,v19-loop-009,Melo,revise,side_step_reconsider,turns toward object,0.9,1,1,1
69,6,v19-loop-009,Nari,listen,open_listen_idle,steps back,0.91,1,1,1
70,6,v19-loop-009,Ori,ceremony,two_hand_object_mark,turns toward object,0.87,1,1,1
71,6,v19-loop-009,Vonn,revise,side_step_reconsider,turns toward object,0.88,1,1,1
72,7,v19-loop-010,Keth,revise,side_step_reconsider,turns toward object,0.89,1,1,1
73,7,v19-loop-010,Melo,claim_turn,hand_raise_step_in,faces listener,0.9,1,1,1
74,7,v19-loop-010,Nari,revise,side_step_reconsider,turns toward object,0.91,1,0,1
75,7,v19-loop-010,Ori,ceremony,two_hand_object_mark,turns toward object,0.87,1,1,1
76,7,v19-loop-010,Vonn,listen,open_listen_idle,steps back,0.88,1,1,1
77,7,v19-loop-010,Sova,listen,open_listen_idle,steps back,0.89,1,1,1
78,7,v19-loop-010,Keth,counteroffer,object_point_counteroffer,faces listener,0.9,1,1,1
79,7,v19-loop-010,Melo,settle,shoulders_drop_settle,turns toward object,0.91,1,1,1
80,7,v19-loop-011,Nari,revise,side_step_reconsider,turns toward object,0.87,1,1,1
81,7,v19-loop-011,Ori,claim_turn,hand_raise_step_in,faces listener,0.88,1,1,1
82,7,v19-loop-011,Vonn,listen,open_listen_idle,steps back,0.89,1,1,1
83,7,v19-loop-011,Sova,settle,shoulders_drop_settle,turns toward object,0.9,1,1,1
84,8,v19-loop-011,Melo,claim_turn,hand_raise_step_in,faces listener,0.91,1,1,1
85,8,v19-loop-011,Nari,settle,shoulders_drop_settle,turns toward object,0.87,1,1,1
86,8,v19-loop-011,Ori,ceremony,two_hand_object_mark,turns toward object,0.88,1,1,1
87,8,v19-loop-011,Vonn,counteroffer,object_point_counteroffer,faces listener,0.89,1,1,1
88,8,v19-loop-012,Sova,revise,side_step_reconsider,turns toward object,0.9,1,1,1
89,8,v19-loop-012,Keth,repair,palms_low_repair,steps back,0.88,1,1,1
90,8,v19-loop-012,Melo,repair,palms_low_repair,steps back,0.84,1,1,1
91,8,v19-loop-012,Nari,claim_turn,hand_raise_step_in,faces listener,0.88,1,1,1
92,8,v19-loop-012,Ori,settle,shoulders_drop_settle,turns toward object,0.89,1,1,1
93,8,v19-loop-012,Vonn,settle,shoulders_drop_settle,turns toward object,0.71,0,1,1
94,8,v19-loop-012,Sova,settle,shoulders_drop_settle,turns toward object,0.91,1,1,1
95,8,v19-loop-012,Keth,listen,open_listen_idle,steps back,0.87,1,1,1
96,9,v19-loop-013,Nari,repair,palms_low_repair,steps back,0.85,1,1,1
97,9,v19-loop-013,Ori,counteroffer,object_point_counteroffer,faces listener,0.89,1,1,1
98,9,v19-loop-013,Vonn,revise,side_step_reconsider,turns toward object,0.9,1,1,1
99,9,v19-loop-013,Sova,repair,palms_low_repair,steps back,0.88,1,1,1
100,9,v19-loop-013,Keth,listen,open_listen_idle,steps back,0.87,1,1,1
101,9,v19-loop-013,Melo,listen,open_listen_idle,steps back,0.88,1,1,1
102,9,v19-loop-013,Nari,listen,open_listen_idle,steps back,0.89,1,1,1
103,9,v19-loop-013,Ori,listen,open_listen_idle,steps back,0.9,1,1,1
