tick_id,year,tick,phase,household_id,market_exchange_id,ritual_id,token_id,technology_id,sensory_packet_id,avatar_gate_id,continuity_note
soc_tick_0_westkeepers,0,100,seed,westkeepers,market_0_westkeepers_to_mossgarden,ritual_0_westkeepers,token_0_westkeepers,tech_0_westkeepers,sense_0,gate_0,"Westkeepers links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_0_mossgarden,0,105,seed,mossgarden,market_0_mossgarden_to_ledgerkin,ritual_0_mossgarden,token_0_mossgarden,tech_0_mossgarden,sense_0,gate_0,"Mossgarden links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_0_ledgerkin,0,110,seed,ledgerkin,market_0_ledgerkin_to_redstair,ritual_0_ledgerkin,token_0_ledgerkin,tech_0_ledgerkin,sense_0,gate_0,"Ledgerkin links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_0_redstair,0,115,seed,redstair,market_0_redstair_to_wheelwright,ritual_0_redstair,token_0_redstair,tech_0_redstair,sense_0,gate_0,"Redstair links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_0_wheelwright,0,120,seed,wheelwright,market_0_wheelwright_to_westkeepers,ritual_0_wheelwright,token_0_wheelwright,tech_0_wheelwright,sense_0,gate_0,"Wheelwright links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_1_westkeepers,1,125,vesica,westkeepers,market_1_westkeepers_to_ledgerkin,ritual_1_westkeepers,token_1_westkeepers,tech_1_westkeepers,sense_1,gate_1,"Westkeepers links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_1_mossgarden,1,130,vesica,mossgarden,market_1_mossgarden_to_redstair,ritual_1_mossgarden,token_1_mossgarden,tech_1_mossgarden,sense_1,gate_1,"Mossgarden links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_1_ledgerkin,1,135,vesica,ledgerkin,market_1_ledgerkin_to_wheelwright,ritual_1_ledgerkin,token_1_ledgerkin,tech_1_ledgerkin,sense_1,gate_1,"Ledgerkin links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_1_redstair,1,140,vesica,redstair,market_1_redstair_to_westkeepers,ritual_1_redstair,token_1_redstair,tech_1_redstair,sense_1,gate_1,"Redstair links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_1_wheelwright,1,145,vesica,wheelwright,market_1_wheelwright_to_mossgarden,ritual_1_wheelwright,token_1_wheelwright,tech_1_wheelwright,sense_1,gate_1,"Wheelwright links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
