seed,belief_id,parent_belief_id,era,era_day,generation,resident,household,label,kind,confidence,evidence_count,contradiction_count,witness_count,abstraction_level,source,source_effect,source_effect_kind,law_hash,true_law_exposed,avatar_answer
36217,36217-BEL-000,root_observation,week_00,0,0,Fay,house_1,herb-jump,practical,0.419,1,0,1,0,public_anomaly_observation,smoke appeared and the test was stopped,risk,8b870bbf2174e222,False,False
36217,36217-BEL-001,36217-BEL-000,week_01,7,1,Ari,house_1,herb-jump/half-sign,useful_wrong,0.319,2,1,2,0,36217-PROP-00-4047,nothing repeated clearly,unclear,8b870bbf2174e222,False,False
36217,36217-BEL-002,36217-BEL-001,moon_02,42,2,Milo,house_2,handspan bite/dry-jump,useful_wrong,0.467,3,1,3,0,36217-PROP-01-1026,loose fiber jumped after rubbing,jump,8b870bbf2174e222,False,False
36217,36217-BEL-003,36217-BEL-002,season_01,120,3,Sera,house_3,dry-jump/smoke-bound,ritualized,0.367,4,2,4,0,36217-PROP-02-6830,smoke appeared and the test was stopped,risk,8b870bbf2174e222,False,False
36217,36217-BEL-004,36217-BEL-003,year_01,365,4,Sera,house_0,smoke-bound/quiet-doubt,skeptical,0.267,5,3,5,0,36217-PROP-03-4805,nothing repeated clearly,unclear,8b870bbf2174e222,False,False
36217,36217-BEL-005,36217-BEL-004,year_03,1095,5,Milo,house_1,quiet-doubt/fiber-rise,craft_rule,0.415,6,3,6,2,36217-PROP-04-8057,loose fiber jumped after rubbing,jump,8b870bbf2174e222,False,False
36217,36217-BEL-006,36217-BEL-005,generation_02,9125,6,Sera,house_2,fiber-rise/bench-tool-anger,ritualized,0.315,7,4,7,2,36217-PROP-05-8391,a tool edge cracked before the sign returned,breakage,8b870bbf2174e222,False,False
36217,36217-BEL-007,36217-BEL-006,generation_04,18250,7,Milo,house_3,bench-tool-anger/route-fiber-rise,craft_rule,0.463,8,4,8,4,36217-PROP-06-3679,loose fiber jumped after rubbing,jump,8b870bbf2174e222,False,False
36231,36231-BEL-000,root_observation,week_00,0,0,Sera,house_3,cold spark,useful_wrong,0.481,1,0,1,0,public_anomaly_observation,smoke appeared and the test was stopped,risk,8b870bbf2174e222,False,False
36231,36231-BEL-001,36231-BEL-000,week_01,7,1,Nia,house_3,cold spark/fiber-rise,skeptical,0.589,2,0,2,0,36231-PROP-00-5854,loose fiber jumped after rubbing,jump,8b870bbf2174e222,False,False
36231,36231-BEL-002,36231-BEL-001,moon_02,42,2,Fay,house_0,quiet sting/quiet-doubt,ritualized,0.489,3,1,3,0,36231-PROP-01-6822,nothing repeated clearly,unclear,8b870bbf2174e222,False,False
36231,36231-BEL-003,36231-BEL-002,season_01,120,3,Fay,house_1,jar omen/missing-repeat,skeptical,0.389,4,2,4,0,36231-PROP-02-5029,nothing repeated clearly,unclear,8b870bbf2174e222,False,False
36231,36231-BEL-004,36231-BEL-003,year_01,365,4,Tovan,house_2,missing-repeat/quiet-doubt,skeptical,0.289,5,3,5,0,36231-PROP-03-4762,nothing repeated clearly,unclear,8b870bbf2174e222,False,False
36231,36231-BEL-005,36231-BEL-004,year_03,1095,5,Fay,house_3,quiet-doubt/red-call,craft_rule,0.397,6,3,6,1,36231-PROP-04-2573,dark grains crawled toward the red scrap,motion,8b870bbf2174e222,False,False
36231,36231-BEL-006,36231-BEL-005,generation_02,9125,6,Fay,house_0,red-call/roof-tool-anger,safety_rule,0.297,7,4,7,1,36231-PROP-05-7822,a tool edge cracked before the sign returned,breakage,8b870bbf2174e222,False,False
36231,36231-BEL-007,36231-BEL-006,generation_04,18250,7,Nia,house_1,roof-tool-anger/route-quiet-doubt,skeptical,0.197,8,5,8,1,36231-PROP-06-7859,nothing repeated clearly,unclear,8b870bbf2174e222,False,False
36247,36247-BEL-000,root_observation,week_00,0,0,Fay,house_3,jar omen,ritualized,0.346,1,0,1,0,public_anomaly_observation,smoke appeared and the test was stopped,risk,8b870bbf2174e222,False,False
36247,36247-BEL-001,36247-BEL-000,week_01,7,1,Ari,house_3,jar omen/half-sign,skeptical,0.246,2,1,2,0,36247-PROP-00-8056,nothing repeated clearly,unclear,8b870bbf2174e222,False,False
36247,36247-BEL-002,36247-BEL-001,moon_02,42,2,Tovan,house_0,half-sign/ash-fear,ritualized,0.146,3,2,3,0,36247-PROP-01-9591,smoke appeared and the test was stopped,risk,8b870bbf2174e222,False,False
36247,36247-BEL-003,36247-BEL-002,season_01,120,3,Tovan,house_1,safe-gap/ash-fear,ritualized,0.046,4,3,4,0,36247-PROP-02-5063,smoke appeared and the test was stopped,risk,8b870bbf2174e222,False,False
36247,36247-BEL-004,36247-BEL-003,year_01,365,4,Nia,house_2,grain pull/water-hush,useful_wrong,0.02,5,4,5,0,36247-PROP-03-4828,wet pieces dulled the effect and left only a sting,dulling,8b870bbf2174e222,False,False
36247,36247-BEL-005,36247-BEL-004,year_03,1095,5,Milo,house_3,water-hush/rain-fail,ritualized,0.02,6,5,6,0,36247-PROP-04-5167,wet pieces dulled the effect and left only a sting,dulling,8b870bbf2174e222,False,False
36247,36247-BEL-006,36247-BEL-005,generation_02,9125,6,Milo,house_0,rain-fail/jar-rub-sign,craft_rule,0.128,7,5,7,1,36247-PROP-05-2108,loose fiber jumped after rubbing,jump,8b870bbf2174e222,False,False
36247,36247-BEL-007,36247-BEL-006,generation_04,18250,7,Tovan,house_1,jar-rub-sign/school-rub-sign,craft_rule,0.236,8,5,8,2,36247-PROP-06-9223,loose fiber jumped after rubbing,jump,8b870bbf2174e222,False,False
36263,36263-BEL-000,root_observation,week_00,0,0,Nia,house_3,glass sleep,ritualized,0.413,1,0,1,0,public_anomaly_observation,smoke appeared and the test was stopped,risk,8b870bbf2174e222,False,False
36263,36263-BEL-001,36263-BEL-000,week_01,7,1,Nia,house_3,glass sleep/missing-repeat,skeptical,0.313,2,1,3,0,36263-PROP-00-8046,nothing repeated clearly,unclear,8b870bbf2174e222,False,False
