turn_id,tick,speaker,listener,dialogue_act,public_line,relation_reference,object_reference,memory_write,trust_delta,conflict_delta,frequency_hz,flower_node,private_digest
dialogue-01,1,fayen,roka,care_check,"Do you want my hands near the reed bundle, or should I stay at the blue stone?",Fayen remembers Roka accepted closeness only after being asked.,reed mat bundle,Roka records Fayen asked before approaching learner work.,0.05,-0.03,199.256,3,sealed:fayen:roka:care_check
dialogue-02,1,roka,fayen,bounded_answer,"Blue stone first. Then I can show the loose reeds, not the tied ones.",Roka keeps the partial no from yesterday.,reed mat bundle,Fayen records the difference between loose reeds and tied bundle.,0.04,-0.02,211.048,4,sealed:roka:fayen:bounded_answer
dialogue-03,2,ariq,noro,coordination_request,"If the bridge stone moves now, which timber debt becomes visible?",Ariq remembers Noro requires ledger timing before movement.,flat bridge stone,Noro records Ariq asked before moving weight.,0.03,-0.01,221.94,5,sealed:ariq:noro:coordination_request
dialogue-04,2,noro,ariq,ledger_answer,"One public knot for the cart path, no household reason in the entry.",Noro holds Nian's privacy rule while helping repair.,knot ledger,Ariq records that ledger help can protect privacy.,0.03,-0.01,233.982,6,sealed:noro:ariq:ledger_answer
dialogue-05,3,nian,fayen,privacy_translation,"Say the care bell is for posture, not pain. The difference matters.",Nian remembers Fayen accepts sealed care language.,care bell,Fayen records the public wording boundary.,0.04,-0.02,245.739,7,sealed:nian:fayen:privacy_translation
dialogue-06,3,fayen,nian,repair_ack,Posture signal only. I will not name what is sealed.,Fayen repairs possible over-sharing before it happens.,care bell,Nian records pre-emptive privacy repair.,0.05,-0.04,256.713,8,sealed:fayen:nian:repair_ack
dialogue-07,4,roka,ariq,work_boundary,Your smaller stone is still close to my knee path.,Roka remembers Ariq changed the path once before.,small bridge stone,Ariq records a second distance warning.,-0.01,0.04,267.854,9,sealed:roka:ariq:work_boundary
dialogue-08,4,ariq,roka,correction_accept,I hear it. I will mark a chalk arc before lifting.,"Ariq treats the warning as useful, not defiant.",chalk arc,Roka records that Ariq accepted correction in public.,0.05,-0.05,280.772,10,sealed:ariq:roka:correction_accept
dialogue-09,5,noro,nian,boundary_check,Can the ledger say sealed-care digest without exposing the name?,Noro remembers Nian defended privacy without blocking the ledger.,archive flap,Nian records that Noro asked before public entry.,0.04,-0.03,291.164,11,sealed:noro:nian:boundary_check
dialogue-10,5,nian,noro,consent_rule,"Yes, if it names the object, not the body.",Nian distinguishes public object trail from private condition.,archive flap,Noro records the safe ledger grammar.,0.04,-0.03,302.524,12,sealed:nian:noro:consent_rule
dialogue-11,6,fayen,ariq,care_repair_balance,"Lift after the bell, not before. I am not stopping the repair.",Fayen remembers Ariq accepts posture checks when not shamed.,bridge stone,Ariq records care as timing help rather than blame.,0.03,-0.02,313.883,1,sealed:fayen:ariq:care_repair_balance
dialogue-12,6,ariq,fayen,timed_agreement,"After the bell. If the stone sounds hollow, I call Noro first.",Ariq links repair urgency to shared protocol.,bridge stone,Fayen records that Ariq can slow without losing face.,0.04,-0.03,326.106,2,sealed:ariq:fayen:timed_agreement
