tick_id,day,settlement_id,resident_id,welfare_before,welfare_after,distress_before,distress_after,safety_before,safety_after,recovery_action,recovery_latency_ticks,care_available,no_suffering_loop,visible_state_marker,emotion_label
0,1,cinder_garden,Juno,0.7152,0.825497,0.1592,0.098197,0.72,0.78,short rest lowers activation,3,True,True,turns toward shelter route,settled
1,1,lichen_bridge,Luma,0.68,0.762093,0.18,0.198287,0.72,0.67,monitors body state without spectacle,8,True,True,turns toward shelter route,settled
2,1,orchid_engine,Dax,0.7326,0.804893,0.1436,0.121558,0.72,0.69,household care lowers need pressure,4,True,True,turns toward shelter route,settled
3,1,moss_ward,Tala,0.68,0.784753,0.18,0.161839,0.72,0.71,short rest lowers activation,6,True,True,turns toward shelter route,settled
4,1,glass_harbor,Nia,0.7326,0.800867,0.1436,0.123012,0.72,0.66,household care lowers need pressure,3,True,True,turns toward shelter route,settled
5,1,cinder_garden,Pax,0.68,0.770714,0.18,0.195115,0.72,0.74,monitors body state without spectacle,7,True,True,turns toward shelter route,settled
6,1,lichen_bridge,Rin,0.7326,0.82151,0.1436,0.086962,0.72,0.67,short rest lowers activation,5,True,True,turns toward shelter route,settled
7,1,orchid_engine,Eli,0.68,0.762686,0.18,0.198551,0.72,0.69,monitors body state without spectacle,9,True,True,turns toward shelter route,settled
8,1,moss_ward,Ari,0.7326,0.806644,0.1436,0.120242,0.72,0.71,household care lowers need pressure,4,True,True,turns toward shelter route,settled
9,1,glass_harbor,Oren,0.68,0.777107,0.18,0.164871,0.72,0.66,short rest lowers activation,4,True,True,turns toward shelter route,settled
10,1,cinder_garden,Vale,0.7326,0.812362,0.1436,0.118031,0.72,0.74,household care lowers need pressure,3,True,True,turns toward shelter route,settled
11,1,lichen_bridge,Sol,0.68,0.760931,0.18,0.199055,0.72,0.67,monitors body state without spectacle,8,True,True,turns toward shelter route,settled
12,1,orchid_engine,Bea,0.7326,0.825384,0.1436,0.083697,0.72,0.69,short rest lowers activation,3,True,True,turns toward shelter route,settled
13,1,moss_ward,Fay,0.68,0.764821,0.18,0.197738,0.72,0.71,monitors body state without spectacle,10,True,True,turns toward shelter route,settled
14,1,glass_harbor,Puck,0.7326,0.799471,0.1436,0.123367,0.72,0.66,household care lowers need pressure,4,True,True,turns toward shelter route,settled
15,1,cinder_garden,Wren,0.68,0.789923,0.18,0.15963,0.72,0.74,short rest lowers activation,6,True,True,turns toward shelter route,settled
16,1,lichen_bridge,Kio,0.7326,0.802754,0.1436,0.121645,0.72,0.67,household care lowers need pressure,3,True,True,turns toward shelter route,settled
17,1,orchid_engine,Cai,0.68,0.762725,0.18,0.198436,0.72,0.69,monitors body state without spectacle,9,True,True,turns toward shelter route,settled
18,2,glass_harbor,Nia,0.836067,0.840707,0.102212,0.04608,0.66,0.64,short rest lowers activation,3,True,True,turns toward shelter route,settled
19,2,cinder_garden,Pax,0.770714,0.760736,0.195115,0.210804,0.74,0.705,monitors body state without spectacle,8,True,True,turns toward shelter route,settled
20,2,lichen_bridge,Rin,0.87411,0.845735,0.050562,0.04,0.67,0.645,household care lowers need pressure,4,True,True,turns toward shelter route,settled
21,2,orchid_engine,Eli,0.762686,0.763553,0.198551,0.185356,0.69,0.63,short rest lowers activation,6,True,True,turns toward shelter route,settled
22,2,moss_ward,Ari,0.859244,0.832174,0.083842,0.062743,0.71,0.66,household care lowers need pressure,3,True,True,turns toward shelter route,settled
23,2,glass_harbor,Oren,0.777107,0.763668,0.164871,0.186223,0.66,0.64,monitors body state without spectacle,7,True,True,turns toward shelter route,settled
24,2,cinder_garden,Vale,0.864962,0.853664,0.081631,0.04,0.74,0.705,short rest lowers activation,5,True,True,turns toward shelter route,settled
25,2,lichen_bridge,Sol,0.760931,0.748912,0.199055,0.218995,0.67,0.645,monitors body state without spectacle,9,True,True,turns toward shelter route,settled
26,2,orchid_engine,Bea,0.877984,0.842675,0.047297,0.04,0.69,0.63,household care lowers need pressure,4,True,True,turns toward shelter route,settled
27,2,moss_ward,Fay,0.764821,0.763404,0.197738,0.18541,0.71,0.66,short rest lowers activation,4,True,True,shakes cloak and avoids puddles,settled
28,2,glass_harbor,Puck,0.852071,0.828502,0.086967,0.067429,0.66,0.64,household care lowers need pressure,3,True,True,turns toward shelter route,settled
29,2,cinder_garden,Wren,0.789923,0.780095,0.15963,0.174995,0.74,0.705,monitors body state without spectacle,8,True,True,turns toward shelter route,settled
30,2,lichen_bridge,Kio,0.855354,0.846305,0.085245,0.04,0.67,0.645,short rest lowers activation,3,True,True,turns toward shelter route,settled
31,2,orchid_engine,Cai,0.762725,0.743151,0.198436,0.221351,0.69,0.63,monitors body state without spectacle,10,True,True,shakes cloak and avoids puddles,settled
32,2,moss_ward,Milo,0.7326,0.798695,0.1436,0.124039,0.72,0.67,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
33,2,glass_harbor,Sera,0.68,0.783935,0.18,0.162057,0.72,0.7,short rest lowers activation,6,True,True,turns toward shelter route,settled
34,2,cinder_garden,Juno,0.878097,0.855416,0.061797,0.04,0.78,0.745,household care lowers need pressure,3,True,True,turns toward shelter route,settled
35,2,lichen_bridge,Luma,0.762093,0.749495,0.198287,0.217934,0.67,0.645,monitors body state without spectacle,9,True,True,turns toward shelter route,settled
36,3,moss_ward,Ari,0.867374,0.845143,0.041943,0.04,0.66,0.665,short rest lowers activation,3,True,True,turns toward shelter route,settled
37,3,glass_harbor,Oren,0.763668,0.747652,0.186223,0.209827,0.64,0.61,monitors body state without spectacle,8,True,True,shakes cloak and avoids puddles,settled
38,3,cinder_garden,Vale,0.906264,0.854711,0.04,0.04,0.705,0.725,household care lowers need pressure,4,True,True,turns toward shelter route,settled
39,3,lichen_bridge,Sol,0.748912,0.75914,0.218995,0.203371,0.645,0.665,short rest lowers activation,6,True,True,turns toward shelter route,settled
40,3,orchid_engine,Bea,0.895275,0.840468,0.04,0.04,0.63,0.59,household care lowers need pressure,3,True,True,turns toward shelter route,settled
41,3,moss_ward,Fay,0.763404,0.751633,0.18541,0.208186,0.66,0.665,monitors body state without spectacle,7,True,True,shakes cloak and avoids puddles,settled
42,3,glass_harbor,Puck,0.881102,0.839761,0.04,0.04,0.64,0.61,short rest lowers activation,5,True,True,shakes cloak and avoids puddles,settled
43,3,cinder_garden,Wren,0.780095,0.767839,0.174995,0.191883,0.705,0.655,monitors body state without spectacle,9,True,True,turns toward shelter route,settled
44,3,lichen_bridge,Kio,0.898905,0.848046,0.04,0.04,0.645,0.665,household care lowers need pressure,4,True,True,turns toward shelter route,settled
45,3,orchid_engine,Cai,0.743151,0.746028,0.221351,0.21038,0.63,0.59,short rest lowers activation,4,True,True,shakes cloak and avoids puddles,settled
46,3,moss_ward,Milo,0.851295,0.830752,0.087639,0.0672,0.67,0.675,household care lowers need pressure,3,True,True,shakes cloak and avoids puddles,settled
47,3,glass_harbor,Sera,0.783935,0.770189,0.162057,0.181484,0.7,0.67,monitors body state without spectacle,8,True,True,turns toward shelter route,settled
48,3,cinder_garden,Juno,0.908016,0.853141,0.04,0.04,0.745,0.695,short rest lowers activation,3,True,True,turns toward shelter route,settled
49,3,lichen_bridge,Luma,0.749495,0.740709,0.217934,0.237476,0.645,0.665,monitors body state without spectacle,10,True,True,turns toward shelter route,settled
50,3,orchid_engine,Dax,0.857493,0.831287,0.085158,0.064099,0.69,0.65,household care lowers need pressure,4,True,True,turns toward shelter route,settled
51,3,moss_ward,Tala,0.784753,0.793473,0.161839,0.144361,0.71,0.715,short rest lowers activation,6,True,True,turns toward shelter route,settled
52,3,glass_harbor,Nia,0.893307,0.840156,0.04,0.04,0.64,0.61,household care lowers need pressure,3,True,True,turns toward shelter route,settled
53,3,cinder_garden,Pax,0.760736,0.748341,0.210804,0.227903,0.705,0.655,monitors body state without spectacle,9,True,True,turns toward shelter route,settled
54,4,orchid_engine,Bea,0.875668,0.84146,0.04,0.04,0.59,0.585,short rest lowers activation,3,True,True,turns toward shelter route,settled
55,4,moss_ward,Fay,0.751633,0.732464,0.208186,0.23459,0.665,0.635,monitors body state without spectacle,8,True,True,shakes cloak and avoids puddles,settled
56,4,glass_harbor,Puck,0.892361,0.841461,0.04,0.04,0.61,0.63,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
57,4,cinder_garden,Wren,0.767839,0.775113,0.191883,0.174569,0.655,0.625,short rest lowers activation,6,True,True,turns toward shelter route,settled
58,4,lichen_bridge,Kio,0.900646,0.841446,0.04,0.04,0.665,0.585,household care lowers need pressure,3,True,True,turns toward shelter route,settled
59,4,orchid_engine,Cai,0.746028,0.734293,0.21038,0.233862,0.59,0.585,monitors body state without spectacle,7,True,True,turns toward shelter route,settled
60,4,moss_ward,Milo,0.883352,0.840791,0.04,0.04,0.675,0.645,short rest lowers activation,5,True,True,shakes cloak and avoids puddles,settled
61,4,glass_harbor,Sera,0.770189,0.761432,0.181484,0.200953,0.67,0.69,monitors body state without spectacle,9,True,True,turns toward shelter route,settled
62,4,cinder_garden,Juno,0.905741,0.851643,0.04,0.04,0.695,0.665,household care lowers need pressure,4,True,True,turns toward shelter route,settled
63,4,lichen_bridge,Luma,0.740709,0.739787,0.237476,0.225348,0.665,0.585,short rest lowers activation,4,True,True,seeks warmer or cooler edge,settled
64,4,orchid_engine,Dax,0.883887,0.845284,0.04,0.04,0.65,0.645,household care lowers need pressure,3,True,True,turns toward shelter route,settled
65,4,moss_ward,Tala,0.793473,0.775585,0.144361,0.166494,0.715,0.685,monitors body state without spectacle,8,True,True,shakes cloak and avoids puddles,settled
66,4,glass_harbor,Nia,0.892756,0.842743,0.04,0.04,0.61,0.63,short rest lowers activation,3,True,True,turns toward shelter route,settled
67,4,cinder_garden,Pax,0.748341,0.736237,0.227903,0.246314,0.655,0.625,monitors body state without spectacle,10,True,True,turns toward shelter route,settled
68,4,lichen_bridge,Rin,0.898335,0.83994,0.04,0.04,0.645,0.565,household care lowers need pressure,4,True,True,turns toward shelter route,settled
69,4,orchid_engine,Eli,0.763553,0.77204,0.185356,0.171238,0.63,0.625,short rest lowers activation,6,True,True,turns toward shelter route,settled
70,4,moss_ward,Ari,0.897743,0.839719,0.04,0.04,0.665,0.635,household care lowers need pressure,3,True,True,shakes cloak and avoids puddles,settled
71,4,glass_harbor,Oren,0.747652,0.736171,0.209827,0.233659,0.61,0.63,monitors body state without spectacle,9,True,True,shakes cloak and avoids puddles,settled
72,5,lichen_bridge,Kio,0.876646,0.837422,0.04,0.04,0.585,0.555,short rest lowers activation,3,True,True,turns toward shelter route,settled
73,5,orchid_engine,Cai,0.734293,0.723412,0.233862,0.257257,0.585,0.605,monitors body state without spectacle,8,True,True,turns toward shelter route,settled
74,5,moss_ward,Milo,0.893391,0.842479,0.04,0.04,0.645,0.665,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
75,5,glass_harbor,Sera,0.761432,0.767333,0.200953,0.186858,0.69,0.685,short rest lowers activation,6,True,True,turns toward shelter route,settled
76,5,cinder_garden,Juno,0.904243,0.853545,0.04,0.04,0.665,0.695,household care lowers need pressure,3,True,True,turns toward shelter route,settled
77,5,lichen_bridge,Luma,0.739787,0.719009,0.225348,0.252751,0.585,0.555,monitors body state without spectacle,7,True,True,shakes cloak and avoids puddles,settled
78,5,orchid_engine,Dax,0.897884,0.847836,0.04,0.04,0.645,0.665,short rest lowers activation,5,True,True,turns toward shelter route,settled
79,5,moss_ward,Tala,0.775585,0.765327,0.166494,0.188696,0.685,0.705,monitors body state without spectacle,9,True,True,shakes cloak and avoids puddles,settled
80,5,glass_harbor,Nia,0.895343,0.840181,0.04,0.04,0.63,0.625,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
