metric,value
avatar_entry_after_deep_time_only,1.0
avatar_entry_allowed_count,6.0
browser_world_v37_deep_time_readiness,0.940051
browser_world_v37_surface,1.0
civilization_strata_continuity,1.0
civilization_strata_count,480.0
cultural_diversity_without_chaos,0.838
deep_time_generation_rows,480.0
deep_time_year_span,1.0
emergent_language_ledger_binding,1.0
frequency_flower_culture_rate_binding,1.0
generation_count,80.0
generation_depth,1.0
html_button_count,8.0
html_localstorage_handler_count,2.0
language_ledger_count,480.0
mean_deep_time_civilization_channel_score,0.983787
playable_browser_entry_surface,0.9688
pre_avatar_entry_locked,1.0
pre_avatar_locked_gate_count,474.0
ritual_culture_frequency_binding,1.0
ritual_ledger_count,480.0
sensory_ecology_binding,1.0
settlement_count,6.0
settlement_memory_count,480.0
settlement_memory_persistence,0.95
source_v36_continuity,1.0
technology_ledger_count,480.0
technology_progression_causality,1.0
total_years,2400.0
weakest_channel_name,cultural_diversity_without_chaos
weakest_channel_score,0.838
