tick_id,day,agent_id,cause_intent,energy,comfort,pain,safety,wetness,temperature,arousal,trust_avatar,sound_cue,smell_cue,temperature_cue,frequency_rate_hz,flower_node,body_delta_visible,localstorage_body_written
0,1,Ari,rush_agent,0.69,0.595,0.095,0.56,0.18,0.555,0.42,0.535,river slap,cedar resin,cold spray,0.50415,node-03,True,True
2,1,Nia,ask_status,0.716,0.525,0.08,0.634,0.18,0.56,0.33,0.554,page flutter,ink linen,cool stone,0.6466,node-08,True,True
3,1,Milo,ask_status,0.716,0.465,0.08,0.634,0.18,0.56,0.33,0.504,static crickets,lamp oil,cool dusk,0.5266,node-11,True,True
5,1,Juno,ask_memory,0.714,0.492,0.08,0.63,0.18,0.56,0.358,0.54,bell hum,hot copper,warm metal,0.49164,node-09,True,True
7,1,Fay,rush_agent,0.69,0.645,0.095,0.56,0.18,0.555,0.42,0.575,hinges ticking,thyme paper,warm draft,0.62415,node-05,True,True
9,1,Milo,ask_status,0.712,0.48,0.08,0.648,0.18,0.56,0.32,0.518,static crickets,lamp oil,cool dusk,0.5648,node-11,True,True
10,1,Ivo,ask_risky_action,0.685,0.525,0.1,0.54,0.2,0.55,0.43,0.54,cart creak,apple soil,damp air,0.6664,node-01,True,True
12,2,Ari,offer_care,0.708,0.65,0.085,0.61,0.16,0.575,0.375,0.575,river slap,cedar resin,cold spray,0.49515,node-03,True,True
14,2,Nia,protect_object,0.712,0.57,0.076,0.694,0.165,0.568,0.308,0.604,page flutter,ink linen,cool stone,0.64228,node-08,True,True
15,2,Milo,ask_status,0.708,0.495,0.08,0.662,0.18,0.56,0.31,0.532,static crickets,lamp oil,cool dusk,0.523,node-11,True,True
17,2,Juno,apologize,0.72,0.532,0.074,0.668,0.174,0.572,0.323,0.595,bell hum,hot copper,warm metal,0.4848,node-09,True,True
19,2,Fay,offer_care,0.708,0.7,0.085,0.61,0.16,0.575,0.375,0.615,hinges ticking,thyme paper,warm draft,0.61515,node-05,True,True
21,2,Milo,ask_status,0.704,0.51,0.08,0.676,0.18,0.56,0.3,0.546,static crickets,lamp oil,cool dusk,0.5612,node-11,True,True
22,2,Ivo,ask_help,0.675,0.545,0.1,0.558,0.2,0.55,0.436,0.556,cart creak,apple soil,damp air,0.66748,node-01,True,True
24,3,Ari,ask_memory,0.702,0.662,0.085,0.62,0.16,0.575,0.393,0.595,river slap,cedar resin,cold spray,0.49839,node-03,True,True
26,3,Nia,ask_risky_action,0.677,0.515,0.096,0.614,0.185,0.558,0.398,0.544,page flutter,ink linen,cool stone,0.66028,node-08,True,True
27,3,Milo,ask_status,0.7,0.525,0.08,0.69,0.18,0.56,0.29,0.56,static crickets,lamp oil,cool dusk,0.5194,node-11,True,True
29,3,Juno,ask_status,0.716,0.547,0.074,0.682,0.174,0.572,0.313,0.609,bell hum,hot copper,warm metal,0.483,node-09,True,True
31,3,Fay,ask_memory,0.702,0.712,0.085,0.62,0.16,0.575,0.393,0.635,hinges ticking,thyme paper,warm draft,0.61839,node-05,True,True
33,3,Milo,ask_status,0.696,0.54,0.08,0.704,0.18,0.56,0.28,0.574,static crickets,lamp oil,cool dusk,0.5576,node-11,True,True
34,3,Ivo,rush_agent,0.645,0.5,0.115,0.498,0.2,0.545,0.516,0.511,cart creak,apple soil,damp air,0.68323,node-01,True,True
36,4,Ari,apologize,0.708,0.702,0.079,0.658,0.154,0.587,0.358,0.65,river slap,cedar resin,cold spray,0.49155,node-03,True,True
38,4,Nia,ask_help,0.667,0.535,0.096,0.632,0.185,0.558,0.404,0.56,page flutter,ink linen,cool stone,0.66136,node-08,True,True
39,4,Milo,ask_status,0.692,0.555,0.08,0.718,0.18,0.56,0.27,0.588,static crickets,lamp oil,cool dusk,0.5158,node-11,True,True
41,4,Juno,protect_object,0.712,0.592,0.07,0.742,0.159,0.58,0.291,0.659,bell hum,hot copper,warm metal,0.47868,node-09,True,True
43,4,Fay,apologize,0.708,0.752,0.079,0.658,0.154,0.587,0.358,0.69,hinges ticking,thyme paper,warm draft,0.61155,node-05,True,True
45,4,Milo,ask_status,0.688,0.57,0.08,0.732,0.18,0.56,0.26,0.602,static crickets,lamp oil,cool dusk,0.554,node-11,True,True
46,4,Ivo,offer_care,0.663,0.555,0.105,0.548,0.18,0.565,0.471,0.551,cart creak,apple soil,damp air,0.67423,node-01,True,True
48,5,Ari,ask_status,0.704,0.717,0.079,0.672,0.154,0.587,0.348,0.664,river slap,cedar resin,cold spray,0.48975,node-03,True,True
50,5,Nia,rush_agent,0.637,0.49,0.111,0.572,0.185,0.553,0.484,0.515,page flutter,ink linen,cool stone,0.67711,node-08,True,True
51,5,Milo,ask_status,0.684,0.585,0.08,0.746,0.18,0.56,0.25,0.616,static crickets,lamp oil,cool dusk,0.5122,node-11,True,True
53,5,Juno,ask_risky_action,0.677,0.537,0.09,0.662,0.179,0.57,0.381,0.599,bell hum,hot copper,warm metal,0.49668,node-09,True,True
55,5,Fay,ask_status,0.704,0.767,0.079,0.672,0.154,0.587,0.348,0.704,hinges ticking,thyme paper,warm draft,0.60975,node-05,True,True
57,5,Milo,ask_status,0.68,0.6,0.08,0.76,0.18,0.56,0.24,0.63,static crickets,lamp oil,cool dusk,0.5504,node-11,True,True
58,5,Ivo,ask_memory,0.657,0.567,0.105,0.558,0.18,0.565,0.489,0.571,cart creak,apple soil,damp air,0.67747,node-01,True,True
60,6,Ari,protect_object,0.7,0.762,0.075,0.732,0.139,0.595,0.326,0.714,river slap,cedar resin,cold spray,0.48543,node-03,True,True
62,6,Nia,offer_care,0.655,0.545,0.101,0.622,0.165,0.573,0.439,0.555,page flutter,ink linen,cool stone,0.66811,node-08,True,True
63,6,Milo,ask_status,0.676,0.615,0.08,0.774,0.18,0.56,0.23,0.644,static crickets,lamp oil,cool dusk,0.5086,node-11,True,True
65,6,Juno,ask_help,0.667,0.557,0.09,0.68,0.179,0.57,0.387,0.615,bell hum,hot copper,warm metal,0.49776,node-09,True,True
67,6,Fay,protect_object,0.7,0.812,0.075,0.732,0.139,0.595,0.326,0.754,hinges ticking,thyme paper,warm draft,0.60543,node-05,True,True
69,6,Milo,ask_status,0.672,0.63,0.08,0.788,0.18,0.56,0.22,0.658,static crickets,lamp oil,cool dusk,0.5468,node-11,True,True
