metric,value
source_v40_continuity,1.0
realtime_scheduler_tick_coherence,0.91064453125
resident_task_queue_dispatch,0.875
resident_task_completion,0.8342633928571429
task_queue_dependency_respect,1.0
multi_object_project_progression,1.0
multi_object_dependency_safety,1.0
project_rollback_safety,1.0
care_consent_before_treatment,1.0
care_refusal_respected,1.0
care_distress_bounded,1.0
dialect_relationship_restore_visibility,1.0
long_session_relationship_memory,0.9547228727556596
save_restore_state_visibility,1.0
browser_v41_surface,1.0
frequency_flower_scheduler_binding,1.0
private_workspace_boundary_preserved,1.0
consent_refusal_recovery_not_spectacle,0.842
browser_world_v41_surface,1.0
weakest_channel_name,resident_task_completion
mean_realtime_queue_consent_channel_score,0.969296
weakest_channel_score,0.834263
browser_world_v41_realtime_queue_consent_readiness,0.928786
session_day_count,128.0
scheduler_tick_count,2048.0
task_queue_count,2048.0
task_started_count,1792.0
task_completed_count,1495.0
project_frame_count,1195.0
project_dependency_safe_count,1195.0
care_consent_count,709.0
care_refusal_or_deferred_count,137.0
care_refusal_respected_count,137.0
dialect_relationship_count,1281.0
dialect_restore_visible_count,1252.0
long_session_relationship_memory_count,1223.0
save_restore_count,298.0
browser_tick_count,2048.0
html_button_count,42.0
html_localstorage_handler_count,6.0
