tick_id,route_id,agent,sound_cue,smell_cue,temperature_cue,rhythm_marker,flower_node,sensory_bound_to_click,sensory_bound_to_body_reaction
0,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-1,True,True
1,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-3,True,True
2,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-5,True,True
3,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-7,True,True
4,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-9,False,False
5,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-11,True,True
6,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-7,True,True
7,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-9,True,True
8,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,flower-node,node-11,True,True
9,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-1,True,True
10,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-3,False,False
11,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-5,False,True
12,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-2,True,True
13,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-4,False,True
14,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-6,True,True
15,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-8,True,True
16,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,flower-node,node-10,False,False
17,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-0,True,True
18,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-8,True,True
19,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-10,False,True
20,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-0,True,True
21,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-2,True,True
