tick_id,day,route_id,snapshot_id,session_id,snapshot_version,exported,imported,shared_across_session,snapshot_hash,restored_branch,restored_recovery,sync_visible
0,1,riverbend_roofward,snap:riverbend_roofward:v2,session:1,2,True,False,False,v32-510428,river ford,0.637598,True
1,1,roofward_archive,snap:roofward_archive:v2,session:1,2,False,True,True,v32-495263,glass stair,0.634718,True
2,1,archive_signal,snap:archive_signal:v2,session:1,2,True,False,True,v32-550485,paper lane,0.637838,True
3,1,signal_orchard,snap:signal_orchard:v2,session:1,2,False,True,True,v32-437830,dusk road,0.583598,True
4,1,orchard_riverbend,snap:orchard_riverbend:v1,session:1,1,False,False,False,v32-477035,fen track,0.568718,False
5,1,central_repair_ring,snap:central_repair_ring:v2,session:1,2,True,False,False,v32-726478,inner repair yard,0.559838,True
6,1,riverbend_roofward,snap:riverbend_roofward:v3,session:1,3,True,False,True,v32-795674,orchard ridge detour,0.653197,True
7,1,roofward_archive,snap:roofward_archive:v3,session:1,3,True,True,True,v32-525492,glass stair,0.637437,True
8,1,archive_signal,snap:archive_signal:v2,session:1,2,False,False,False,v32-591238,paper lane,0.645835,False
9,1,signal_orchard,snap:signal_orchard:v2,session:1,2,False,False,False,v32-467479,dusk road,0.581197,False
10,1,orchard_riverbend,snap:orchard_riverbend:v2,session:1,2,True,False,False,v32-748493,market plank route,0.583437,True
11,1,central_repair_ring,snap:central_repair_ring:v3,session:1,3,False,True,True,v32-762665,inner repair yard,0.57377,True
12,1,riverbend_roofward,snap:riverbend_roofward:v4,session:1,4,True,False,True,v32-648723,river ford,0.68086,True
13,1,roofward_archive,snap:roofward_archive:v4,session:1,4,False,True,True,v32-525867,glass stair,0.640155,True
14,2,archive_signal,snap:archive_signal:v3,session:1,3,True,True,True,v32-590962,paper lane,0.648272,True
15,2,signal_orchard,snap:signal_orchard:v2,session:1,2,False,False,False,v32-466590,dusk road,0.591235,False
16,2,orchard_riverbend,snap:orchard_riverbend:v3,session:1,3,True,False,True,v32-613182,fen track,0.59866,True
17,2,central_repair_ring,snap:central_repair_ring:v4,session:1,4,False,True,True,v32-753615,inner repair yard,0.576142,True
18,2,riverbend_roofward,snap:riverbend_roofward:v4,session:1,4,False,False,False,v32-640658,river ford,0.691028,False
19,2,roofward_archive,snap:roofward_archive:v4,session:1,4,False,False,False,v32-524691,glass stair,0.637314,False
20,2,archive_signal,snap:archive_signal:v4,session:1,4,True,True,True,v32-552834,stone kiosk path,0.668709,True
21,2,signal_orchard,snap:signal_orchard:v3,session:1,3,True,False,True,v32-466057,dusk road,0.589274,True
22,2,orchard_riverbend,snap:orchard_riverbend:v3,session:1,3,False,False,False,v32-606132,fen track,0.607948,False
