tick,day,scene_id,focus_agent,object_dialogue_visible,owned_inventory_request_visible,reaction_consequence_visible,later_behavior_changed,access_gate_visible,agent_initiated_behavior_visible,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
0,1,v23-scene-d01,Keth,1,1,0,0,1,0,1.2,82.29,Keth requests path cord because prior reaction was watching,1
1,1,v23-scene-d01,Ori,0,0,0,0,1,0,1.18,216.997764,Ori keeps routine near sap hook,1
2,1,v23-scene-d01,Ori,1,1,0,0,1,0,1.2,359.075528,Ori requests sap hook because prior reaction was watching,1
3,1,v23-scene-d01,Nari,1,1,0,0,1,0,1.2,141.553292,Nari refuses ink ledger access and offers a safer alternative,1
4,1,v23-scene-d01,Sova,1,1,0,0,0,0,1.2,283.011056,Sova requests moth lantern because prior reaction was watching,1
5,1,v23-scene-d01,Melo,1,0,0,0,0,0,1.18,59.07882,Melo keeps routine near tally beads,1
6,1,v23-scene-d01,Nari,1,1,1,1,0,1,1.39,202.416584,Nari requests fern key because prior reaction was asks-space,1
7,1,v23-scene-d01,Ori,0,0,1,1,1,0,1.35,336.914348,Ori changes path from saved reaction welcoming,1
8,1,v23-scene-d01,Sova,1,1,0,0,1,0,1.2,107.082112,Sova refuses moth lantern access and offers a safer alternative,1
9,1,v23-scene-d01,Nari,0,0,1,1,1,1,1.35,246.139876,Nari changes path from saved reaction softens,1
10,1,v23-scene-d01,Sova,1,1,1,1,0,1,1.39,31.69764,Sova requests moth lantern because prior reaction was asks-space,1
11,1,v23-scene-d01,Keth,1,1,1,1,1,1,1.32,164.345404,Keth requests path cord because prior reaction was welcoming,1
12,1,v23-scene-d01,Ori,1,0,1,1,1,0,1.35,300.943168,Ori changes path from saved reaction welcoming,1
13,1,v23-scene-d01,Melo,1,0,0,0,0,0,1.18,79.070932,Melo keeps routine near tally beads,1
14,1,v23-scene-d01,Keth,1,1,1,1,1,1,1.32,221.668696,Keth requests path cord because prior reaction was welcoming,1
15,1,v23-scene-d01,Nari,1,1,1,1,1,1,1.37,3.75646,Nari requests ink ledger because prior reaction was softens,1
