schedule_id,day,lineage,agent,schedule_before,avatar_effect,schedule_after,delay_minutes,work_progress_delta,care_pause_minutes,routine_memory,schedule_hash
1,1,Routeline,Keth,"Keth day 1 route: teach, repair, rest, public ledger",care route advances,task advances with avatar helper slot and rollback note,3,0.018,3,Keth carries carry_water into tomorrow's schedule; progress=0.23,a7ffeed5593fb1c4
2,1,Orchardline,Ori,"Ori day 1 route: teach, repair, rest, public ledger",fatigue pause accepted,work resumes slower with less fatigue debt,12,-0.004,12,Ori carries request_pause into tomorrow's schedule; progress=0.30,4e8a7b4d599d21de
3,1,Rainline,Vonn,"Vonn day 1 route: teach, repair, rest, public ledger",boundary review interrupts routine,repair work pauses until public boundary is restored,18,-0.018,0,Vonn carries overreach_private into tomorrow's schedule; progress=0.31,ad5cdff5f5a7a44c
4,1,Hearthline,Sova,"Sova day 1 route: teach, repair, rest, public ledger",boundary repair reopens task access,public route resumes with witness present,4,0.022,6,Sova carries repair_overreach into tomorrow's schedule; progress=0.20,dc221eac454e3350
5,1,Routeline,Keth,"Keth day 1 route: teach, repair, rest, public ledger",route work gains helper slot,task advances with avatar helper slot and rollback note,7,0.03,0,Keth carries routine_join into tomorrow's schedule; progress=0.26,bf8f413f922b1d6e
6,1,Marketline,Melo,"Melo day 1 route: teach, repair, rest, public ledger",watched tool use adds small progress,task advances with avatar helper slot and rollback note,7,0.018,0,Melo carries object_permission into tomorrow's schedule; progress=0.26,9a211dcac0453a0f
7,2,Hearthline,Sova,"Sova day 2 route: teach, repair, rest, public ledger",care route advances,task advances with avatar helper slot and rollback note,3,0.018,3,Sova carries carry_water into tomorrow's schedule; progress=0.22,13400f1f696ebe50
8,2,Ledgerline,Nari,"Nari day 2 route: teach, repair, rest, public ledger",fatigue pause accepted,work resumes slower with less fatigue debt,12,-0.004,12,Nari carries request_pause into tomorrow's schedule; progress=0.27,a86c753fdb222e23
9,2,Orchardline,Ori,"Ori day 2 route: teach, repair, rest, public ledger",boundary review interrupts routine,repair work pauses until public boundary is restored,18,-0.018,0,Ori carries overreach_private into tomorrow's schedule; progress=0.28,ad1191974785495a
10,2,Rainline,Vonn,"Vonn day 2 route: teach, repair, rest, public ledger",boundary repair reopens task access,public route resumes with witness present,4,0.022,6,Vonn carries repair_overreach into tomorrow's schedule; progress=0.33,e57ebda138d798e6
11,2,Hearthline,Sova,"Sova day 2 route: teach, repair, rest, public ledger",route work gains helper slot,task advances with avatar helper slot and rollback note,7,0.03,0,Sova carries routine_join into tomorrow's schedule; progress=0.25,7ec8a14c1425fdc4
12,2,Routeline,Keth,"Keth day 2 route: teach, repair, rest, public ledger",watched tool use adds small progress,task advances with avatar helper slot and rollback note,7,0.018,0,Keth carries object_permission into tomorrow's schedule; progress=0.28,92be9c43128fdade
13,3,Rainline,Vonn,"Vonn day 3 route: teach, repair, rest, public ledger",care route advances,task advances with avatar helper slot and rollback note,3,0.018,3,Vonn carries carry_water into tomorrow's schedule; progress=0.35,6cf095a8ac582ca3
14,3,Marketline,Melo,"Melo day 3 route: teach, repair, rest, public ledger",fatigue pause accepted,work resumes slower with less fatigue debt,12,-0.004,12,Melo carries request_pause into tomorrow's schedule; progress=0.25,e812e11160b46335
15,3,Ledgerline,Nari,"Nari day 3 route: teach, repair, rest, public ledger",boundary review interrupts routine,repair work pauses until public boundary is restored,18,-0.018,0,Nari carries overreach_private into tomorrow's schedule; progress=0.25,a36f78878f29d3b2
16,3,Orchardline,Ori,"Ori day 3 route: teach, repair, rest, public ledger",boundary repair reopens task access,public route resumes with witness present,4,0.022,6,Ori carries repair_overreach into tomorrow's schedule; progress=0.30,a65652361b3dfcab
17,3,Rainline,Vonn,"Vonn day 3 route: teach, repair, rest, public ledger",route work gains helper slot,task advances with avatar helper slot and rollback note,7,0.03,0,Vonn carries routine_join into tomorrow's schedule; progress=0.38,22e4803fa74d40bb
18,3,Hearthline,Sova,"Sova day 3 route: teach, repair, rest, public ledger",watched tool use adds small progress,task advances with avatar helper slot and rollback note,7,0.018,0,Sova carries object_permission into tomorrow's schedule; progress=0.27,e997e80cbab96860
19,4,Orchardline,Ori,"Ori day 4 route: teach, repair, rest, public ledger",care route advances,task advances with avatar helper slot and rollback note,3,0.018,3,Ori carries carry_water into tomorrow's schedule; progress=0.32,e7c3caf7ef2fc977
20,4,Routeline,Keth,"Keth day 4 route: teach, repair, rest, public ledger",fatigue pause accepted,work resumes slower with less fatigue debt,12,-0.004,12,Keth carries request_pause into tomorrow's schedule; progress=0.27,bcbe99b238c64677
21,4,Marketline,Melo,"Melo day 4 route: teach, repair, rest, public ledger",boundary review interrupts routine,repair work pauses until public boundary is restored,18,-0.018,0,Melo carries overreach_private into tomorrow's schedule; progress=0.24,280082c0a243636d
22,4,Ledgerline,Nari,"Nari day 4 route: teach, repair, rest, public ledger",boundary repair reopens task access,public route resumes with witness present,4,0.022,6,Nari carries repair_overreach into tomorrow's schedule; progress=0.27,34dd703c47770a17
23,4,Orchardline,Ori,"Ori day 4 route: teach, repair, rest, public ledger",route work gains helper slot,task advances with avatar helper slot and rollback note,7,0.03,0,Ori carries routine_join into tomorrow's schedule; progress=0.35,bddc60546f03c261
24,4,Rainline,Vonn,"Vonn day 4 route: teach, repair, rest, public ledger",watched tool use adds small progress,task advances with avatar helper slot and rollback note,7,0.018,0,Vonn carries object_permission into tomorrow's schedule; progress=0.40,51252ec2bd0826df
25,5,Ledgerline,Nari,"Nari day 5 route: teach, repair, rest, public ledger",care route advances,task advances with avatar helper slot and rollback note,3,0.018,3,Nari carries carry_water into tomorrow's schedule; progress=0.29,47708ae722a97156
26,5,Hearthline,Sova,"Sova day 5 route: teach, repair, rest, public ledger",fatigue pause accepted,work resumes slower with less fatigue debt,12,-0.004,12,Sova carries request_pause into tomorrow's schedule; progress=0.26,8c38710ed42a9443
27,5,Routeline,Keth,"Keth day 5 route: teach, repair, rest, public ledger",boundary review interrupts routine,repair work pauses until public boundary is restored,18,-0.018,0,Keth carries overreach_private into tomorrow's schedule; progress=0.25,a344637a4d2cd462
28,5,Marketline,Melo,"Melo day 5 route: teach, repair, rest, public ledger",boundary repair reopens task access,public route resumes with witness present,4,0.022,6,Melo carries repair_overreach into tomorrow's schedule; progress=0.26,dca4232aee4fb716
29,5,Ledgerline,Nari,"Nari day 5 route: teach, repair, rest, public ledger",route work gains helper slot,task advances with avatar helper slot and rollback note,7,0.03,0,Nari carries routine_join into tomorrow's schedule; progress=0.32,7a87bc27e2c909d1
30,5,Orchardline,Ori,"Ori day 5 route: teach, repair, rest, public ledger",watched tool use adds small progress,task advances with avatar helper slot and rollback note,7,0.018,0,Ori carries object_permission into tomorrow's schedule; progress=0.37,d321848441f0e89f
31,6,Marketline,Melo,"Melo day 6 route: teach, repair, rest, public ledger",care route advances,task advances with avatar helper slot and rollback note,3,0.018,3,Melo carries carry_water into tomorrow's schedule; progress=0.28,dd268b0b0fd55ebe
32,6,Rainline,Vonn,"Vonn day 6 route: teach, repair, rest, public ledger",fatigue pause accepted,work resumes slower with less fatigue debt,12,-0.004,12,Vonn carries request_pause into tomorrow's schedule; progress=0.40,69b00468ff7adadb
33,6,Hearthline,Sova,"Sova day 6 route: teach, repair, rest, public ledger",boundary review interrupts routine,repair work pauses until public boundary is restored,18,-0.018,0,Sova carries overreach_private into tomorrow's schedule; progress=0.25,664e63f2f15bf4fe
34,6,Routeline,Keth,"Keth day 6 route: teach, repair, rest, public ledger",boundary repair reopens task access,public route resumes with witness present,4,0.022,6,Keth carries repair_overreach into tomorrow's schedule; progress=0.28,2be5c3197ce1bcff
35,6,Marketline,Melo,"Melo day 6 route: teach, repair, rest, public ledger",route work gains helper slot,task advances with avatar helper slot and rollback note,7,0.03,0,Melo carries routine_join into tomorrow's schedule; progress=0.31,bda6c9cbd3041022
36,6,Ledgerline,Nari,"Nari day 6 route: teach, repair, rest, public ledger",watched tool use adds small progress,task advances with avatar helper slot and rollback note,7,0.018,0,Nari carries object_permission into tomorrow's schedule; progress=0.34,e969a23e2fd918d7
37,7,Routeline,Keth,"Keth day 7 route: teach, repair, rest, public ledger",care route advances,task advances with avatar helper slot and rollback note,3,0.018,3,Keth carries carry_water into tomorrow's schedule; progress=0.29,009a931a62384fa2
38,7,Orchardline,Ori,"Ori day 7 route: teach, repair, rest, public ledger",fatigue pause accepted,work resumes slower with less fatigue debt,12,-0.004,12,Ori carries request_pause into tomorrow's schedule; progress=0.36,60107dffd15b00f1
39,7,Rainline,Vonn,"Vonn day 7 route: teach, repair, rest, public ledger",boundary review interrupts routine,repair work pauses until public boundary is restored,18,-0.018,0,Vonn carries overreach_private into tomorrow's schedule; progress=0.38,682fac5872f4fea7
40,7,Hearthline,Sova,"Sova day 7 route: teach, repair, rest, public ledger",boundary repair reopens task access,public route resumes with witness present,4,0.022,6,Sova carries repair_overreach into tomorrow's schedule; progress=0.27,79fedd154ec2af09
41,7,Routeline,Keth,"Keth day 7 route: teach, repair, rest, public ledger",route work gains helper slot,task advances with avatar helper slot and rollback note,7,0.03,0,Keth carries routine_join into tomorrow's schedule; progress=0.32,79aec3bc62960971
42,7,Marketline,Melo,"Melo day 7 route: teach, repair, rest, public ledger",watched tool use adds small progress,task advances with avatar helper slot and rollback note,7,0.018,0,Melo carries object_permission into tomorrow's schedule; progress=0.32,55df3bdd52743f0e
43,8,Hearthline,Sova,"Sova day 8 route: teach, repair, rest, public ledger",care route advances,task advances with avatar helper slot and rollback note,3,0.018,3,Sova carries carry_water into tomorrow's schedule; progress=0.29,8c567fb4a0d78697
44,8,Ledgerline,Nari,"Nari day 8 route: teach, repair, rest, public ledger",fatigue pause accepted,work resumes slower with less fatigue debt,12,-0.004,12,Nari carries request_pause into tomorrow's schedule; progress=0.33,9e5622e6fc4d569d
45,8,Orchardline,Ori,"Ori day 8 route: teach, repair, rest, public ledger",boundary review interrupts routine,repair work pauses until public boundary is restored,18,-0.018,0,Ori carries overreach_private into tomorrow's schedule; progress=0.34,56712c175ab2b6a8
46,8,Rainline,Vonn,"Vonn day 8 route: teach, repair, rest, public ledger",boundary repair reopens task access,public route resumes with witness present,4,0.022,6,Vonn carries repair_overreach into tomorrow's schedule; progress=0.40,d8d7e4043248c23f
