tick_id,day,settlement_id,object_id,object_use,owner_id,giver_id,receiver_id,witness_id,avatar_action,handoff_state,custody_before,custody_after,owner_permission,witness_ack,chain_of_custody_visible,handoff_protocol_valid
0,1,repair_ring,copper wire,craft,Pax,Juno,Pax,Vale,inspect_inventory,deferred without transfer,Pax,Pax,deferred,True,True,True
1,1,riverbend,binding cord,repair,Cee,Lio,Cee,Ari,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
3,1,archive,signal spool,memory,Nia,Nia,Toma,Vell,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
5,1,orchard,dry cord,repair,Pim,Pim,Ivo,Mara,ask_handoff,transferred with witness,Pim,Ivo,granted,True,True,True
6,1,repair_ring,cool cloth,care,shared,Juno,Pax,Vale,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
8,1,roofward,herb ledger,memory,Sera,Orr,Fay,Sera,ask_handoff,deferred without transfer,Sera,Sera,deferred,True,True,True
9,1,archive,memory tag,archive,Vell,Nia,Toma,Vell,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
10,1,signal,wind wrap,care,shared,Ren,Kesh,Milo,return_object,returned to owner shelf,shared,shared shelf,returning,True,True,True
12,1,repair_ring,copper wire,craft,Pax,Juno,Pax,Vale,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
13,1,riverbend,binding cord,repair,Cee,Lio,Cee,Ari,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
15,1,archive,signal spool,memory,Nia,Nia,Toma,Vell,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
17,1,orchard,dry cord,repair,Pim,Pim,Ivo,Mara,ask_handoff,transferred with witness,Ivo,Ivo,granted,True,True,True
18,2,riverbend,binding cord,repair,Cee,Ari,Lio,Cee,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
20,2,archive,signal spool,memory,Nia,Vell,Nia,Toma,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
21,2,signal,oil lantern,signal,Ren,Milo,Ren,Kesh,idle,custody verified without transfer,Ren,Ren,custody_verified,True,True,True
22,2,orchard,dry cord,repair,Pim,Mara,Pim,Ivo,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
23,2,repair_ring,cool cloth,care,shared,Vale,Juno,Pax,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
24,2,riverbend,cedar plank,repair,Ari,Ari,Lio,Cee,idle,custody verified without transfer,Ari,Ari,custody_verified,True,True,True
25,2,roofward,herb ledger,memory,Sera,Sera,Orr,Fay,ask_handoff,transferred with witness,Sera,Orr,granted,True,True,True
26,2,archive,memory tag,archive,Vell,Vell,Nia,Toma,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
27,2,signal,wind wrap,care,shared,Milo,Ren,Kesh,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
29,2,repair_ring,copper wire,craft,Pax,Vale,Juno,Pax,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
