tick_index,day,clock_label,agent,place_id,event_kind,avatar_action,object_id,other_actor,stimulus,vibration_hz,flower_phase_deg,source_boundary
1,1,day 1 06:00,Ari,workbench alcove,avatar_approach,approach slowly,copper clicker lens,avatar,familiar footsteps approach from the south,2.300645,148.507764,browser_local_deterministic_no_consciousness_claim
2,1,day 1 07:00,Fay,hearth nest,wet_route_request,ask agent to cross wet route,copper clicker lens,avatar,cold water beads on the west stones,2.444498,286.015528,browser_local_deterministic_no_consciousness_claim
3,1,day 1 08:00,Milo,hearth nest,interrupt_repair,interrupt repair work,copper clicker lens,avatar,a task rhythm breaks mid-motion,2.56987,63.523292,browser_local_deterministic_no_consciousness_claim
4,1,day 1 09:00,Sol,quiet corner,give_space,step back and wait,warm blue blanket,avatar,the avatar stops crowding the work area,2.668966,201.031056,browser_local_deterministic_no_consciousness_claim
5,1,day 1 10:00,Ari,workbench alcove,return_tool,return owned object,west-route repair kit,avatar,a missing object is placed within reach,2.735625,338.53882,browser_local_deterministic_no_consciousness_claim
6,1,day 1 11:00,Fay,rain bridge,praise_work,praise recent work,copper clicker lens,avatar,warm voice names a completed effort,2.765701,116.046584,browser_local_deterministic_no_consciousness_claim
7,1,day 1 12:00,Milo,market canopy,misname,use wrong name,copper clicker lens,avatar,a social label lands wrong,2.757326,253.554348,browser_local_deterministic_no_consciousness_claim
8,1,day 1 13:00,Sol,quiet corner,apologize,apologize and correct,west-route repair kit,avatar,the avatar repairs the social mistake,2.711019,31.062112,browser_local_deterministic_no_consciousness_claim
9,1,day 1 14:00,Ari,market canopy,agent_help_request,offer help,copper clicker lens,avatar,a blocked task becomes shared,2.62966,168.569876,browser_local_deterministic_no_consciousness_claim
10,1,day 1 15:00,Fay,hearth nest,crowded_market,stand nearby in crowd,warm blue blanket,avatar,market bodies press close,2.518307,306.07764,browser_local_deterministic_no_consciousness_claim
11,1,day 1 16:00,Milo,market canopy,cold_rain,watch weather shift,warm blue blanket,avatar,rain lowers the air temperature,2.383884,83.585404,browser_local_deterministic_no_consciousness_claim
12,1,day 1 17:00,Sol,hearth nest,comfort_offer,offer warm rest,warm blue blanket,avatar,a dry warm place is opened,2.234749,221.093168,browser_local_deterministic_no_consciousness_claim
13,1,day 1 18:00,Ari,workbench alcove,ask_same_memory,ask repeated question,stone seed ledger,avatar,the same question returns again,2.080173,358.600932,browser_local_deterministic_no_consciousness_claim
14,1,day 1 19:00,Fay,hearth nest,ritual_invite,invite to hum ritual,copper clicker lens,avatar,a low evening tone begins,1.929769,136.108696,browser_local_deterministic_no_consciousness_claim
15,1,day 1 20:00,Milo,workbench alcove,peer_takes_tool,observe peer taking tool,copper clicker lens,Sol,another agent lifts a useful object,1.792886,273.61646,browser_local_deterministic_no_consciousness_claim
16,1,day 1 21:00,Sol,quiet corner,shared_rest,sit quietly nearby,stone seed ledger,avatar,breathing slows near the hearth,1.678037,51.124224,browser_local_deterministic_no_consciousness_claim
17,1,day 1 22:00,Ari,workbench alcove,avatar_approach,approach slowly,west-route repair kit,avatar,familiar footsteps approach from the south,1.592361,188.631988,browser_local_deterministic_no_consciousness_claim
18,1,day 1 23:00,Fay,market canopy,wet_route_request,ask agent to cross wet route,copper clicker lens,avatar,cold water beads on the west stones,1.541186,326.139752,browser_local_deterministic_no_consciousness_claim
19,1,day 1 24:00,Milo,market canopy,interrupt_repair,interrupt repair work,copper clicker lens,avatar,a task rhythm breaks mid-motion,1.527693,103.647516,browser_local_deterministic_no_consciousness_claim
20,1,day 1 25:00,Sol,quiet corner,give_space,step back and wait,stone seed ledger,avatar,the avatar stops crowding the work area,1.552721,241.15528,browser_local_deterministic_no_consciousness_claim
21,1,day 1 26:00,Ari,workbench alcove,return_tool,return owned object,west-route repair kit,avatar,a missing object is placed within reach,1.614715,18.663044,browser_local_deterministic_no_consciousness_claim
22,1,day 1 27:00,Fay,hearth nest,praise_work,praise recent work,west-route repair kit,avatar,warm voice names a completed effort,1.709819,156.170808,browser_local_deterministic_no_consciousness_claim
23,1,day 1 28:00,Milo,market canopy,misname,use wrong name,stone seed ledger,avatar,a social label lands wrong,1.832121,293.678572,browser_local_deterministic_no_consciousness_claim
24,1,day 1 29:00,Sol,workbench alcove,apologize,apologize and correct,copper clicker lens,avatar,the avatar repairs the social mistake,1.974017,71.186336,browser_local_deterministic_no_consciousness_claim
25,2,day 2 06:00,Fay,hearth nest,agent_help_request,offer help,west-route repair kit,avatar,a blocked task becomes shared,1.954522,219.6941,browser_local_deterministic_no_consciousness_claim
26,2,day 2 07:00,Milo,market canopy,crowded_market,stand nearby in crowd,warm blue blanket,avatar,market bodies press close,2.108468,357.201864,browser_local_deterministic_no_consciousness_claim
