tick_id,route_id,reload_probe,localstorage_key,restored_branch,restored_animation_state,restored_snapshot_id,restored_followup_count,restore_notice_visible,restore_integrity
0,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,0,True,True
11,central_repair_ring,True,ssrm.v34.route.central_repair_ring,inner repair yard,idle,initial:central_repair_ring,1,True,True
12,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,2,True,True
23,central_repair_ring,True,ssrm.v34.route.central_repair_ring,inner repair yard,idle,initial:central_repair_ring,2,True,True
24,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,4,True,True
35,central_repair_ring,True,ssrm.v34.route.central_repair_ring,inner repair yard,idle,initial:central_repair_ring,3,True,True
36,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,6,True,True
37,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,stepped,imported:roofward_archive:d4:t1,2,True,True
47,central_repair_ring,True,ssrm.v34.route.central_repair_ring,inner repair yard,idle,initial:central_repair_ring,4,True,True
48,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,8,True,True
59,central_repair_ring,True,ssrm.v34.route.central_repair_ring,inner repair yard,idle,initial:central_repair_ring,5,True,True
60,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,10,True,True
71,central_repair_ring,True,ssrm.v34.route.central_repair_ring,inner repair yard,idle,initial:central_repair_ring,6,True,True
72,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,12,True,True
74,archive_signal,True,ssrm.v34.route.archive_signal,stone kiosk path,idle,initial:archive_signal,12,True,True
83,central_repair_ring,True,ssrm.v34.route.central_repair_ring,inner repair yard,idle,initial:central_repair_ring,7,True,True
84,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,playing,snapshot:roofward_archive:d7:t7,2,True,True
95,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,15,True,True
96,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,playing,snapshot:roofward_archive:d7:t7,4,True,True
107,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,16,True,True
108,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,playing,snapshot:roofward_archive:d7:t7,6,True,True
111,orchard_riverbend,True,ssrm.v34.route.orchard_riverbend,fen track,paused,imported:orchard_riverbend:d7:t10,4,True,True
119,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,17,True,True
120,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,playing,snapshot:roofward_archive:d7:t7,8,True,True
131,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,18,True,True
132,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,playing,snapshot:roofward_archive:d7:t7,10,True,True
143,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,19,True,True
144,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,playing,snapshot:roofward_archive:d7:t7,12,True,True
148,central_repair_ring,True,ssrm.v34.route.central_repair_ring,inner repair yard,idle,snapshot:central_repair_ring:d13:t4,7,True,True
155,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,20,True,True
156,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,playing,snapshot:roofward_archive:d7:t7,14,True,True
167,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,21,True,True
168,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,playing,snapshot:roofward_archive:d7:t7,16,True,True
179,riverbend_roofward,True,ssrm.v34.route.riverbend_roofward,low plank crossing,playing,initial:riverbend_roofward,22,True,True
180,archive_signal,True,ssrm.v34.route.archive_signal,stone kiosk path,playing,snapshot:archive_signal:d15:t7,14,True,True
185,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,playing,snapshot:roofward_archive:d7:t7,18,True,True
191,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,playing,snapshot:roofward_archive:d7:t7,19,True,True
192,archive_signal,True,ssrm.v34.route.archive_signal,stone kiosk path,playing,snapshot:archive_signal:d15:t7,16,True,True
203,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,playing,snapshot:roofward_archive:d7:t7,20,True,True
204,archive_signal,True,ssrm.v34.route.archive_signal,stone kiosk path,playing,snapshot:archive_signal:d15:t7,18,True,True
215,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,stepped,snapshot:roofward_archive:d7:t7,21,True,True
216,archive_signal,True,ssrm.v34.route.archive_signal,stone kiosk path,playing,snapshot:archive_signal:d15:t7,20,True,True
222,archive_signal,True,ssrm.v34.route.archive_signal,stone kiosk path,playing,snapshot:archive_signal:d15:t7,21,True,True
227,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,stepped,snapshot:roofward_archive:d7:t7,23,True,True
228,archive_signal,True,ssrm.v34.route.archive_signal,stone kiosk path,playing,snapshot:archive_signal:d15:t7,22,True,True
239,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,stepped,snapshot:roofward_archive:d7:t7,24,True,True
240,archive_signal,True,ssrm.v34.route.archive_signal,stone kiosk path,playing,snapshot:archive_signal:d15:t7,24,True,True
251,roofward_archive,True,ssrm.v34.route.roofward_archive,glass stair,stepped,snapshot:roofward_archive:d7:t7,25,True,True
252,archive_signal,True,ssrm.v34.route.archive_signal,stone kiosk path,playing,snapshot:archive_signal:d15:t7,26,True,True
