tick_index,memory_id,agent,other_actor,emotional_weight,trust_delta,comfort_delta,familiarity_delta,avoidance_delta,resentment_delta,gratitude_delta,remembered_sentence
1,r241-ari-001,Ari,avatar,0.429672,0.027912,0.017,0.061216,0.00956,-0.0074,0.037112,avatar_approach happened to me near workbench alcove.
2,r241-fay-002,Fay,avatar,0.5803,-0.015432,-0.0166,0.0634,0.060734,0.0388,0.023168,wet_route_request happened to me near hearth nest.
3,r241-milo-003,Milo,avatar,0.7024,-0.037104,-0.0334,0.07,0.101006,0.0619,0.016196,avatar pressed my boundary during interrupt_repair.
4,r241-sol-004,Sol,avatar,0.667272,0.107616,0.0872,0.061216,-0.037432,-0.056,0.127616,avatar helped me recover during give_space.
5,r241-ari-005,Ari,avatar,0.7684,0.12828,0.1054,0.07,-0.03708,-0.0686,0.15108,avatar helped me recover during return_tool.
6,r241-fay-006,Fay,avatar,0.654072,0.103188,0.0833,0.061216,-0.037234,-0.0533,0.122588,praise_work happened to me near rain bridge.
7,r241-milo-007,Milo,avatar,0.6628,-0.027816,-0.0262,0.07,0.08963,0.052,0.019184,avatar pressed my boundary during misname.
8,r241-sol-008,Sol,avatar,0.711272,0.122376,0.1002,0.061216,-0.046232,-0.065,0.144376,avatar helped me recover during apologize.
9,r241-ari-009,Ari,avatar,0.640872,0.09876,0.0794,0.061216,-0.03268,-0.0506,0.11756,agent_help_request happened to me near market canopy.
10,r241-fay-010,Fay,avatar,0.5616,-0.00408,-0.0078,0.07,0.06003,0.0267,0.02682,avatar pressed my boundary during crowded_market.
11,r241-milo-011,Milo,avatar,0.505428,-0.007176,-0.0102,0.054584,0.05115,0.03,0.025824,cold_rain happened to me near market canopy.
12,r241-sol-012,Sol,avatar,0.720072,0.125328,0.1028,0.061216,-0.047992,-0.0668,0.147728,avatar helped me recover during comfort_offer.
13,r241-ari-013,Ari,avatar,0.561764,-0.011304,-0.0134,0.063192,0.057592,0.0344,0.024496,avatar confused my identity or memory during ask_same_memory.
14,r241-fay-014,Fay,avatar,0.605672,0.086952,0.069,0.061216,-0.027554,-0.0434,0.104152,ritual_invite happened to me near hearth nest.
15,r241-milo-015,Milo,Sol,0.670912,-0.034008,-0.031,0.065936,0.097214,0.0586,0.017192,Sol pressed my boundary during peer_takes_tool.
16,r241-sol-016,Sol,avatar,0.7244,0.11352,0.0924,0.07,-0.027752,-0.0596,0.13432,avatar helped me recover during shared_rest.
17,r241-ari-017,Ari,avatar,0.4692,0.027912,0.017,0.07,0.02276,-0.0074,0.037112,avatar_approach happened to me near workbench alcove.
