tick_id,day,settlement_id,room_id,object_id,manipulation_action,object_before,object_after,ownership_respected,localstorage_object_key,object_state_persisted,visible_affordance
0,1,riverbend,arrival court,ridge lantern,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.ridge lantern,True,inspect/pick/place
3,1,signal,arrival court,signal lens,pick_up,in_room,carried_by_avatar,True,ssrm.v39.object.signal.signal lens,True,inspect/pick/place
6,1,riverbend,arrival court,ridge lantern,pick_up,in_room,carried_by_avatar,True,ssrm.v39.object.riverbend.ridge lantern,True,inspect/pick/place
7,1,roofward,arrival court,glass latch,inspect,in_room,in_room,True,ssrm.v39.object.roofward.glass latch,True,inspect/pick/place
14,2,archive,spool room,inkstone,inspect,in_room,in_room,True,ssrm.v39.object.archive.inkstone,True,inspect/pick/place
15,2,signal,arrival court,mast rope,place,in_room,placed_in_arrival_court,True,ssrm.v39.object.signal.mast rope,True,inspect/pick/place
18,2,riverbend,arrival court,plank latch,place,in_room,placed_in_arrival_court,True,ssrm.v39.object.riverbend.plank latch,True,inspect/pick/place
21,2,signal,arrival court,mast rope,inspect,placed_in_arrival_court,placed_in_arrival_court,True,ssrm.v39.object.signal.mast rope,True,inspect/pick/place
23,2,repair_ring,arrival court,insulated tongs,inspect,in_room,in_room,True,ssrm.v39.object.repair_ring.insulated tongs,True,inspect/pick/place
26,3,archive,spool room,memory tag,pick_up,in_room,carried_by_avatar,True,ssrm.v39.object.archive.memory tag,True,inspect/pick/place
28,3,orchard,satchel shed,dry cord,inspect,in_room,in_room,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
35,3,repair_ring,arrival court,bell gauge,pick_up,in_room,carried_by_avatar,False,ssrm.v39.object.repair_ring.bell gauge,True,inspect/pick/place
37,4,roofward,warm lane,glass latch,inspect,in_room,in_room,True,ssrm.v39.object.roofward.glass latch,True,inspect/pick/place
38,4,archive,spool room,signal spool,place,in_room,placed_in_spool_room,True,ssrm.v39.object.archive.signal spool,True,inspect/pick/place
42,4,riverbend,dry ridge,ridge lantern,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.riverbend.ridge lantern,True,inspect/pick/place
46,4,orchard,seed lane,market token,inspect,in_room,in_room,True,ssrm.v39.object.orchard.market token,True,inspect/pick/place
47,4,repair_ring,arrival court,copper wire,place,in_room,placed_in_arrival_court,True,ssrm.v39.object.repair_ring.copper wire,True,inspect/pick/place
49,5,roofward,warm lane,herb ledger,pick_up,in_room,carried_by_avatar,True,ssrm.v39.object.roofward.herb ledger,True,inspect/pick/place
56,5,archive,spool room,inkstone,inspect,in_room,in_room,True,ssrm.v39.object.archive.inkstone,True,inspect/pick/place
58,5,orchard,market plank,seed satchel,pick_up,in_room,carried_by_avatar,True,ssrm.v39.object.orchard.seed satchel,True,inspect/pick/place
60,6,riverbend,plank hall,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
61,6,roofward,warm lane,sun lens,place,in_room,placed_in_warm_lane,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
63,6,signal,lantern walk,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
69,6,signal,lantern walk,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
70,6,orchard,satchel shed,dry cord,place,in_room,placed_in_satchel_shed,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
72,7,roofward,ledger loft,sun lens,place,placed_in_warm_lane,placed_in_ledger_loft,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
77,7,riverbend,plank hall,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
80,7,signal,lantern walk,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
81,7,orchard,satchel shed,dry cord,place,placed_in_satchel_shed,placed_in_satchel_shed,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
83,7,riverbend,plank hall,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
84,8,roofward,arrival court,glass latch,inspect,in_room,in_room,True,ssrm.v39.object.roofward.glass latch,True,inspect/pick/place
