tick_id,day,settlement_id,room_before,room_after,avatar_x,avatar_y,movement_action,adjacency_valid,collision_guard,room_state_saved
0,1,riverbend,arrival court,arrival court,0.445,0.5,warm_up,True,True,True
1,1,roofward,arrival court,arrival court,0.5,0.549,avoid_hazard,True,True,True
2,1,archive,arrival court,stone stacks,0.555,0.451,move_east,True,True,True
3,1,signal,arrival court,arrival court,0.445,0.5,pick_up_object,True,True,True
4,1,orchard,arrival court,arrival court,0.5,0.549,talk_resident,True,True,True
5,1,repair_ring,arrival court,spark lane,0.555,0.451,wait_for_schedule,True,True,True
6,1,riverbend,arrival court,arrival court,0.39,0.5,pick_up_object,True,True,True
7,1,roofward,arrival court,arrival court,0.5,0.598,talk_resident,True,True,True
8,1,archive,stone stacks,spool room,0.61,0.402,wait_for_schedule,True,True,True
9,1,signal,arrival court,arrival court,0.39,0.5,warm_up,True,True,True
10,1,orchard,arrival court,seed lane,0.5,0.598,avoid_hazard,True,True,True
11,1,repair_ring,spark lane,arrival court,0.61,0.402,move_east,True,True,True
12,2,riverbend,arrival court,arrival court,0.335,0.549,dry_off,True,True,True
13,2,roofward,arrival court,warm lane,0.5,0.549,move_north,True,True,True
14,2,archive,spool room,spool room,0.665,0.402,inspect_object,True,True,True
15,2,signal,arrival court,arrival court,0.335,0.549,place_object,True,True,True
16,2,orchard,seed lane,seed lane,0.5,0.549,ask_dialect_memory,True,True,True
17,2,repair_ring,arrival court,arrival court,0.665,0.402,rest,True,True,True
18,2,riverbend,arrival court,arrival court,0.28,0.598,place_object,True,True,True
19,2,roofward,warm lane,warm lane,0.5,0.5,ask_dialect_memory,True,True,True
20,2,archive,spool room,spool room,0.72,0.402,rest,True,True,True
21,2,signal,arrival court,arrival court,0.28,0.598,dry_off,True,True,True
22,2,orchard,seed lane,market plank,0.5,0.5,move_north,True,True,True
23,2,repair_ring,arrival court,arrival court,0.72,0.402,inspect_object,True,True,True
24,3,riverbend,arrival court,plank hall,0.225,0.549,avoid_hazard,True,True,True
25,3,roofward,warm lane,arrival court,0.5,0.5,move_east,True,True,True
26,3,archive,spool room,spool room,0.775,0.451,pick_up_object,True,True,True
27,3,signal,arrival court,arrival court,0.225,0.549,talk_resident,True,True,True
28,3,orchard,market plank,satchel shed,0.5,0.5,wait_for_schedule,True,True,True
29,3,repair_ring,arrival court,arrival court,0.775,0.451,warm_up,True,True,True
30,3,riverbend,plank hall,plank hall,0.17,0.5,talk_resident,True,True,True
31,3,roofward,arrival court,warm lane,0.5,0.5,wait_for_schedule,True,True,True
32,3,archive,spool room,spool room,0.83,0.5,warm_up,True,True,True
33,3,signal,arrival court,arrival court,0.17,0.5,avoid_hazard,True,True,True
34,3,orchard,satchel shed,arrival court,0.5,0.5,move_east,True,True,True
35,3,repair_ring,arrival court,arrival court,0.83,0.5,pick_up_object,True,True,True
36,4,riverbend,plank hall,dry ridge,0.115,0.5,move_north,True,True,True
37,4,roofward,warm lane,warm lane,0.5,0.549,inspect_object,True,True,True
38,4,archive,spool room,spool room,0.885,0.451,place_object,True,True,True
39,4,signal,arrival court,arrival court,0.115,0.5,ask_dialect_memory,True,True,True
40,4,orchard,arrival court,arrival court,0.5,0.549,rest,True,True,True
41,4,repair_ring,arrival court,arrival court,0.885,0.451,dry_off,True,True,True
42,4,riverbend,dry ridge,dry ridge,0.06,0.5,ask_dialect_memory,True,True,True
43,4,roofward,warm lane,warm lane,0.5,0.598,rest,True,True,True
44,4,archive,spool room,spool room,0.94,0.402,dry_off,True,True,True
45,4,signal,arrival court,lantern walk,0.06,0.5,move_north,True,True,True
46,4,orchard,arrival court,seed lane,0.5,0.598,inspect_object,True,True,True
47,4,repair_ring,arrival court,arrival court,0.94,0.402,place_object,True,True,True
48,5,riverbend,dry ridge,kit alcove,0.04,0.549,move_east,True,True,True
49,5,roofward,warm lane,warm lane,0.5,0.549,pick_up_object,True,True,True
50,5,archive,spool room,spool room,0.96,0.402,talk_resident,True,True,True
51,5,signal,lantern walk,arrival court,0.04,0.549,wait_for_schedule,True,True,True
52,5,orchard,seed lane,seed lane,0.5,0.549,warm_up,True,True,True
53,5,repair_ring,arrival court,wire bench,0.96,0.402,avoid_hazard,True,True,True
