metric,value
avatar_help_count,164.0
avatar_help_without_overwrite,1.0
avatar_intervention_count,176.0
avatar_recovery_intervention_visibility,1.0
avatar_replay_binding,1.0
browser_world_v29_route_readiness,0.931894
browser_world_v29_surface_available,1.0
caravan_arrival_count,18.0
caravan_arrival_or_block_visibility,1.0
cross_region_route_plan_persistence,1.0
detour_count,551.0
disaster_drill_count,30.0
drill_learning_to_recovery_binding,0.84127
drill_replay_binding,1.0
forecast_storage_frame_count,1008.0
forecast_to_route_binding,1.0
frequency_flower_caravan_rhythm,0.928571
guild_succession_count,12.0
guild_succession_visibility,1.0
intergenerational_guild_record_integrity,1.0
mean_route_channel_score,0.980706
mobile_caravan_frame_count,1008.0
mobile_caravan_state_traceability,1.0
playable_disaster_drill_surface,1.0
privacy_safe_route_state,1.0
recovery_success_rate,1.0
regional_recovery_traceability,1.0
route_memory_integrity,1.0
route_plan_hazard_binding,0.949097
route_planning_frame_count,1008.0
route_recovery_under_forecast_tradeoffs,0.818
route_replay_integrity,1.0
route_success_rate,0.990079
route_unresolved_recovery_count,30.0
seasonal_forecast_storage_integrity,1.0
sensory_caravan_binding,1.0
source_regional_supply_continuity,1.0
visible_browser_route_surface,1.0
weakest_channel_score,0.818
