tick_id,day,project_id,replay_event,state_hash,includes_delegation,includes_debt,includes_workshop,includes_conflict,includes_routine_mutation,replay_exportable
0,1,greenhouse_heat_loop,greenhouse_heat_loop:coil_pipe:blocked: delegate asks for clearer terms,v26-338309,True,False,True,False,False,True
1,1,flood_bridge_market_route,flood_bridge_market_route:lamp_markers:blocked: dependency not ready,v26-384293,True,False,True,False,False,True
2,1,archive_public_kiosk,archive_public_kiosk:build_frame:blocked: dependency not ready,v26-326900,True,False,True,False,False,True
3,1,dusk_signal_court,dusk_signal_court:comfort_corner:blocked: dependency not ready,v26-340421,True,False,True,False,False,True
4,1,greenhouse_heat_loop,greenhouse_heat_loop:coil_pipe:blocked: dependency not ready,v26-338433,True,False,True,False,False,True
5,1,flood_bridge_market_route,flood_bridge_market_route:lamp_markers:blocked: dependency not ready,v26-384417,True,False,True,False,False,True
6,1,archive_public_kiosk,archive_public_kiosk:build_frame:blocked: dependency not ready,v26-327024,True,False,True,False,False,True
7,1,dusk_signal_court,dusk_signal_court:comfort_corner:blocked: dependency not ready,v26-340545,True,False,True,False,False,True
8,1,greenhouse_heat_loop,greenhouse_heat_loop:coil_pipe:blocked: dependency not ready,v26-338557,True,False,True,False,False,True
9,1,flood_bridge_market_route,flood_bridge_market_route:lamp_markers:blocked: dependency not ready,v26-384541,True,False,True,False,False,True
10,1,archive_public_kiosk,archive_public_kiosk:build_frame:blocked: dependency not ready,v26-333978,True,False,True,False,False,True
11,1,dusk_signal_court,dusk_signal_court:comfort_corner:blocked: dependency not ready,v26-347688,True,False,True,False,False,True
12,1,greenhouse_heat_loop,greenhouse_heat_loop:coil_pipe:blocked: dependency not ready,v26-345657,True,False,True,False,False,True
13,1,flood_bridge_market_route,flood_bridge_market_route:lamp_markers:blocked: dependency not ready,v26-392161,True,False,True,False,False,True
14,1,archive_public_kiosk,archive_public_kiosk:build_frame:blocked: dependency not ready,v26-334106,True,False,True,False,False,True
15,1,dusk_signal_court,dusk_signal_court:comfort_corner:blocked: dependency not ready,v26-347816,True,False,True,False,False,True
16,1,greenhouse_heat_loop,greenhouse_heat_loop:coil_pipe:blocked: dependency not ready,v26-345785,True,False,True,False,False,True
17,1,flood_bridge_market_route,flood_bridge_market_route:lamp_markers:blocked: dependency not ready,v26-392289,True,False,True,False,False,True
18,1,archive_public_kiosk,archive_public_kiosk:build_frame:blocked: dependency not ready,v26-334234,True,False,True,False,False,True
