tick,day,active_panel,control_group,keyboard_hint,mobile_layout_supported,visible_feedback_panel,debug_toggle_available,replay_export_available,no_private_workspace_leak
0,1,resident,movement,Enter,True,True,True,True,True
1,1,schedule,schedule,R,True,True,True,True,True
2,1,debt,offscreen,S,True,True,True,True,True
3,1,memory,audit,A,True,True,True,True,True
4,1,consequence,conversation,E,True,True,True,True,True
5,1,audit,debt,WASD,True,True,True,True,True
6,1,replay,save,Tab,True,True,True,True,True
7,1,scene,movement,Enter,True,True,True,True,True
8,1,resident,schedule,R,True,True,True,True,True
9,1,schedule,offscreen,S,True,True,True,True,True
10,1,debt,audit,A,True,True,True,True,True
11,1,memory,conversation,E,True,True,True,True,True
12,1,consequence,debt,WASD,True,True,True,True,True
13,1,audit,save,Tab,True,True,True,True,True
14,1,replay,movement,Enter,True,True,True,True,True
15,1,scene,schedule,R,True,True,True,True,True
16,1,resident,offscreen,S,True,True,True,True,True
17,1,schedule,audit,A,True,True,True,True,True
18,2,memory,offscreen,E,True,True,True,True,True
19,2,consequence,audit,WASD,True,True,True,True,True
20,2,audit,conversation,Tab,True,True,True,True,True
21,2,replay,debt,Enter,True,True,True,True,True
22,2,scene,save,R,True,True,True,True,True
23,2,resident,movement,S,True,True,True,True,True
24,2,schedule,schedule,A,True,True,True,True,True
25,2,debt,offscreen,E,True,True,True,True,True
26,2,memory,audit,WASD,True,True,True,True,True
27,2,consequence,conversation,Tab,True,True,True,True,True
28,2,audit,debt,Enter,True,True,True,True,True
29,2,replay,save,R,True,True,True,True,True
30,2,scene,movement,S,True,True,True,True,True
31,2,resident,schedule,A,True,True,True,True,True
32,2,schedule,offscreen,E,True,True,True,True,True
33,2,debt,audit,WASD,True,True,True,True,True
34,2,memory,conversation,Tab,True,True,True,True,True
35,2,consequence,debt,Enter,True,True,True,True,True
36,3,replay,conversation,R,True,True,True,True,True
37,3,scene,debt,S,True,True,True,True,True
38,3,resident,save,A,True,True,True,True,True
39,3,schedule,movement,E,True,True,True,True,True
40,3,debt,schedule,WASD,True,True,True,True,True
41,3,memory,offscreen,Tab,True,True,True,True,True
42,3,consequence,audit,Enter,True,True,True,True,True
43,3,audit,conversation,R,True,True,True,True,True
44,3,replay,debt,S,True,True,True,True,True
45,3,scene,save,A,True,True,True,True,True
46,3,resident,movement,E,True,True,True,True,True
47,3,schedule,schedule,WASD,True,True,True,True,True
48,3,debt,offscreen,Tab,True,True,True,True,True
49,3,memory,audit,Enter,True,True,True,True,True
50,3,consequence,conversation,R,True,True,True,True,True
51,3,audit,debt,S,True,True,True,True,True
52,3,replay,save,A,True,True,True,True,True
53,3,scene,movement,E,True,True,True,True,True
54,4,schedule,save,WASD,True,True,True,True,True
55,4,debt,movement,Tab,True,True,True,True,True
56,4,memory,schedule,Enter,True,True,True,True,True
57,4,consequence,offscreen,R,True,True,True,True,True
58,4,audit,audit,S,True,True,True,True,True
59,4,replay,conversation,A,True,True,True,True,True
60,4,scene,debt,E,True,True,True,True,True
61,4,resident,save,WASD,True,True,True,True,True
62,4,schedule,movement,Tab,True,True,True,True,True
63,4,debt,schedule,Enter,True,True,True,True,True
64,4,memory,offscreen,R,True,True,True,True,True
65,4,consequence,audit,S,True,True,True,True,True
66,4,audit,conversation,A,True,True,True,True,True
67,4,replay,debt,E,True,True,True,True,True
68,4,scene,save,WASD,True,True,True,True,True
69,4,resident,movement,Tab,True,True,True,True,True
70,4,schedule,schedule,Enter,True,True,True,True,True
71,4,debt,offscreen,R,True,True,True,True,True
72,5,consequence,schedule,S,True,True,True,True,True
73,5,audit,offscreen,A,True,True,True,True,True
74,5,replay,audit,E,True,True,True,True,True
75,5,scene,conversation,WASD,True,True,True,True,True
76,5,resident,debt,Tab,True,True,True,True,True
77,5,schedule,save,Enter,True,True,True,True,True
78,5,debt,movement,R,True,True,True,True,True
79,5,memory,schedule,S,True,True,True,True,True
80,5,consequence,offscreen,A,True,True,True,True,True
81,5,audit,audit,E,True,True,True,True,True
82,5,replay,conversation,WASD,True,True,True,True,True
83,5,scene,debt,Tab,True,True,True,True,True
84,5,resident,save,Enter,True,True,True,True,True
85,5,schedule,movement,R,True,True,True,True,True
86,5,debt,schedule,S,True,True,True,True,True
87,5,memory,offscreen,A,True,True,True,True,True
88,5,consequence,audit,E,True,True,True,True,True
89,5,audit,conversation,WASD,True,True,True,True,True
90,6,scene,audit,Tab,True,True,True,True,True
91,6,resident,conversation,Enter,True,True,True,True,True
92,6,schedule,debt,R,True,True,True,True,True
93,6,debt,save,S,True,True,True,True,True
94,6,memory,movement,A,True,True,True,True,True
95,6,consequence,schedule,E,True,True,True,True,True
96,6,audit,offscreen,WASD,True,True,True,True,True
97,6,replay,audit,Tab,True,True,True,True,True
98,6,scene,conversation,Enter,True,True,True,True,True
99,6,resident,debt,R,True,True,True,True,True
100,6,schedule,save,S,True,True,True,True,True
101,6,debt,movement,A,True,True,True,True,True
102,6,memory,schedule,E,True,True,True,True,True
103,6,consequence,offscreen,WASD,True,True,True,True,True
104,6,audit,audit,Tab,True,True,True,True,True
105,6,replay,conversation,Enter,True,True,True,True,True
106,6,scene,debt,R,True,True,True,True,True
107,6,resident,save,S,True,True,True,True,True
108,7,debt,debt,A,True,True,True,True,True
109,7,memory,save,E,True,True,True,True,True
110,7,consequence,movement,WASD,True,True,True,True,True
111,7,audit,schedule,Tab,True,True,True,True,True
112,7,replay,offscreen,Enter,True,True,True,True,True
113,7,scene,audit,R,True,True,True,True,True
114,7,resident,conversation,S,True,True,True,True,True
115,7,schedule,debt,A,True,True,True,True,True
116,7,debt,save,E,True,True,True,True,True
117,7,memory,movement,WASD,True,True,True,True,True
118,7,consequence,schedule,Tab,True,True,True,True,True
119,7,audit,offscreen,Enter,True,True,True,True,True
120,7,replay,audit,R,True,True,True,True,True
121,7,scene,conversation,S,True,True,True,True,True
122,7,resident,debt,A,True,True,True,True,True
123,7,schedule,save,E,True,True,True,True,True
124,7,debt,movement,WASD,True,True,True,True,True
125,7,memory,schedule,Tab,True,True,True,True,True
126,8,audit,movement,Enter,True,True,True,True,True
127,8,replay,schedule,R,True,True,True,True,True
128,8,scene,offscreen,S,True,True,True,True,True
129,8,resident,audit,A,True,True,True,True,True
