rehearsal_id,day,lineage,agent,rehearsal_seed_memory,rehearsal_theme,updated_plan,relationship_memory_touched,schedule_adjustment,private_workspace_sealed,public_trace,rehearsal_specificity
1,1,Hearthline,Sova,Sova remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust hearth ceramics work around route safety.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
2,1,Routeline,Keth,Keth remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust stone bridge joints work around public token teaching.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
3,1,Marketline,Melo,Melo remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust measure weights work around weather bell caution.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
4,1,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust seed ledgers work around market fairness.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
5,1,Orchardline,Ori,Ori remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust water terraces work around rest before work.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
6,1,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust weather bells work around repair apology.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
7,2,Hearthline,Sova,Sova remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust hearth ceramics work around public token teaching.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
8,2,Routeline,Keth,Keth remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust stone bridge joints work around weather bell caution.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
9,2,Marketline,Melo,Melo remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust measure weights work around market fairness.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
10,2,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust seed ledgers work around rest before work.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
11,2,Orchardline,Ori,Ori remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust water terraces work around repair apology.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
12,2,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust weather bells work around route safety.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
13,3,Hearthline,Sova,Sova remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust hearth ceramics work around weather bell caution.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
14,3,Routeline,Keth,Keth remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust stone bridge joints work around market fairness.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
15,3,Marketline,Melo,Melo remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust measure weights work around rest before work.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
16,3,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust seed ledgers work around repair apology.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
17,3,Orchardline,Ori,Ori remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust water terraces work around route safety.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
18,3,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust weather bells work around public token teaching.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
19,4,Hearthline,Sova,Sova remembers avatar absence age 1 and prior market fairness.,market fairness,next wake: adjust hearth ceramics work around market fairness.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8786
20,4,Routeline,Keth,Keth remembers avatar absence age 1 and prior rest before work.,rest before work,next wake: adjust stone bridge joints work around rest before work.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8754
21,4,Marketline,Melo,Melo remembers avatar absence age 1 and prior repair apology.,repair apology,next wake: adjust measure weights work around repair apology.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8698
22,4,Ledgerline,Nari,Nari remembers avatar absence age 1 and prior route safety.,route safety,next wake: adjust seed ledgers work around route safety.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8842
23,4,Orchardline,Ori,Ori remembers avatar absence age 1 and prior public token teaching.,public token teaching,next wake: adjust water terraces work around public token teaching.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.869
24,4,Rainline,Vonn,Vonn remembers avatar absence age 1 and prior weather bell caution.,weather bell caution,next wake: adjust weather bells work around weather bell caution.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8802
25,5,Hearthline,Sova,Sova remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust hearth ceramics work around rest before work.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
26,5,Routeline,Keth,Keth remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust stone bridge joints work around repair apology.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
27,5,Marketline,Melo,Melo remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust measure weights work around route safety.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
28,5,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust seed ledgers work around public token teaching.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
29,5,Orchardline,Ori,Ori remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust water terraces work around weather bell caution.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
30,5,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust weather bells work around market fairness.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
31,6,Hearthline,Sova,Sova remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust hearth ceramics work around repair apology.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
32,6,Routeline,Keth,Keth remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust stone bridge joints work around route safety.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
33,6,Marketline,Melo,Melo remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust measure weights work around public token teaching.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
34,6,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust seed ledgers work around weather bell caution.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
35,6,Orchardline,Ori,Ori remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust water terraces work around market fairness.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
36,6,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust weather bells work around rest before work.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
