tick_id,day,debtor,infrastructure_id,owed_work,debt_before,debt_delta,debt_after,settled,visible_to_household,repair_option
0,1,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
1,1,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
2,1,Nia,archive_public_kiosk,maintain Archive public kiosk,0.21,0.0,0.21,False,True,"schedule repair, borrow tool, exchange stock"
3,1,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.24,0.0,0.24,False,True,"schedule repair, borrow tool, exchange stock"
4,1,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
5,1,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
6,1,Nia,archive_public_kiosk,maintain Archive public kiosk,0.21,0.0,0.21,False,True,"schedule repair, borrow tool, exchange stock"
7,1,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.24,0.0,0.24,False,True,"schedule repair, borrow tool, exchange stock"
8,1,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
9,1,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
10,1,Nia,archive_public_kiosk,maintain Archive public kiosk,0.21,0.0,0.21,False,True,"schedule repair, borrow tool, exchange stock"
11,1,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.24,0.0,0.24,False,True,"schedule repair, borrow tool, exchange stock"
12,1,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
13,1,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
14,1,Nia,archive_public_kiosk,maintain Archive public kiosk,0.21,0.0,0.21,False,True,"schedule repair, borrow tool, exchange stock"
15,1,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.24,0.0,0.24,False,True,"schedule repair, borrow tool, exchange stock"
16,1,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
17,1,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
18,2,Nia,archive_public_kiosk,maintain Archive public kiosk,0.21,-0.118138,0.091862,True,True,"schedule repair, borrow tool, exchange stock"
19,2,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.24,0.0,0.24,False,True,"schedule repair, borrow tool, exchange stock"
20,2,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
21,2,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
22,2,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
23,2,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.24,0.0,0.24,False,True,"schedule repair, borrow tool, exchange stock"
24,2,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
25,2,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
26,2,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
27,2,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.24,-0.119247,0.120753,True,True,"schedule repair, borrow tool, exchange stock"
28,2,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
29,2,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
30,2,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
31,2,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
32,2,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
33,2,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
34,2,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
35,2,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
36,3,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
37,3,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
38,3,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
39,3,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
40,3,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
41,3,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
42,3,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
43,3,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
44,3,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
45,3,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
46,3,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
47,3,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
48,3,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
49,3,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
50,3,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
51,3,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
52,3,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
53,3,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
54,4,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
55,4,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
56,4,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
57,4,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
58,4,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
59,4,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
60,4,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.0,0.18,False,True,"schedule repair, borrow tool, exchange stock"
61,4,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
62,4,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
63,4,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
64,4,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.18,0.012,0.192,False,True,"schedule repair, borrow tool, exchange stock"
65,4,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
66,4,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
67,4,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
68,4,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.192,0.012,0.204,False,True,"schedule repair, borrow tool, exchange stock"
69,4,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
70,4,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
71,4,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
72,5,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.204,-0.118542,0.085458,True,True,"schedule repair, borrow tool, exchange stock"
73,5,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
74,5,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
75,5,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
76,5,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.085458,0.0,0.085458,False,True,"schedule repair, borrow tool, exchange stock"
77,5,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
