tick_id,day,tick,season,route_id,source,destination,forecast_key,forecast_risk,route_choice,planned_distance,hazard_expected,detour_selected,plan_visible,reason
0,1,0,spring_rain,riverbend_roofward,riverbend,roofward,forecast:riverbend_roofward:d1:r0,0.40944,direct route,4.2,False,False,True,direct route acceptable
1,1,1,spring_rain,roofward_archive,roofward,archive_quarter,forecast:roofward_archive:d1:r0,0.498,cool archive lane,4.392,True,True,True,forecast detour
2,1,2,spring_rain,archive_signal,archive_quarter,signal_ridge,forecast:archive_signal:d1:r0,0.3,direct route,4.8,False,False,True,direct route acceptable
3,1,3,spring_rain,signal_orchard,signal_ridge,orchard_fen,forecast:signal_orchard:d1:r0,0.3,direct route,5.1,False,False,True,direct route acceptable
4,1,4,spring_rain,orchard_riverbend,orchard_fen,riverbend,forecast:orchard_riverbend:d1:r0,0.3,direct route,4.5,False,False,True,direct route acceptable
5,1,5,spring_rain,central_repair_ring,central_exchange,repair_hall,forecast:central_repair_ring:d1:r0,0.3,direct route,2.8,False,False,True,direct route acceptable
6,1,6,spring_rain,riverbend_roofward,riverbend,roofward,forecast:riverbend_roofward:d1:r1,0.40944,direct route,4.2,False,False,True,direct route acceptable
7,1,7,spring_rain,roofward_archive,roofward,archive_quarter,forecast:roofward_archive:d1:r1,0.594018,cool archive lane,4.392,True,True,True,forecast detour
8,1,8,spring_rain,archive_signal,archive_quarter,signal_ridge,forecast:archive_signal:d1:r0,0.3,direct route,4.8,False,False,True,direct route acceptable
9,1,9,spring_rain,signal_orchard,signal_ridge,orchard_fen,forecast:signal_orchard:d1:r0,0.3,direct route,5.1,False,False,True,direct route acceptable
10,1,10,spring_rain,orchard_riverbend,orchard_fen,riverbend,forecast:orchard_riverbend:d1:r0,0.3,direct route,4.5,False,False,True,direct route acceptable
11,1,11,spring_rain,central_repair_ring,central_exchange,repair_hall,forecast:central_repair_ring:d1:r0,0.3,direct route,2.8,False,False,True,direct route acceptable
12,1,12,spring_rain,riverbend_roofward,riverbend,roofward,forecast:riverbend_roofward:d1:r1,0.40944,direct route,4.2,False,False,True,direct route acceptable
13,1,13,spring_rain,roofward_archive,roofward,archive_quarter,forecast:roofward_archive:d1:r2,0.445479,cool archive lane,4.392,True,True,True,forecast detour
14,2,0,spring_rain,archive_signal,archive_quarter,signal_ridge,forecast:archive_signal:d2:r0,0.538021,stone kiosk path,5.856,True,True,True,forecast detour
15,2,1,spring_rain,signal_orchard,signal_ridge,orchard_fen,forecast:signal_orchard:d2:r0,0.3,direct route,5.1,False,False,True,direct route acceptable
16,2,2,spring_rain,orchard_riverbend,orchard_fen,riverbend,forecast:orchard_riverbend:d2:r0,0.3,direct route,4.5,False,False,True,direct route acceptable
17,2,3,spring_rain,central_repair_ring,central_exchange,repair_hall,forecast:central_repair_ring:d2:r0,0.3,direct route,2.8,False,False,True,direct route acceptable
18,2,4,spring_rain,riverbend_roofward,riverbend,roofward,forecast:riverbend_roofward:d2:r1,0.40944,direct route,4.2,False,False,True,direct route acceptable
19,2,5,spring_rain,roofward_archive,roofward,archive_quarter,forecast:roofward_archive:d2:r3,0.445479,cool archive lane,4.392,True,True,True,forecast detour
20,2,6,spring_rain,archive_signal,archive_quarter,signal_ridge,forecast:archive_signal:d2:r1,0.429195,stone kiosk path,5.856,True,True,True,forecast detour
21,2,7,spring_rain,signal_orchard,signal_ridge,orchard_fen,forecast:signal_orchard:d2:r0,0.457394,river lantern loop,6.222,True,True,True,forecast detour
22,2,8,spring_rain,orchard_riverbend,orchard_fen,riverbend,forecast:orchard_riverbend:d2:r0,0.3,direct route,4.5,False,False,True,direct route acceptable
23,2,9,spring_rain,central_repair_ring,central_exchange,repair_hall,forecast:central_repair_ring:d2:r0,0.3,direct route,2.8,False,False,True,direct route acceptable
24,2,10,spring_rain,riverbend_roofward,riverbend,roofward,forecast:riverbend_roofward:d2:r1,0.40944,direct route,4.2,False,False,True,direct route acceptable
25,2,11,spring_rain,roofward_archive,roofward,archive_quarter,forecast:roofward_archive:d2:r3,0.445479,cool archive lane,4.392,True,True,True,forecast detour
26,2,12,spring_rain,archive_signal,archive_quarter,signal_ridge,forecast:archive_signal:d2:r2,0.525652,stone kiosk path,5.856,True,True,True,forecast detour
27,2,13,spring_rain,signal_orchard,signal_ridge,orchard_fen,forecast:signal_orchard:d2:r1,0.457394,river lantern loop,6.222,True,True,True,forecast detour
28,3,0,spring_rain,orchard_riverbend,orchard_fen,riverbend,forecast:orchard_riverbend:d3:r0,0.456888,market plank route,5.49,True,True,True,forecast detour
29,3,1,spring_rain,central_repair_ring,central_exchange,repair_hall,forecast:central_repair_ring:d3:r0,0.3,direct route,2.8,False,False,True,direct route acceptable
30,3,2,spring_rain,riverbend_roofward,riverbend,roofward,forecast:riverbend_roofward:d3:r1,0.40944,direct route,4.2,False,False,True,direct route acceptable
31,3,3,spring_rain,roofward_archive,roofward,archive_quarter,forecast:roofward_archive:d3:r3,0.445479,cool archive lane,4.392,True,True,True,forecast detour
32,3,4,spring_rain,archive_signal,archive_quarter,signal_ridge,forecast:archive_signal:d3:r3,0.525652,stone kiosk path,5.856,True,True,True,forecast detour
33,3,5,spring_rain,signal_orchard,signal_ridge,orchard_fen,forecast:signal_orchard:d3:r1,0.452825,direct route,5.1,True,False,True,direct route acceptable
34,3,6,spring_rain,orchard_riverbend,orchard_fen,riverbend,forecast:orchard_riverbend:d3:r1,0.456888,market plank route,5.49,True,True,True,forecast detour
35,3,7,spring_rain,central_repair_ring,central_exchange,repair_hall,forecast:central_repair_ring:d3:r0,0.362982,direct route,2.8,False,False,True,direct route acceptable
36,3,8,spring_rain,riverbend_roofward,riverbend,roofward,forecast:riverbend_roofward:d3:r1,0.40944,direct route,4.2,False,False,True,direct route acceptable
37,3,9,spring_rain,roofward_archive,roofward,archive_quarter,forecast:roofward_archive:d3:r3,0.445479,cool archive lane,4.392,True,True,True,forecast detour
38,3,10,spring_rain,archive_signal,archive_quarter,signal_ridge,forecast:archive_signal:d3:r3,0.525652,stone kiosk path,5.856,True,True,True,forecast detour
39,3,11,spring_rain,signal_orchard,signal_ridge,orchard_fen,forecast:signal_orchard:d3:r2,0.492025,river lantern loop,6.222,True,True,True,forecast detour
40,3,12,spring_rain,orchard_riverbend,orchard_fen,riverbend,forecast:orchard_riverbend:d3:r1,0.456888,market plank route,5.49,True,True,True,forecast detour
41,3,13,spring_rain,central_repair_ring,central_exchange,repair_hall,forecast:central_repair_ring:d3:r1,0.362982,direct route,2.8,False,False,True,direct route acceptable
42,4,0,spring_rain,riverbend_roofward,riverbend,roofward,forecast:riverbend_roofward:d4:r1,0.565899,orchard_fen ridge path,5.124,True,True,True,forecast detour
43,4,1,spring_rain,roofward_archive,roofward,archive_quarter,forecast:roofward_archive:d4:r3,0.445479,cool archive lane,4.392,True,True,True,forecast detour
44,4,2,spring_rain,archive_signal,archive_quarter,signal_ridge,forecast:archive_signal:d4:r3,0.525652,direct route,4.8,True,False,True,direct route acceptable
45,4,3,spring_rain,signal_orchard,signal_ridge,orchard_fen,forecast:signal_orchard:d4:r3,0.492025,river lantern loop,6.222,True,True,True,forecast detour
46,4,4,spring_rain,orchard_riverbend,orchard_fen,riverbend,forecast:orchard_riverbend:d4:r1,0.493954,market plank route,5.49,True,True,True,forecast detour
