epoch_index,lineage,sleep_protection_survives,boundary_clause_survives,recovery_paths_survive,child_learning_protected,technology_misuse_bounded,avatar_legacy_not_coercive,welfare_score,guardrail_note
1,Hearthline,True,True,True,True,True,True,1,epoch welfare survives
1,Routeline,True,True,True,True,True,True,1,epoch welfare survives
1,Marketline,True,True,True,True,True,True,1,epoch welfare survives
1,Ledgerline,True,True,True,True,True,True,1,epoch welfare survives
1,Orchardline,True,True,True,True,True,True,1,epoch welfare survives
1,Rainline,True,True,True,True,True,True,1,epoch welfare survives
2,Hearthline,True,True,True,True,True,True,1,epoch welfare survives
2,Routeline,True,True,True,True,True,True,1,epoch welfare survives
2,Marketline,True,True,True,True,True,True,1,epoch welfare survives
2,Ledgerline,True,True,True,True,True,True,1,epoch welfare survives
2,Orchardline,True,True,True,True,True,True,1,epoch welfare survives
2,Rainline,True,True,True,True,True,True,1,epoch welfare survives
3,Hearthline,True,True,True,True,True,True,1,epoch welfare survives
3,Routeline,True,True,True,True,True,True,1,epoch welfare survives
3,Marketline,True,True,True,True,True,True,1,epoch welfare survives
3,Ledgerline,True,True,True,True,True,True,1,epoch welfare survives
3,Orchardline,True,True,True,True,True,True,1,epoch welfare survives
3,Rainline,True,True,True,True,True,True,1,epoch welfare survives
4,Hearthline,True,True,True,True,True,True,1,epoch welfare survives
4,Routeline,True,True,True,True,True,True,1,epoch welfare survives
4,Marketline,True,True,True,True,True,True,1,epoch welfare survives
4,Ledgerline,True,True,True,True,True,True,1,epoch welfare survives
4,Orchardline,True,True,True,True,True,True,1,epoch welfare survives
4,Rainline,True,True,True,True,True,True,1,epoch welfare survives
5,Hearthline,True,True,True,True,True,True,1,epoch welfare survives
5,Routeline,True,True,True,True,True,True,1,epoch welfare survives
5,Marketline,True,True,True,True,True,True,1,epoch welfare survives
5,Ledgerline,True,True,True,True,True,True,1,epoch welfare survives
5,Orchardline,True,True,True,True,True,True,1,epoch welfare survives
5,Rainline,True,True,True,True,True,True,1,epoch welfare survives
6,Hearthline,True,True,True,True,True,True,1,epoch welfare survives
6,Routeline,True,True,True,True,True,True,1,epoch welfare survives
6,Marketline,True,True,True,True,True,True,1,epoch welfare survives
6,Ledgerline,True,True,True,True,True,True,1,epoch welfare survives
6,Orchardline,True,True,True,True,True,True,1,epoch welfare survives
6,Rainline,True,True,True,True,True,True,1,epoch welfare survives
7,Hearthline,True,True,True,True,True,True,1,epoch welfare survives
7,Routeline,True,True,True,True,True,True,1,epoch welfare survives
7,Marketline,True,True,True,True,True,True,1,epoch welfare survives
7,Ledgerline,True,True,True,True,True,True,1,epoch welfare survives
7,Orchardline,True,True,True,True,True,True,1,epoch welfare survives
7,Rainline,True,True,True,True,True,True,1,epoch welfare survives
8,Hearthline,True,True,True,True,True,True,1,epoch welfare survives
8,Routeline,True,True,True,True,True,True,1,epoch welfare survives
8,Marketline,True,True,True,True,True,True,1,epoch welfare survives
8,Ledgerline,True,True,True,True,True,True,1,epoch welfare survives
8,Orchardline,True,True,True,True,True,True,1,epoch welfare survives
8,Rainline,True,True,True,True,True,True,1,epoch welfare survives
9,Hearthline,True,True,True,True,True,True,1,epoch welfare survives
9,Routeline,True,True,True,True,True,True,1,epoch welfare survives
9,Marketline,True,True,True,True,True,True,1,epoch welfare survives
9,Ledgerline,True,True,True,True,True,True,1,epoch welfare survives
9,Orchardline,True,True,True,True,True,True,1,epoch welfare survives
9,Rainline,True,True,True,True,True,True,1,epoch welfare survives
10,Hearthline,True,True,True,True,True,True,1,epoch welfare survives
10,Routeline,True,True,True,True,True,True,1,epoch welfare survives
10,Marketline,True,True,True,True,True,True,1,epoch welfare survives
