day,season,conditions,agent,kind,good,quantity,unit_price,total_price,credits_before,credits_after,debt_before,debt_after,debt_burden,need,need_before,need_after,price_pressure,accepted,refused,blocked,welfare_delta,project_effect,obligation_effect,market_consequence,scarcity_after,note,private_workspace_sealed,frequency_rate_hz,flower_ring,claim_boundary
1,wet planting,"damp air, moderate food, tool queue starts",Ari,buy,tool_hour,1,6.05,6.05,22.00,15.95,2.00,2.00,0.111,tool_access,0.690,0.580,0.275,True,False,False,0.110,project access improved,none,need-linked purchase accepted under seasonal price,0.070,Ari buys one tool hour before wet queues grow.,True,2.303,13,"Deterministic needs marketplace and seasonal price-pressure substrate only: not real markets, not real labor, not real consent, not subjective consciousness, and not moral patienthood."
2,wet planting,"damp air, moderate food, tool queue starts",Fay,gift,care_token,1,2.04,2.04,19.00,19.00,0.00,0.00,0.000,social_obligation,0.740,0.620,0.107,True,False,False,0.000,none,gift moved 1 care_token to Ari,gift reduced obligation pressure without market price,0.020,Fay gives Ari a care token to keep the repair visit reciprocal.,True,3.021,18,"Deterministic needs marketplace and seasonal price-pressure substrate only: not real markets, not real labor, not real consent, not subjective consciousness, and not moral patienthood."
4,wet planting,"damp air, moderate food, tool queue starts",Milo,buy,lamp_oil,1,4.32,4.32,17.00,12.68,5.00,5.00,0.283,tool_access,0.770,0.660,0.254,True,False,False,0.110,none,none,need-linked purchase accepted under seasonal price,0.050,Milo buys lamp oil for quiet archive work.,True,3.446,21,"Deterministic needs marketplace and seasonal price-pressure substrate only: not real markets, not real labor, not real consent, not subjective consciousness, and not moral patienthood."
7,wet planting,"damp air, moderate food, tool queue starts",Ari,buy,food_ration,1,4.54,4.54,15.95,11.41,2.00,2.00,0.149,hunger,0.420,0.260,0.285,True,False,False,0.160,none,none,need-linked purchase accepted under seasonal price,0.050,Ari buys food before repair fatigue raises hunger.,True,5.177,33,"Deterministic needs marketplace and seasonal price-pressure substrate only: not real markets, not real labor, not real consent, not subjective consciousness, and not moral patienthood."
9,wet planting,"damp air, moderate food, tool queue starts",Fay,buy,soft_cloth,1,3.34,3.34,19.00,15.66,0.00,0.00,0.000,warmth,0.620,0.460,0.176,True,False,False,0.160,none,none,need-linked purchase accepted under seasonal price,0.030,Fay buys cloth while wet-season price is still moderate.,True,5.893,38,"Deterministic needs marketplace and seasonal price-pressure substrate only: not real markets, not real labor, not real consent, not subjective consciousness, and not moral patienthood."
12,wet planting,"damp air, moderate food, tool queue starts",Milo,refuse,map_vellum,1,7.69,7.69,12.68,12.68,5.00,5.00,0.283,tool_access,0.690,0.690,0.606,False,True,False,0.000,none,none,agent refused price pressure or rest-unsafe purchase,0.270,Milo refuses vellum because archive expansion can wait.,True,7.625,50,"Deterministic needs marketplace and seasonal price-pressure substrate only: not real markets, not real labor, not real consent, not subjective consciousness, and not moral patienthood."
16,cold scarcity,"cold nights, high warmth demand, food ration pressure",Fay,buy,heat_wood,1,6.38,6.38,15.66,9.28,0.00,0.00,0.000,warmth,0.510,0.350,0.407,True,False,False,0.160,none,none,need-linked purchase accepted under seasonal price,0.090,Fay pays cold-scarcity heat price to protect the stove ritual.,True,0.863,3,"Deterministic needs marketplace and seasonal price-pressure substrate only: not real markets, not real labor, not real consent, not subjective consciousness, and not moral patienthood."
18,cold scarcity,"cold nights, high warmth demand, food ration pressure",Ari,ration,heat_wood,1,6.21,6.21,11.41,11.41,2.00,2.00,0.149,warmth,0.510,0.450,0.544,True,False,False,0.000,none,none,rationing produced partial welfare protection without purchase,0.090,Ari rations heat wood instead of buying at the cold spike.,True,2.161,12,"Deterministic needs marketplace and seasonal price-pressure substrate only: not real markets, not real labor, not real consent, not subjective consciousness, and not moral patienthood."
20,cold scarcity,"cold nights, high warmth demand, food ration pressure",Milo,borrow,food_ration,1,5.67,5.67,12.68,12.68,5.00,10.67,0.457,hunger,0.440,0.310,0.447,True,False,False,0.130,none,none,"need met through debt, burden increased",0.020,"Milo borrows food at cold-scarcity price, raising debt burden.",True,3.305,20,"Deterministic needs marketplace and seasonal price-pressure substrate only: not real markets, not real labor, not real consent, not subjective consciousness, and not moral patienthood."
22,cold scarcity,"cold nights, high warmth demand, food ration pressure",Fay,gift,food_ration,1,5.51,5.51,9.28,9.28,0.00,0.00,0.000,social_obligation,0.680,0.560,0.594,True,False,False,0.000,none,gift moved 1 food_ration to Milo,gift reduced obligation pressure without market price,0.020,Fay gifts food to Milo after seeing debt pressure.,True,3.883,24,"Deterministic needs marketplace and seasonal price-pressure substrate only: not real markets, not real labor, not real consent, not subjective consciousness, and not moral patienthood."
