metric,value
avatar_chosen_caravan_task_effect,1.0
avatar_task_taken_count,137.0
browser_route_mutation_persistence,1.0
browser_world_v30_live_route_readiness,0.920791
browser_world_v30_surface_available,1.0
drill_minigame_step_binding,1.0
drill_minigame_step_count,131.0
forecast_edit_accepted_count,176.0
forecast_edit_count,186.0
forecast_edit_persistence,1.0
frequency_flower_live_control_rhythm,0.803125
guild_inspection_count,205.0
guild_record_inspection_visibility,1.0
live_recovery_after_reload,0.808163
live_route_memory_integrity,1.0
live_route_replay_integrity,0.895833
live_route_selection_control_rate,0.974843
mean_live_route_channel_score,0.97122
privacy_safe_live_route_state,1.0
regional_recovery_consequence_binding,1.0
reload_consequence_count,132.0
reload_probe_count,147.0
reload_replay_binding,1.0
reload_state_persistence,1.0
route_selection_count,318.0
sensory_live_control_binding,1.0
source_route_recovery_continuity,1.0
visible_browser_live_route_surface,1.0
weakest_channel_score,0.803125
