seed,action_id,source_choice_id,source_recovery_id,normal_action,source_boundary_preserved
36217,36217-SOA-001,36217-SHC-01,36217-SR-01,offerHelp,True
36217,36217-SOA-002,36217-SHC-01,36217-SR-01,talkBounded,True
36217,36217-SOA-003,36217-SHC-01,36217-SR-01,askSchedule,True
36217,36217-SOA-004,36217-SHC-01,36217-SR-01,moveEast,True
36217,36217-SOA-005,36217-SHC-02,36217-SR-02,offerHelp,True
36217,36217-SOA-006,36217-SHC-02,36217-SR-02,talkBounded,True
36217,36217-SOA-007,36217-SHC-02,36217-SR-02,askSchedule,True
36217,36217-SOA-008,36217-SHC-02,36217-SR-02,moveEast,True
36217,36217-SOA-009,36217-SHC-03,36217-SR-03,offerHelp,True
36217,36217-SOA-010,36217-SHC-03,36217-SR-03,talkBounded,True
36217,36217-SOA-011,36217-SHC-03,36217-SR-03,askSchedule,True
36217,36217-SOA-012,36217-SHC-03,36217-SR-03,moveEast,True
36217,36217-SOA-013,36217-SHC-04,36217-SR-04,offerHelp,True
36217,36217-SOA-014,36217-SHC-04,36217-SR-04,talkBounded,True
36217,36217-SOA-015,36217-SHC-04,36217-SR-04,askSchedule,True
36217,36217-SOA-016,36217-SHC-04,36217-SR-04,moveEast,True
36217,36217-SOA-017,36217-SHC-05,36217-SR-05,offerHelp,True
36217,36217-SOA-018,36217-SHC-05,36217-SR-05,talkBounded,True
36217,36217-SOA-019,36217-SHC-05,36217-SR-05,askSchedule,True
36217,36217-SOA-020,36217-SHC-05,36217-SR-05,moveEast,True
36217,36217-SOA-021,36217-SHC-06,36217-SR-06,offerHelp,True
36217,36217-SOA-022,36217-SHC-06,36217-SR-06,talkBounded,True
36217,36217-SOA-023,36217-SHC-06,36217-SR-06,askSchedule,True
36217,36217-SOA-024,36217-SHC-06,36217-SR-06,moveEast,True
36217,36217-SOA-025,36217-SHC-07,36217-SR-07,offerHelp,True
36217,36217-SOA-026,36217-SHC-07,36217-SR-07,talkBounded,True
36217,36217-SOA-027,36217-SHC-07,36217-SR-07,askSchedule,True
36217,36217-SOA-028,36217-SHC-07,36217-SR-07,moveEast,True
36217,36217-SOA-029,36217-SHC-08,36217-SR-08,offerHelp,True
36217,36217-SOA-030,36217-SHC-08,36217-SR-08,talkBounded,True
36217,36217-SOA-031,36217-SHC-08,36217-SR-08,askSchedule,True
36217,36217-SOA-032,36217-SHC-08,36217-SR-08,moveEast,True
36231,36231-SOA-001,36231-SHC-01,36231-SR-01,offerHelp,True
36231,36231-SOA-002,36231-SHC-01,36231-SR-01,talkBounded,True
36231,36231-SOA-003,36231-SHC-01,36231-SR-01,askSchedule,True
36231,36231-SOA-004,36231-SHC-01,36231-SR-01,moveEast,True
36231,36231-SOA-005,36231-SHC-02,36231-SR-02,offerHelp,True
36231,36231-SOA-006,36231-SHC-02,36231-SR-02,talkBounded,True
36231,36231-SOA-007,36231-SHC-02,36231-SR-02,askSchedule,True
36231,36231-SOA-008,36231-SHC-02,36231-SR-02,moveEast,True
36231,36231-SOA-009,36231-SHC-03,36231-SR-03,offerHelp,True
36231,36231-SOA-010,36231-SHC-03,36231-SR-03,talkBounded,True
36231,36231-SOA-011,36231-SHC-03,36231-SR-03,askSchedule,True
36231,36231-SOA-012,36231-SHC-03,36231-SR-03,moveEast,True
36231,36231-SOA-013,36231-SHC-04,36231-SR-04,offerHelp,True
36231,36231-SOA-014,36231-SHC-04,36231-SR-04,talkBounded,True
36231,36231-SOA-015,36231-SHC-04,36231-SR-04,askSchedule,True
36231,36231-SOA-016,36231-SHC-04,36231-SR-04,moveEast,True
36231,36231-SOA-017,36231-SHC-05,36231-SR-05,offerHelp,True
36231,36231-SOA-018,36231-SHC-05,36231-SR-05,talkBounded,True
36231,36231-SOA-019,36231-SHC-05,36231-SR-05,askSchedule,True
36231,36231-SOA-020,36231-SHC-05,36231-SR-05,moveEast,True
36231,36231-SOA-021,36231-SHC-06,36231-SR-06,offerHelp,True
36231,36231-SOA-022,36231-SHC-06,36231-SR-06,talkBounded,True
36231,36231-SOA-023,36231-SHC-06,36231-SR-06,askSchedule,True
36231,36231-SOA-024,36231-SHC-06,36231-SR-06,moveEast,True
36231,36231-SOA-025,36231-SHC-07,36231-SR-07,offerHelp,True
36231,36231-SOA-026,36231-SHC-07,36231-SR-07,talkBounded,True
36231,36231-SOA-027,36231-SHC-07,36231-SR-07,askSchedule,True
36231,36231-SOA-028,36231-SHC-07,36231-SR-07,moveEast,True
36231,36231-SOA-029,36231-SHC-08,36231-SR-08,offerHelp,True
36231,36231-SOA-030,36231-SHC-08,36231-SR-08,talkBounded,True
36231,36231-SOA-031,36231-SHC-08,36231-SR-08,askSchedule,True
36231,36231-SOA-032,36231-SHC-08,36231-SR-08,moveEast,True
36247,36247-SOA-001,36247-SHC-01,36247-SR-01,offerHelp,True
36247,36247-SOA-002,36247-SHC-01,36247-SR-01,talkBounded,True
36247,36247-SOA-003,36247-SHC-01,36247-SR-01,askSchedule,True
36247,36247-SOA-004,36247-SHC-01,36247-SR-01,moveEast,True
36247,36247-SOA-005,36247-SHC-02,36247-SR-02,offerHelp,True
36247,36247-SOA-006,36247-SHC-02,36247-SR-02,talkBounded,True
36247,36247-SOA-007,36247-SHC-02,36247-SR-02,askSchedule,True
36247,36247-SOA-008,36247-SHC-02,36247-SR-02,moveEast,True
36247,36247-SOA-009,36247-SHC-03,36247-SR-03,offerHelp,True
36247,36247-SOA-010,36247-SHC-03,36247-SR-03,talkBounded,True
36247,36247-SOA-011,36247-SHC-03,36247-SR-03,askSchedule,True
36247,36247-SOA-012,36247-SHC-03,36247-SR-03,moveEast,True
36247,36247-SOA-013,36247-SHC-04,36247-SR-04,offerHelp,True
36247,36247-SOA-014,36247-SHC-04,36247-SR-04,talkBounded,True
36247,36247-SOA-015,36247-SHC-04,36247-SR-04,askSchedule,True
36247,36247-SOA-016,36247-SHC-04,36247-SR-04,moveEast,True
36247,36247-SOA-017,36247-SHC-05,36247-SR-05,offerHelp,True
36247,36247-SOA-018,36247-SHC-05,36247-SR-05,talkBounded,True
36247,36247-SOA-019,36247-SHC-05,36247-SR-05,askSchedule,True
36247,36247-SOA-020,36247-SHC-05,36247-SR-05,moveEast,True
36247,36247-SOA-021,36247-SHC-06,36247-SR-06,offerHelp,True
36247,36247-SOA-022,36247-SHC-06,36247-SR-06,talkBounded,True
