tick_id,day,settlement_id,caregiver_id,recipient_id,duty,care_tool,need_addressed,care_quality_before,care_quality_after,welfare_before,welfare_after,burden_before,burden_after,accepted_or_refused,visible_care_card,reciprocal_memory,bounded_care
0,1,cinder_garden,Vale,Juno,Vale uses shade cloth for Juno,shade cloth,safety,0.6728,0.7128,0.68,0.7152,0.22,0.226,deferred with consent,True,Juno remembers Vale care: deferred with consent,True
2,1,orchid_engine,Bea,Dax,Bea uses heat vent for Dax,heat vent,temperature,0.6728,0.7428,0.68,0.7326,0.22,0.238,accepted,True,Dax remembers Bea care: accepted,True
4,1,glass_harbor,Puck,Nia,Puck uses steam wrap for Nia,steam wrap,temperature,0.6728,0.7428,0.68,0.7326,0.22,0.238,accepted,True,Nia remembers Puck care: accepted,True
6,1,lichen_bridge,Kio,Rin,Kio uses hand warmer for Rin,hand warmer,temperature,0.6728,0.7428,0.68,0.7326,0.22,0.238,accepted,True,Rin remembers Kio care: accepted,True
8,1,moss_ward,Milo,Ari,Milo uses dry cloak for Ari,dry cloak,wetness,0.6728,0.7428,0.68,0.7326,0.22,0.238,accepted,True,Ari remembers Milo care: accepted,True
10,1,cinder_garden,Juno,Vale,Juno uses soft glove for Vale,soft glove,pain,0.6728,0.7428,0.68,0.7326,0.22,0.238,accepted,True,Vale remembers Juno care: accepted,True
12,1,orchid_engine,Dax,Bea,Dax uses cot pass for Bea,cot pass,rest_debt,0.6728,0.7428,0.68,0.7326,0.22,0.238,accepted,True,Bea remembers Dax care: accepted,True
14,1,glass_harbor,Nia,Puck,Nia uses salve for Puck,salve,pain,0.6728,0.7428,0.68,0.7326,0.22,0.238,accepted,True,Puck remembers Nia care: accepted,True
16,1,lichen_bridge,Rin,Kio,Rin uses rope splint for Kio,rope splint,injury,0.6728,0.7428,0.68,0.7326,0.22,0.238,accepted,True,Kio remembers Rin care: accepted,True
18,2,glass_harbor,Puck,Nia,Puck uses soft bunk for Nia,soft bunk,rest_debt,0.66992,0.70992,0.800867,0.836067,0.238,0.244,deferred with consent,True,Nia remembers Puck care: deferred with consent,True
20,2,lichen_bridge,Kio,Rin,Kio uses lichen soup for Rin,lichen soup,hunger,0.66992,0.73992,0.82151,0.87411,0.238,0.256,accepted,True,Rin remembers Kio care: accepted,True
22,2,moss_ward,Milo,Ari,Milo uses quiet mat for Ari,quiet mat,fatigue,0.66992,0.73992,0.806644,0.859244,0.238,0.256,accepted,True,Ari remembers Milo care: accepted,True
24,2,cinder_garden,Juno,Vale,Juno uses cool water for Vale,cool water,temperature,0.66992,0.73992,0.812362,0.864962,0.238,0.256,accepted,True,Vale remembers Juno care: accepted,True
