tick_id,day,settlement_id,scheduler_panel,task_queue_panel,project_panel,care_consent_panel,dialect_relationship_panel,save_restore_panel,frequency_flower_panel,visible_boundary_notice,save_restore_key,replay_key
0,1,riverbend,True,True,True,True,True,True,True,True,ssrm.v41.world.riverbend,ssrm.v41.replay.00000
1,1,roofward,True,True,True,True,True,True,True,True,ssrm.v41.world.roofward,ssrm.v41.replay.00001
2,1,archive,True,True,True,True,True,True,True,True,ssrm.v41.world.archive,ssrm.v41.replay.00002
3,1,signal,True,True,True,True,True,True,True,True,ssrm.v41.world.signal,ssrm.v41.replay.00003
4,1,orchard,True,True,True,True,True,True,True,True,ssrm.v41.world.orchard,ssrm.v41.replay.00004
5,1,repair_ring,True,True,True,True,True,True,True,True,ssrm.v41.world.repair_ring,ssrm.v41.replay.00005
6,1,riverbend,True,True,True,True,True,True,True,True,ssrm.v41.world.riverbend,ssrm.v41.replay.00006
7,1,roofward,True,True,True,True,True,True,True,True,ssrm.v41.world.roofward,ssrm.v41.replay.00007
8,1,archive,True,True,True,True,True,True,True,True,ssrm.v41.world.archive,ssrm.v41.replay.00008
9,1,signal,True,True,True,True,True,True,True,True,ssrm.v41.world.signal,ssrm.v41.replay.00009
10,1,orchard,True,True,True,True,True,True,True,True,ssrm.v41.world.orchard,ssrm.v41.replay.00010
11,1,repair_ring,True,True,True,True,True,True,True,True,ssrm.v41.world.repair_ring,ssrm.v41.replay.00011
12,1,riverbend,True,True,True,True,True,True,True,True,ssrm.v41.world.riverbend,ssrm.v41.replay.00012
13,1,roofward,True,True,True,True,True,True,True,True,ssrm.v41.world.roofward,ssrm.v41.replay.00013
14,1,archive,True,True,True,True,True,True,True,True,ssrm.v41.world.archive,ssrm.v41.replay.00014
15,1,signal,True,True,True,True,True,True,True,True,ssrm.v41.world.signal,ssrm.v41.replay.00015
16,2,orchard,True,True,True,True,True,True,True,True,ssrm.v41.world.orchard,ssrm.v41.replay.00016
17,2,repair_ring,True,True,True,True,True,True,True,True,ssrm.v41.world.repair_ring,ssrm.v41.replay.00017
18,2,riverbend,True,True,True,True,True,True,True,True,ssrm.v41.world.riverbend,ssrm.v41.replay.00018
19,2,roofward,True,True,True,True,True,True,True,True,ssrm.v41.world.roofward,ssrm.v41.replay.00019
20,2,archive,True,True,True,True,True,True,True,True,ssrm.v41.world.archive,ssrm.v41.replay.00020
21,2,signal,True,True,True,True,True,True,True,True,ssrm.v41.world.signal,ssrm.v41.replay.00021
22,2,orchard,True,True,True,True,True,True,True,True,ssrm.v41.world.orchard,ssrm.v41.replay.00022
23,2,repair_ring,True,True,True,True,True,True,True,True,ssrm.v41.world.repair_ring,ssrm.v41.replay.00023
24,2,riverbend,True,True,True,True,True,True,True,True,ssrm.v41.world.riverbend,ssrm.v41.replay.00024
25,2,roofward,True,True,True,True,True,True,True,True,ssrm.v41.world.roofward,ssrm.v41.replay.00025
26,2,archive,True,True,True,True,True,True,True,True,ssrm.v41.world.archive,ssrm.v41.replay.00026
27,2,signal,True,True,True,True,True,True,True,True,ssrm.v41.world.signal,ssrm.v41.replay.00027
28,2,orchard,True,True,True,True,True,True,True,True,ssrm.v41.world.orchard,ssrm.v41.replay.00028
