tick_id,day,settlement_id,resident_id,object_id,memory_key,reload_index,trust_before,trust_after,debt_before,debt_after,memory_span_days,recalled_after_multiple_reloads,inventory_trust_effect_visible,private_memory_not_dumped
0,1,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,0,0.64,0.642,0.08,0.08,0,False,True,True
1,1,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,0,0.668,0.678,0.06,0.035,0,False,True,True
2,1,roofward,Fay,shade cloth,ssrm.v45.inventory_trust.roofward.Fay,0,0.62,0.621,0.08,0.08,0,False,True,True
3,1,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,0,0.62,0.621,0.08,0.08,0,False,True,True
4,1,signal,Ren,oil lantern,ssrm.v45.inventory_trust.signal.Ren,0,0.638,0.639,0.08,0.08,0,False,True,True
5,1,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,0,0.656,0.662,0.08,0.09,0,False,True,True
6,1,repair_ring,Pax,cool cloth,ssrm.v45.inventory_trust.repair_ring.Pax,1,0.644,0.646,0.08,0.08,0,False,True,True
8,1,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,0,0.638,0.64,0.08,0.08,0,False,True,True
10,1,signal,Kesh,wind wrap,ssrm.v45.inventory_trust.signal.Kesh,0,0.656,0.666,0.08,0.055,0,False,True,True
12,1,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,1,0.646,0.647,0.08,0.08,0,False,True,True
13,1,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,0,0.69,0.7,0.015,0.0,0,False,True,True
14,1,roofward,Fay,shade cloth,ssrm.v45.inventory_trust.roofward.Fay,0,0.623,0.624,0.08,0.08,0,False,True,True
15,1,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,0,0.621,0.622,0.08,0.08,0,False,True,True
16,1,signal,Ren,oil lantern,ssrm.v45.inventory_trust.signal.Ren,0,0.639,0.64,0.08,0.08,0,False,True,True
17,1,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,0,0.662,0.668,0.09,0.1,0,False,True,True
18,2,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,0,0.712,0.722,0.0,0.0,1,False,True,True
20,2,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,0,0.622,0.623,0.08,0.08,1,False,True,True
22,2,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,1,0.67,0.672,0.1,0.1,1,False,True,True
24,2,riverbend,Ari,cedar plank,ssrm.v45.inventory_trust.riverbend.Ari,1,0.62,0.621,0.08,0.08,0,False,True,True
25,2,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,0,0.64,0.646,0.08,0.09,1,False,True,True
26,2,archive,Vell,memory tag,ssrm.v45.inventory_trust.archive.Vell,0,0.656,0.658,0.08,0.08,0,False,True,True
27,2,signal,Ren,wind wrap,ssrm.v45.inventory_trust.signal.Ren,0,0.64,0.65,0.08,0.055,1,False,True,True
28,2,orchard,Ivo,seed satchel,ssrm.v45.inventory_trust.orchard.Ivo,1,0.64,0.641,0.104,0.104,0,False,True,True
29,2,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,1,0.647,0.648,0.08,0.08,1,False,True,True
30,2,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,1,0.734,0.744,0.0,0.0,1,False,True,True
32,2,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,0,0.625,0.626,0.08,0.08,1,False,True,True
34,2,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,1,0.674,0.676,0.1,0.1,1,False,True,True
36,3,roofward,Sera,shade cloth,ssrm.v45.inventory_trust.roofward.Sera,0,0.646,0.647,0.09,0.09,2,False,True,True
37,3,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,0,0.626,0.627,0.08,0.08,2,False,True,True
38,3,signal,Ren,oil lantern,ssrm.v45.inventory_trust.signal.Ren,0,0.652,0.653,0.055,0.055,2,False,True,True
39,3,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,1,0.676,0.678,0.1,0.1,2,False,True,True
40,3,repair_ring,Vale,cool cloth,ssrm.v45.inventory_trust.repair_ring.Vale,2,0.658,0.66,0.08,0.08,0,False,True,True
42,3,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,1,0.649,0.651,0.09,0.09,2,False,True,True
44,3,signal,Milo,wind wrap,ssrm.v45.inventory_trust.signal.Milo,0,0.632,0.642,0.06,0.035,0,False,True,True
46,3,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,2,0.648,0.649,0.08,0.08,2,False,True,True
47,3,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,1,0.756,0.766,0.0,0.0,2,False,True,True
48,3,roofward,Sera,shade cloth,ssrm.v45.inventory_trust.roofward.Sera,1,0.651,0.652,0.09,0.09,2,False,True,True
49,3,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,1,0.627,0.628,0.08,0.08,2,False,True,True
50,3,signal,Ren,oil lantern,ssrm.v45.inventory_trust.signal.Ren,0,0.665,0.666,0.035,0.035,2,False,True,True
51,3,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,1,0.678,0.68,0.1,0.1,2,False,True,True
52,3,repair_ring,Vale,cool cloth,ssrm.v45.inventory_trust.repair_ring.Vale,2,0.662,0.664,0.08,0.08,0,False,True,True
54,4,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,1,0.628,0.629,0.08,0.08,3,False,True,True
56,4,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,1,0.68,0.686,0.1,0.11,3,False,True,True
58,4,riverbend,Ari,cedar plank,ssrm.v45.inventory_trust.riverbend.Ari,2,0.621,0.622,0.08,0.08,2,False,True,True
59,4,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,1,0.652,0.654,0.09,0.09,3,False,True,True
60,4,archive,Vell,memory tag,ssrm.v45.inventory_trust.archive.Vell,2,0.66,0.662,0.08,0.08,2,False,True,True
61,4,signal,Kesh,wind wrap,ssrm.v45.inventory_trust.signal.Kesh,0,0.678,0.688,0.035,0.01,3,False,True,True
62,4,orchard,Ivo,seed satchel,ssrm.v45.inventory_trust.orchard.Ivo,1,0.651,0.652,0.116,0.116,2,False,True,True
63,4,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,2,0.651,0.652,0.08,0.08,3,True,True,True
64,4,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,2,0.778,0.788,0.0,0.0,3,True,True,True
66,4,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,2,0.629,0.631,0.08,0.08,3,True,True,True
68,4,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,1,0.686,0.692,0.11,0.12,3,False,True,True
70,4,riverbend,Ari,cedar plank,ssrm.v45.inventory_trust.riverbend.Ari,2,0.622,0.623,0.08,0.08,2,False,True,True
71,4,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,1,0.654,0.656,0.09,0.09,3,False,True,True
72,5,signal,Ren,oil lantern,ssrm.v45.inventory_trust.signal.Ren,0,0.666,0.667,0.035,0.035,4,False,True,True
73,5,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,1,0.694,0.696,0.12,0.12,4,False,True,True
74,5,repair_ring,Juno,cool cloth,ssrm.v45.inventory_trust.repair_ring.Juno,2,0.626,0.628,0.08,0.08,0,False,True,True
76,5,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,2,0.656,0.662,0.09,0.1,4,True,True,True
78,5,signal,Ren,wind wrap,ssrm.v45.inventory_trust.signal.Ren,1,0.667,0.677,0.035,0.01,4,False,True,True
80,5,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,3,0.654,0.655,0.08,0.08,4,True,True,True
81,5,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,2,0.8,0.81,0.0,0.0,4,True,True,True
82,5,roofward,Orr,shade cloth,ssrm.v45.inventory_trust.roofward.Orr,2,0.676,0.677,0.104,0.104,0,False,True,True
83,5,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,2,0.633,0.634,0.08,0.08,4,True,True,True
84,5,signal,Ren,oil lantern,ssrm.v45.inventory_trust.signal.Ren,1,0.677,0.678,0.01,0.01,4,False,True,True
85,5,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,1,0.698,0.7,0.12,0.12,4,False,True,True
86,5,repair_ring,Juno,cool cloth,ssrm.v45.inventory_trust.repair_ring.Juno,3,0.63,0.632,0.08,0.08,0,False,True,True
88,5,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,2,0.662,0.668,0.1,0.11,4,True,True,True
90,6,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,1,0.7,0.702,0.12,0.12,5,False,True,True
92,6,riverbend,Ari,cedar plank,ssrm.v45.inventory_trust.riverbend.Ari,2,0.623,0.624,0.08,0.08,4,True,True,True
93,6,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,2,0.67,0.672,0.11,0.11,5,True,True,True
94,6,archive,Vell,memory tag,ssrm.v45.inventory_trust.archive.Vell,3,0.664,0.666,0.08,0.08,4,True,True,True
95,6,signal,Milo,wind wrap,ssrm.v45.inventory_trust.signal.Milo,1,0.654,0.664,0.015,0.0,3,False,True,True
96,6,orchard,Ivo,seed satchel,ssrm.v45.inventory_trust.orchard.Ivo,2,0.662,0.663,0.128,0.128,4,True,True,True
97,6,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,3,0.655,0.656,0.08,0.08,5,True,True,True
98,6,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,2,0.822,0.832,0.0,0.0,5,True,True,True
100,6,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,3,0.636,0.637,0.08,0.08,5,True,True,True
102,6,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,2,0.702,0.704,0.12,0.12,5,True,True,True
104,6,riverbend,Ari,cedar plank,ssrm.v45.inventory_trust.riverbend.Ari,2,0.624,0.625,0.08,0.08,4,True,True,True
105,6,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,2,0.674,0.676,0.11,0.11,5,True,True,True
106,6,archive,Vell,memory tag,ssrm.v45.inventory_trust.archive.Vell,3,0.668,0.67,0.08,0.08,4,True,True,True
