tick_id,day,route_id,replay_event,state_hash,includes_dialogue_choice,includes_merge_or_rollback,includes_snapshot,includes_body_language,includes_reload_probe,replay_exportable
0,1,riverbend_roofward,riverbend_roofward:river ford:snap2:watchful neutral stance,v32-791189,False,False,True,True,True,True
1,1,roofward_archive,roofward_archive:glass stair:snap2:watchful neutral stance,v32-773096,True,False,True,True,False,True
2,1,archive_signal,archive_signal:paper lane:snap2:relieved reset stance,v32-688919,True,True,True,True,False,True
3,1,signal_orchard,signal_orchard:dusk road:snap2:watchful neutral stance,v32-708827,False,False,True,False,False,True
4,1,orchard_riverbend,orchard_riverbend:fen track:snap1:watchful neutral stance,v32-754187,True,False,False,True,False,True
5,1,central_repair_ring,central_repair_ring:inner repair yard:snap2:relieved reset stance,v32-876226,True,True,True,True,False,True
6,1,riverbend_roofward,riverbend_roofward:orchard ridge detour:snap3:watchful neutral stance,v32-945747,False,True,True,True,False,True
7,1,roofward_archive,roofward_archive:glass stair:snap3:watchful neutral stance,v32-773900,False,False,True,False,False,True
8,1,archive_signal,archive_signal:paper lane:snap2:watchful neutral stance,v32-722324,True,False,False,True,False,True
9,1,signal_orchard,signal_orchard:dusk road:snap2:watchful neutral stance,v32-708318,False,False,False,False,False,True
10,1,orchard_riverbend,orchard_riverbend:market plank route:snap2:watchful neutral stance,v32-907177,False,True,True,True,False,True
11,1,central_repair_ring,central_repair_ring:inner repair yard:snap3:watchful neutral stance,v32-914548,True,False,True,True,False,True
12,1,riverbend_roofward,riverbend_roofward:river ford:snap4:watchful neutral stance,v32-793586,True,True,True,True,False,True
13,1,roofward_archive,roofward_archive:glass stair:snap4:watchful neutral stance,v32-783095,False,False,True,False,False,True
14,2,archive_signal,archive_signal:paper lane:snap3:watchful neutral stance,v32-732231,False,False,True,True,True,True
15,2,signal_orchard,signal_orchard:dusk road:snap2:watchful neutral stance,v32-717554,True,False,False,True,False,True
16,2,orchard_riverbend,orchard_riverbend:fen track:snap3:watchful neutral stance,v32-757669,False,True,True,True,False,True
