tick_id,day,route_id,animation_controls_panel,merge_buttons_panel,snapshot_import_panel,delayed_followup_panel,localstorage_state_panel,avatar_control_surface,save_restore_key,replay_key,visible_boundary_notice
0,1,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0000,True
1,1,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0001,True
2,1,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0002,True
3,1,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0003,True
4,1,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0004,True
5,1,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0005,True
6,1,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0006,True
7,1,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0007,True
8,1,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0008,True
9,1,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0009,True
10,1,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0010,True
11,1,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0011,True
12,2,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0012,True
13,2,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0013,True
14,2,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0014,True
15,2,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0015,True
16,2,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0016,True
17,2,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0017,True
18,2,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0018,True
19,2,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0019,True
20,2,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0020,True
