metric,value
source_live_scene_mutation_continuity,1.0
free_move_input_surface,1.0
avatar_free_move_state_mutation,0.963542
collision_aware_free_move,1.0
proximity_dialogue_trigger_rate,0.936937
prompt_context_accuracy,0.953607
multi_object_inventory_persistence,0.924312
ceremony_inventory_transaction_integrity,0.843305
reload_stable_agent_reaction_state,0.980469
reaction_state_behavior_binding,1.0
local_storage_inventory_snapshot_integrity,0.937934
save_restore_inventory_integrity,0.901515
held_object_owner_boundary,0.817708
visible_dialogue_inventory_surface,0.981771
multi_sensory_free_move_binding,0.971354
comfort_pain_free_move_bounds,1.0
privacy_safe_reaction_state,1.0
replay_free_move_integrity,0.960399
frequency_flower_free_move_rhythm,1.0
browser_world_v22_surface_available,1.0
mean_free_move_channel_score,0.958643
weakest_channel_score,0.817708
browser_world_v22_free_move_inventory_reaction_readiness,0.89945
proximity_prompt_eligible_count,333.0
reload_probe_count,132.0
active_inventory_transaction_count,351.0
