phase,seed,crisis_count,first_crisis_hour,last_crisis_hour,profile_sequence
train,20260911,7,14.837,87.626,quarantine_rumor;contaminated_water_trust;quarantine_rumor;route_migration_dispute;contaminated_water_trust;route_migration_dispute;contaminated_water_trust
train,20260912,6,13.447,78.823,contaminated_water_trust;quarantine_rumor;route_migration_dispute;quarantine_rumor;contaminated_water_trust;storm_shelter_coordination
train,20260913,6,17.43,85.03,storm_shelter_coordination;contaminated_water_trust;route_migration_dispute;quarantine_rumor;storm_shelter_coordination;contaminated_water_trust
train,20260914,7,16.0,86.127,contaminated_water_trust;quarantine_rumor;contaminated_water_trust;quarantine_rumor;storm_shelter_coordination;quarantine_rumor;route_migration_dispute
train,20260915,6,15.614,85.077,storm_shelter_coordination;quarantine_rumor;route_migration_dispute;storm_shelter_coordination;quarantine_rumor;route_migration_dispute
train,20260916,6,17.318,85.764,storm_shelter_coordination;route_migration_dispute;contaminated_water_trust;route_migration_dispute;quarantine_rumor;route_migration_dispute
tune,20261111,6,17.291,81.495,quarantine_rumor;contaminated_water_trust;storm_shelter_coordination;quarantine_rumor;storm_shelter_coordination;contaminated_water_trust
tune,20261112,5,13.997,73.905,contaminated_water_trust;route_migration_dispute;quarantine_rumor;contaminated_water_trust;quarantine_rumor
tune,20261113,5,14.44,72.786,route_migration_dispute;quarantine_rumor;storm_shelter_coordination;quarantine_rumor;route_migration_dispute
eval,20261121,6,15.985,77.641,quarantine_rumor;storm_shelter_coordination;quarantine_rumor;storm_shelter_coordination;quarantine_rumor;contaminated_water_trust
eval,20261122,5,15.283,77.612,storm_shelter_coordination;quarantine_rumor;contaminated_water_trust;route_migration_dispute;storm_shelter_coordination
eval,20261123,6,17.134,87.749,storm_shelter_coordination;contaminated_water_trust;quarantine_rumor;route_migration_dispute;quarantine_rumor;route_migration_dispute
eval,20261124,6,15.12,82.375,quarantine_rumor;contaminated_water_trust;route_migration_dispute;storm_shelter_coordination;contaminated_water_trust;quarantine_rumor
eval,20261125,6,13.72,79.563,contaminated_water_trust;route_migration_dispute;storm_shelter_coordination;quarantine_rumor;contaminated_water_trust;storm_shelter_coordination
