tick,layer,agent_id,target,action,public_signal,body_language,task_effect,relationship_effect,routine_effect,frequency_hz,flower_node
1,dialogue,fayen,roka,care_check,"Do you want my hands near the reed bundle, or should I stay at the blue stone?",care without intrusion,reed mat bundle,Roka records Fayen asked before approaching learner work.,dialogue happens inside local routine cadence,199.256,3
1,dialogue,roka,fayen,bounded_answer,"Blue stone first. Then I can show the loose reeds, not the tied ones.",boundary held but not panic,reed mat bundle,Fayen records the difference between loose reeds and tied bundle.,dialogue happens inside local routine cadence,211.048,4
1,group_routine,routine-dawn-breath,"fayen,ariq,nian,roka,noro",opening,"cold blue air, low bell, damp reed smell",shared count finishes,align bodies before work claims,Everyone knows which tools are public before work begins.,participation 1.00; recovery 1.00,169.0,3
2,dialogue,ariq,noro,coordination_request,"If the bridge stone moves now, which timber debt becomes visible?",urgent but accountable,flat bridge stone,Noro records Ariq asked before moving weight.,dialogue happens inside local routine cadence,221.94,5
2,dialogue,noro,ariq,ledger_answer,"One public knot for the cart path, no household reason in the entry.",ledger boundary active,knot ledger,Ariq records that ledger help can protect privacy.,dialogue happens inside local routine cadence,233.982,6
3,dialogue,fayen,nian,repair_ack,Posture signal only. I will not name what is sealed.,softened repair,care bell,Nian records pre-emptive privacy repair.,dialogue happens inside local routine cadence,256.713,8
3,dialogue,nian,fayen,privacy_translation,"Say the care bell is for posture, not pain. The difference matters.",boundary precise,care bell,Fayen records the public wording boundary.,dialogue happens inside local routine cadence,245.739,7
4,conflict_repair,conflict-stone-crowd,"ariq,roka",repaired,I moved too close. I will mark before I lift.,repair line must be paired with visible slowing or distance change,chalk arc and public wait,Roka watches Ariq's hands instead of stepping back immediately,crowding without notice,314.0,7
4,cooperative_task,task-bridge-chalk,"ariq,roka,noro",complete,chalk arc appears around child-work lane,task output is visible in object placement,completion 0.92; coordination 0.88,Roka remembers Ariq marked space before lifting.,"ledger timing, reed lane consent",259.25,5
4,dialogue,ariq,roka,correction_accept,I hear it. I will mark a chalk arc before lifting.,pride regulated,chalk arc,Roka records that Ariq accepted correction in public.,dialogue happens inside local routine cadence,280.772,10
4,dialogue,roka,ariq,work_boundary,Your smaller stone is still close to my knee path.,guarded warning,small bridge stone,Ariq records a second distance warning.,dialogue happens inside local routine cadence,267.854,9
4,group_routine,routine-midday-water,"fayen,roka,ariq",care,"warm stone, herb shade smell, cup clink",bell delay accepted,prevent repair urgency from eating rest,Ariq can resume without losing face.,participation 0.80; recovery 0.82,202.0,5
5,conflict_repair,conflict-ledger-privacy,"noro,nian",repaired,"I can name the flap and digest, not the body.",repair line must be paired with visible slowing or distance change,object-only ledger grammar,Nian lets Noro post the public knot,privacy exposure risk,326.0,8
5,cooperative_task,task-care-bell,"fayen,nian,ariq",complete,bell rings before heavy movement,task output is visible in object placement,completion 0.86; coordination 0.91,Ariq remembers care timing did not shame him.,"sealed care wording, repair timing",274.5,6
5,dialogue,nian,noro,consent_rule,"Yes, if it names the object, not the body.",consent with boundary,archive flap,Noro records the safe ledger grammar.,dialogue happens inside local routine cadence,302.524,12
5,dialogue,noro,nian,boundary_check,Can the ledger say sealed-care digest without exposing the name?,permission seeking,archive flap,Nian records that Noro asked before public entry.,dialogue happens inside local routine cadence,291.164,11
6,dialogue,ariq,fayen,timed_agreement,"After the bell. If the stone sounds hollow, I call Noro first.",no explicit body marker,bridge stone,Fayen records that Ariq can slow without losing face.,dialogue happens inside local routine cadence,326.106,2
6,dialogue,fayen,ariq,care_repair_balance,"Lift after the bell, not before. I am not stopping the repair.",slow-hands command,bridge stone,Ariq records care as timing help rather than blame.,dialogue happens inside local routine cadence,313.883,1
6,group_routine,routine-rain-slow,"fayen,roka,noro",interruption,"rain rattle, wet cloth, fast breath",slow-hands call partially contains it,contain weather hurry,"One partial task remains, but no one is blamed for rain.",participation 0.75; recovery 0.68,235.0,7
7,cooperative_task,task-shade-ledger,"fayen,noro,nian",partial,two shade beams installed; debt knot remains,task output is visible in object placement,completion 0.64; coordination 0.72,Fayen remembers timber help still carries public debt.,"archive privacy rule, timber debt",289.75,7
8,conflict_repair,conflict-shade-debt,"fayen,noro",partial,I can accept two beams if the next review is public.,repair line must be paired with visible slowing or distance change,partial debt remains with review promise,Fayen checks the timber board before asking again,resource debt,338.0,9
8,conflict_repair,conflict-weather-hurry,"fayen,roka,noro",repaired,We slow the hands before we save the bundles.,repair line must be paired with visible slowing or distance change,slow-bell routine and distance reset,Roka returns after the bell instead of leaving the scene,contagion hurry,350.0,10
8,cooperative_task,task-reed-drying,"roka,fayen,ariq",complete,loose reeds dry without moving tied bundle,task output is visible in object placement,completion 0.81; coordination 0.80,Group remembers partial no can coexist with useful work.,"wet route, bridge chalk, learner boundary",305.0,8
9,cooperative_task,task-evening-knot,"noro,nian,fayen,ariq",complete,public debts close except shade timber,task output is visible in object placement,completion 0.89; coordination 0.84,Noro records object trail without private body detail.,all public debts and sealed digests,320.25,9
9,group_routine,routine-evening-knot,"noro,nian,fayen,ariq,roka",closure,"smoke thread, knot board tap, low voices",public carry-forward knot,close public debts and repair small wounds,The remaining debt is visible without exposing private care detail.,participation 1.00; recovery 0.86,268.0,9
