scenario,scenario_name,pressure,condition,policy_name,mean_reward,mean_survival_fraction,mean_resources_collected,commitment_completion_rate,mean_hazards_hit,mean_tools_built,mean_tool_reads,tool_follow_rate,mean_uncertainty,external_memory_recovery_rate
0,visible_resource_control,visible resources with no external-memory pressure,no_tool_baseline,no_tool_baseline,143.97262445907734,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.7285262345679012,0.0
0,visible_resource_control,visible resources with no external-memory pressure,selected_tool_access,no_tool_baseline,143.97262445907734,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.7285262345679012,0.0
0,visible_resource_control,visible resources with no external-memory pressure,selected_tool_ablation,no_tool_baseline,143.97262445907734,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.7285262345679012,0.0
0,visible_resource_control,visible resources with no external-memory pressure,tool_spam_control,tool_spam_control,133.2639269099118,1.0,4.0,0.0,0.0,18.0,1882.7916666666667,0.0,0.1929647266313933,0.0
1,hidden_route_marking,resource and shelter route must be externalized under low visibility,no_tool_baseline,no_tool_baseline,36.083322698486995,0.9972222222222222,0.1111111111111111,0.041666666666666664,0.0,0.0,0.0,0.0,0.8485382536145838,0.0
1,hidden_route_marking,resource and shelter route must be externalized under low visibility,selected_tool_access,shelter_resource_beacons,79.88053029598758,0.9355092592592593,1.0,0.5555555555555556,0.0,3.0277777777777777,539.375,0.16310315729743494,0.6309656879925033,1.0
1,hidden_route_marking,resource and shelter route must be externalized under low visibility,selected_tool_ablation,shelter_resource_beacons,43.01375684452543,0.9961111111111111,0.3055555555555556,0.06944444444444445,0.0,0.0,0.0,0.0,0.8561002505517299,0.0
1,hidden_route_marking,resource and shelter route must be externalized under low visibility,tool_spam_control,tool_spam_control,44.65821917231316,0.9991666666666666,0.8333333333333334,0.041666666666666664,0.0,18.0,2718.4444444444443,0.04413132291744705,0.5193344832630177,1.0
2,degraded_sensor_alarms,hazards become hard to perceive after sensor degradation,no_tool_baseline,no_tool_baseline,33.82589994784564,1.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.7906394812304929,0.0
2,degraded_sensor_alarms,hazards become hard to perceive after sensor degradation,selected_tool_access,sparse_cache_beacon,76.07046143785323,1.0,1.5694444444444444,0.0,0.0,2.486111111111111,313.72222222222223,0.11901165856398481,0.6407476180910833,1.0
2,degraded_sensor_alarms,hazards become hard to perceive after sensor degradation,selected_tool_ablation,sparse_cache_beacon,33.850012753355806,1.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.8129331065489132,0.0
2,degraded_sensor_alarms,hazards become hard to perceive after sensor degradation,tool_spam_control,tool_spam_control,41.64566702543358,1.0,0.7777777777777778,0.0,0.0,18.0,2351.2916666666665,0.04361173483131681,0.47893743386243387,1.0
3,interruption_option_recovery,memory interruption forces external route continuity and option recovery,no_tool_baseline,no_tool_baseline,-29.40221382488393,1.0,0.18055555555555555,0.0,0.0,0.0,0.0,0.0,0.8068644803995322,0.0
3,interruption_option_recovery,memory interruption forces external route continuity and option recovery,selected_tool_access,candidate_132,34.87682176208132,1.0,2.7916666666666665,0.0,0.0,10.222222222222221,1180.4583333333333,0.04414846197514281,0.5842943100264153,1.0
3,interruption_option_recovery,memory interruption forces external route continuity and option recovery,selected_tool_ablation,candidate_132,-25.3395550950832,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.8213126067648207,0.0
3,interruption_option_recovery,memory interruption forces external route continuity and option recovery,tool_spam_control,tool_spam_control,-27.43947438105523,1.0,0.625,0.0,0.0,18.0,2929.1944444444443,0.03190573056381783,0.5216566358024691,1.0
4,energy_cache_limit_control,energy-cache affordance is available but not yet useful enough to count,no_tool_baseline,no_tool_baseline,11.012472981793263,0.9870833333333332,1.0138888888888888,0.16666666666666666,0.0,0.0,0.0,0.0,0.6711207819507485,0.0
4,energy_cache_limit_control,energy-cache affordance is available but not yet useful enough to count,selected_tool_access,no_tool_baseline,11.012472981793263,0.9870833333333332,1.0138888888888888,0.16666666666666666,0.0,0.0,0.0,0.0,0.6711207819507485,0.0
4,energy_cache_limit_control,energy-cache affordance is available but not yet useful enough to count,selected_tool_ablation,no_tool_baseline,11.012472981793263,0.9870833333333332,1.0138888888888888,0.16666666666666666,0.0,0.0,0.0,0.0,0.6711207819507485,0.0
4,energy_cache_limit_control,energy-cache affordance is available but not yet useful enough to count,tool_spam_control,tool_spam_control,-25.19721402477392,1.0,0.6527777777777778,0.0,0.0,18.0,3120.9166666666665,0.03251605602232075,0.3364712962962963,0.0
