tick,day,scene_id,input_mode,avatar_x_before,avatar_y_before,avatar_x_after,avatar_y_after,raw_dx,raw_dy,movement_effort,movement_applied,collision_blocked,collision_feedback_visible,free_move_input_valid
0,1,v22-scene-d01,slow-step,6.05,4.05,6.232151,4.160095,0.182151,0.110095,0.462691,1,0,1,1
1,1,v22-scene-d01,slow-step,6.232151,4.160095,6.371006,4.344048,0.138855,0.183953,0.501036,1,0,1,1
2,1,v22-scene-d01,diagonal-stick,6.371006,4.344048,6.371006,4.344048,0.073486,0.278211,0.765548,0,1,1,1
3,1,v22-scene-d01,slow-step,6.371006,4.344048,6.371006,4.344048,-0.03318,0.232404,0.650349,0,1,1,1
4,1,v22-scene-d01,hold-space,6.371006,4.344048,6.340882,4.388914,-0.030124,0.044866,0.117479,1,0,1,1
5,1,v22-scene-d01,hold-space,6.340882,4.388914,6.294706,4.412629,-0.046176,0.023715,0.112847,1,0,1,1
6,1,v22-scene-d01,mouse-drag,6.294706,4.412629,6.029017,4.393299,-0.265689,-0.019331,0.579112,1,0,1,1
7,1,v22-scene-d01,hold-space,6.029017,4.393299,5.984014,4.361696,-0.045002,-0.031602,0.119544,1,0,1,1
8,1,v22-scene-d01,diagonal-stick,5.984014,4.361696,5.84627,4.095042,-0.137745,-0.266654,0.652457,1,0,1,1
9,1,v22-scene-d01,touch-arc,5.84627,4.095042,5.842288,3.823579,-0.003982,-0.271463,0.590201,1,0,1,1
10,1,v22-scene-d01,analog-drift,5.842288,3.823579,5.971774,3.514443,0.129486,-0.309136,0.728606,1,0,1,1
11,1,v22-scene-d01,diagonal-stick,5.971774,3.514443,6.215018,3.281197,0.243244,-0.233246,0.732616,1,0,1,1
12,1,v22-scene-d01,wasd,6.215018,3.281197,6.473324,3.181572,0.258305,-0.099625,0.601852,1,0,1,1
13,1,v22-scene-d01,wasd,6.473324,3.181572,6.473324,3.181572,0.257179,0.015813,0.700141,0,1,1,1
14,1,v22-scene-d01,wasd,6.473324,3.181572,6.473324,3.181572,0.203213,0.118912,0.651843,0,1,1,1
15,1,v22-scene-d01,slow-step,6.473324,3.181572,6.473324,3.181572,0.11025,0.186806,0.61155,0,1,1,1
16,2,v22-scene-d02,wasd,6.473324,3.181572,6.418731,3.438163,-0.054592,0.256591,0.570293,1,0,1,1
17,2,v22-scene-d02,diagonal-stick,6.418731,3.438163,6.243181,3.659759,-0.17555,0.221596,0.614577,1,0,1,1
18,2,v22-scene-d02,slow-step,6.243181,3.659759,6.063346,3.74975,-0.179835,0.089992,0.437163,1,0,1,1
19,2,v22-scene-d02,mouse-drag,6.063346,3.74975,5.841231,3.723703,-0.222115,-0.026048,0.486168,1,0,1,1
