tick,day,slot,resident,room,schedule_state,need_state,debt_focus,project_progress,offscreen,schedule_changed_by_avatar,agency_preserved
0,1,0,Sera,west hearth,negotiate debt,steady,water carry,0.052483,False,False,True
1,1,1,Tovan,river gate,seek tool,wet,repair promise,0.094556,False,True,True
2,1,2,Nia,arrival court,private task,focused,missed greeting,0.097948,False,True,True
3,1,3,Ari,tool alcove,private task,relieved,care favor,0.059539,False,True,True
4,1,4,Fay,rain court,work,tired,route warning,0.0,False,True,False
5,1,5,Milo,fiber loft,work,hungry,tool loan,0.018,True,False,True
6,1,6,Sera,west hearth,rest,guarded,water carry,0.038512,False,True,True
7,1,7,Tovan,river gate,negotiate debt,steady,repair promise,0.085332,False,False,True
8,1,8,Nia,arrival court,seek tool,wet,missed greeting,0.101951,False,False,True
9,1,9,Ari,tool alcove,care duty,focused,care favor,0.073089,False,True,True
10,1,10,Fay,rain court,recover focus,relieved,route warning,0.025282,False,True,True
11,1,11,Milo,fiber loft,recover focus,tired,tool loan,0.018,False,True,True
12,1,12,Sera,west hearth,rest,hungry,water carry,0.0,False,True,False
13,1,13,Tovan,river gate,rest,guarded,repair promise,0.073491,True,False,True
14,1,14,Nia,arrival court,negotiate debt,steady,missed greeting,0.102013,False,True,True
15,1,15,Ari,tool alcove,seek tool,wet,care favor,0.084997,False,False,True
16,1,16,Fay,rain court,care duty,focused,route warning,0.038088,False,False,True
17,1,17,Milo,fiber loft,private task,relieved,tool loan,0.018,False,True,True
18,2,0,Sera,river gate,work,focused,repair promise,0.086966,False,True,True
19,2,1,Tovan,arrival court,negotiate debt,relieved,missed greeting,0.099039,False,True,True
20,2,2,Nia,tool alcove,negotiate debt,tired,care favor,0.13243,True,False,True
21,2,3,Ari,rain court,seek tool,hungry,route warning,0.094022,False,True,True
22,2,4,Fay,fiber loft,care duty,guarded,tool loan,0.049125,False,False,True
23,2,5,Milo,west hearth,private task,steady,water carry,0.039019,False,False,True
24,2,6,Sera,river gate,recover focus,wet,repair promise,0.072995,False,True,True
25,2,7,Tovan,arrival court,rest,focused,missed greeting,0.119815,False,True,True
26,2,8,Nia,tool alcove,rest,relieved,care favor,0.136433,False,True,True
27,2,9,Ari,rain court,seek tool,tired,route warning,0.077571,False,True,True
28,2,10,Fay,fiber loft,seek tool,hungry,tool loan,0.059764,True,False,True
29,2,11,Milo,west hearth,care duty,guarded,water carry,0.036966,False,True,True
30,2,12,Sera,river gate,private task,steady,repair promise,0.060137,False,False,True
31,2,13,Tovan,arrival court,recover focus,wet,missed greeting,0.107974,False,False,True
32,2,14,Nia,tool alcove,work,focused,care favor,0.136496,False,True,True
