tick,day,hour,avatar_mode,lineage,agent,place,autonomous_action,routine_phase,avatar_required,action_reason,sound_rate,smell_intensity,temperature,wetness,ceremony_pulse_hz,flower_phase_deg,tick_hash
1,1,6,absent_saved,Hearthline,Sova,Hearth Archive,work_project,morning,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=absent_saved.",0.355544,0.288583,0.606188,0.143049,2.31,209.637764,cd63632d262a5fe0
2,1,7,absent_saved,Routeline,Keth,Gate Ring,work_project,morning,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=absent_saved.",0.36102,0.288967,0.514435,0.149453,2.17,343.925528,ebbda5095a48714d
3,1,8,idle_nearby,Marketline,Melo,Market Measure,agent_checkin,morning,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=idle_nearby.",0.48636,0.28854,0.507346,0.14234,2.47,128.333292,17e31e494652f0cf
4,1,9,present_passive,Ledgerline,Nari,Hearth Archive,maintain_tool,morning,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=present_passive.",0.371498,0.469268,0.501864,0.154469,2.06,256.411056,8b06a530911e5341
5,1,10,absent_saved,Orchardline,Ori,Ceremony Center,share_resource,midday,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=absent_saved.",0.376371,0.470812,0.499109,0.1802,2.4,41.73882,5d4735ea7e7b39fd
6,1,11,present_passive,Rainline,Vonn,Rainwalk Threshold,maintain_tool,midday,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=present_passive.",0.380918,0.484639,0.476111,0.410649,2.12,172.806584,fd8a9d31bb774973
7,1,12,idle_nearby,Hearthline,Sova,Hearth Archive,boundary_review,midday,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=idle_nearby.",0.385085,0.29058,0.592695,0.176327,2.31,314.684348,a32fc4bcc70be5a7
8,1,13,absent_saved,Routeline,Keth,Gate Ring,boundary_review,midday,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=absent_saved.",0.388819,0.29212,0.520958,0.202003,2.17,88.972112,7f9fdf9b6b5fa9b4
9,1,14,absent_saved,Marketline,Melo,Market Measure,weather_watch,midday,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=absent_saved.",0.392074,0.292385,0.533402,0.206417,2.47,233.379876,568f8273d815ab18
10,1,15,idle_nearby,Ledgerline,Nari,Hearth Archive,archive_update,evening,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=idle_nearby.",0.39481,0.292403,0.546541,0.206716,2.06,1.45764,dd0909e5e7f9e374
