tick_id,day,settlement_id,snapshot_key,reload_index,schedule_count,active_loan_count,role_count,forgiveness_arc_count,debt_hook_count,checksum,restored_schedule_visible,restored_loans_visible,restored_roles_visible,restored_forgiveness_visible,restored_debt_hooks_visible,replay_exportable
0,1,roofward,ssrm.v46.snapshot.roofward.1.0,1,1,4,4,1,1,v46-845405,True,True,True,True,True,True
17,1,riverbend,ssrm.v46.snapshot.riverbend.1.17,1,3,4,4,1,1,v46-919160,True,True,True,True,True,True
18,2,archive,ssrm.v46.snapshot.archive.2.0,1,4,4,4,0,3,v46-785822,True,True,True,True,True,True
35,2,roofward,ssrm.v46.snapshot.roofward.2.17,2,6,4,4,4,5,v46-881249,True,True,True,True,True,True
36,3,signal,ssrm.v46.snapshot.signal.3.0,1,7,4,4,4,3,v46-742797,True,True,True,True,True,True
41,3,archive,ssrm.v46.snapshot.archive.3.5,2,7,4,4,1,5,v46-793074,True,True,True,True,True,True
53,3,archive,ssrm.v46.snapshot.archive.3.17,3,9,4,4,2,6,v46-820614,True,True,True,True,True,True
54,4,orchard,ssrm.v46.snapshot.orchard.4.0,1,10,4,4,5,8,v46-816239,True,True,True,True,True,True
71,4,signal,ssrm.v46.snapshot.signal.4.17,2,12,4,4,5,7,v46-796849,True,True,True,True,True,True
72,5,repair_ring,ssrm.v46.snapshot.repair_ring.5.0,1,13,4,4,6,7,v46-027841,True,True,True,True,True,True
82,5,signal,ssrm.v46.snapshot.signal.5.10,3,14,4,4,5,8,v46-816214,True,True,True,True,True,True
89,5,orchard,ssrm.v46.snapshot.orchard.5.17,2,15,4,4,7,11,v46-870437,True,True,True,True,True,True
90,6,riverbend,ssrm.v46.snapshot.riverbend.6.0,2,16,4,4,8,8,v46-950836,True,True,True,True,True,True
107,6,repair_ring,ssrm.v46.snapshot.repair_ring.6.17,2,18,4,4,9,11,v46-103045,True,True,True,True,True,True
108,7,roofward,ssrm.v46.snapshot.roofward.7.0,3,19,4,4,9,15,v46-932740,True,True,True,True,True,True
123,7,orchard,ssrm.v46.snapshot.orchard.7.15,3,21,4,4,10,15,v46-913709,True,True,True,True,True,True
125,7,riverbend,ssrm.v46.snapshot.riverbend.7.17,3,21,4,4,9,12,v46-000961,True,True,True,True,True,True
126,8,archive,ssrm.v46.snapshot.archive.8.0,4,22,4,4,8,13,v46-865669,True,True,True,True,True,True
143,8,roofward,ssrm.v46.snapshot.roofward.8.17,4,24,4,4,12,18,v46-983385,True,True,True,True,True,True
144,9,signal,ssrm.v46.snapshot.signal.9.0,4,25,4,4,7,17,v46-823483,True,True,True,True,True,True
161,9,archive,ssrm.v46.snapshot.archive.9.17,5,27,4,4,10,17,v46-920577,True,True,True,True,True,True
162,10,orchard,ssrm.v46.snapshot.orchard.10.0,4,28,4,4,14,18,v46-917735,True,True,True,True,True,True
164,10,riverbend,ssrm.v46.snapshot.riverbend.10.2,4,28,4,4,10,18,v46-024522,True,True,True,True,True,True
179,10,signal,ssrm.v46.snapshot.signal.10.17,5,30,4,4,9,20,v46-868633,True,True,True,True,True,True
180,11,repair_ring,ssrm.v46.snapshot.repair_ring.11.0,3,31,4,4,15,21,v46-122768,True,True,True,True,True,True
197,11,orchard,ssrm.v46.snapshot.orchard.11.17,5,33,4,4,15,22,v46-939593,True,True,True,True,True,True
198,12,riverbend,ssrm.v46.snapshot.riverbend.12.0,5,34,4,4,11,22,v46-019090,True,True,True,True,True,True
205,12,roofward,ssrm.v46.snapshot.roofward.12.7,5,35,4,4,18,24,v46-982942,True,True,True,True,True,True
215,12,repair_ring,ssrm.v46.snapshot.repair_ring.12.17,4,36,4,4,18,24,v46-154206,True,True,True,True,True,True
216,13,roofward,ssrm.v46.snapshot.roofward.13.0,6,37,4,4,19,25,v46-982985,True,True,True,True,True,True
233,13,riverbend,ssrm.v46.snapshot.riverbend.13.17,6,39,4,4,13,25,v46-053840,True,True,True,True,True,True
234,14,archive,ssrm.v46.snapshot.archive.14.0,6,40,4,4,16,27,v46-916314,True,True,True,True,True,True
246,14,archive,ssrm.v46.snapshot.archive.14.12,7,42,4,4,17,29,v46-945594,True,True,True,True,True,True
251,14,roofward,ssrm.v46.snapshot.roofward.14.17,7,42,4,4,20,29,v46-009334,True,True,True,True,True,True
252,15,signal,ssrm.v46.snapshot.signal.15.0,6,43,4,4,15,27,v46-870602,True,True,True,True,True,True
269,15,archive,ssrm.v46.snapshot.archive.15.17,8,45,4,4,18,30,v46-947442,True,True,True,True,True,True
270,16,orchard,ssrm.v46.snapshot.orchard.16.0,6,46,4,4,18,32,v46-918623,True,True,True,True,True,True
287,16,signal,ssrm.v46.snapshot.signal.16.17,7,48,4,4,18,31,v46-902176,True,True,True,True,True,True
288,17,repair_ring,ssrm.v46.snapshot.repair_ring.17.0,5,49,4,4,24,31,v46-128586,True,True,True,True,True,True
305,17,orchard,ssrm.v46.snapshot.orchard.17.17,7,51,4,4,19,35,v46-948367,True,True,True,True,True,True
