tick,day,public_state,avatar_state,agent_focus,ceremony_marker,lineage_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
1,1,day 1 tick 1: avatar at Outer Quiet; ceremony phase outer_wait; gate entry_timing=0.99,cmd=wait; energy=0.92; breath=0.25; boundary=clear,Sova/Hearthline: public explanation,entry-allowed,"Hearthline offers public history: token lum-ori, branch hearthline-lum-84, technology hearth ceramics.",sound=distant bell harmonics; smell=cold clay and rain fern; temp=0.52; wet=0.18; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,43d8f339120aa08bbb
2,1,day 1 tick 2: avatar at Gate Ring; ceremony phase boundary_recital; gate movement_boundary=1.00,cmd=forward; energy=0.91; breath=0.26; boundary=clear,Keth/Routeline: public explanation,entry-allowed,"Routeline offers public history: token tek-nari, branch routeline-tek-84, technology stone bridge joints.",sound=six lineage pulses; smell=stone dust and warm oil; temp=0.56; wet=0.22; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,e0b6db2cd37c8fe540
3,1,day 1 tick 3: avatar at Market Measure; ceremony phase public_history; gate lineage_history=1.00,cmd=right; energy=0.89; breath=0.25; boundary=clear,Melo/Marketline: conditional welcome,entry-held-for-care,"Marketline offers public history: token melo-keth, branch marketline-melo-84, technology measure weights.",sound=measured token clicks; smell=grain chalk and bright copper; temp=0.61; wet=0.12; pulse=2.06Hz,False,ssrm248_browser_world_v8_entry,8d0894070405b2c663
4,1,day 1 tick 4: avatar at Rainwalk Threshold; ceremony phase market_witness; gate exchange_safety=1.00,cmd=forward; energy=0.88; breath=0.29; boundary=clear,Nari/Ledgerline: firm boundary,entry-allowed,"Ledgerline offers public history: token nari-vonn, branch ledgerline-vonn-84, technology seed ledgers.",sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.47Hz,False,ssrm248_browser_world_v8_entry,7d7a46a4ac1f0853ff
5,1,day 1 tick 5: avatar at Rainwalk Threshold; ceremony phase rain_permission; gate weather_boundary=1.00,cmd=inspect; energy=0.87; breath=0.29; boundary=clear,Ori/Orchardline: teaching,entry-allowed,"Orchardline offers public history: token lum-melo, branch orchardline-lum-84, technology water terraces.",sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,5e735e4d7145383455
6,1,day 1 tick 6: avatar at Rainwalk Threshold; ceremony phase care_pause; gate fatigue_pause=0.98,cmd=left; energy=0.85; breath=0.29; boundary=clear,Vonn/Rainline: softening repair,entry-allowed,"Rainline offers public history: token sova-vonn, branch rainline-sova-84, technology weather bells.",sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.40Hz,False,ssrm248_browser_world_v8_entry,4244e37940f6640d5f
7,1,day 1 tick 7: avatar at Ceremony Center; ceremony phase shared_token; gate safe_greeting=0.98,cmd=forward; energy=0.84; breath=0.27; boundary=clear,Sova/Hearthline: public explanation,entry-allowed,"Hearthline offers public history: token lum-ori, branch hearthline-lum-84, technology hearth ceramics.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,898714c8a3b78e47b1
8,1,day 1 tick 8: avatar at Ceremony Center; ceremony phase rollback_vow; gate rollback_path=0.97,cmd=ask; energy=0.83; breath=0.27; boundary=clear,Keth/Routeline: conditional welcome,entry-allowed,"Routeline offers public history: token tek-nari, branch routeline-tek-84, technology stone bridge joints.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,782c05a9204564f469
9,1,day 1 tick 9: avatar at Ceremony Center; ceremony phase entry_allowed; gate final_entry=0.96,cmd=offer_help; energy=0.82; breath=0.27; boundary=clear,Melo/Marketline: firm boundary,entry-held-for-care,"Marketline offers public history: token melo-keth, branch marketline-melo-84, technology measure weights.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,f55ad131ea75d0aacc
10,1,day 1 tick 10: avatar at Rainwalk Threshold; ceremony phase outer_wait; gate entry_timing=0.99,cmd=back; energy=0.81; breath=0.30; boundary=clear,Nari/Ledgerline: public explanation,entry-allowed,"Ledgerline offers public history: token nari-vonn, branch ledgerline-vonn-84, technology seed ledgers.",sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,08d3b22ff0ca30a670
11,1,day 1 tick 11: avatar at Ceremony Center; ceremony phase boundary_recital; gate movement_boundary=1.00,cmd=forward; energy=0.79; breath=0.28; boundary=clear,Ori/Orchardline: public explanation,entry-allowed,"Orchardline offers public history: token lum-melo, branch orchardline-lum-84, technology water terraces.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,c26d32a0068cd5bc42
12,1,day 1 tick 12: avatar at Ceremony Center; ceremony phase public_history; gate lineage_history=1.00,cmd=ceremony; energy=0.78; breath=0.28; boundary=clear,Vonn/Rainline: public explanation,entry-held-for-care,"Rainline offers public history: token sova-vonn, branch rainline-sova-84, technology weather bells.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.06Hz,False,ssrm248_browser_world_v8_entry,5f4ed95b4dcc7df35d
13,1,day 1 tick 13: avatar at Ceremony Center; ceremony phase market_witness; gate exchange_safety=1.00,cmd=wait; energy=0.79; breath=0.28; boundary=clear,Sova/Hearthline: conditional welcome,entry-allowed,"Hearthline offers public history: token lum-ori, branch hearthline-lum-84, technology hearth ceramics.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.47Hz,False,ssrm248_browser_world_v8_entry,448b59df85a1a3ddeb
14,1,day 1 tick 14: avatar at Ceremony Center; ceremony phase rain_permission; gate weather_boundary=1.00,cmd=forward; energy=0.77; breath=0.28; boundary=clear,Keth/Routeline: firm boundary,entry-allowed,"Routeline offers public history: token tek-nari, branch routeline-tek-84, technology stone bridge joints.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,466ba7e5bcf48a175e
15,1,day 1 tick 15: avatar at Ceremony Center; ceremony phase care_pause; gate fatigue_pause=0.98,cmd=right; energy=0.76; breath=0.29; boundary=clear,Melo/Marketline: teaching,entry-allowed,"Marketline offers public history: token melo-keth, branch marketline-melo-84, technology measure weights.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.40Hz,False,ssrm248_browser_world_v8_entry,33479b81af78c38779
16,1,day 1 tick 16: avatar at Ceremony Center; ceremony phase shared_token; gate safe_greeting=0.98,cmd=forward; energy=0.74; breath=0.29; boundary=clear,Nari/Ledgerline: softening repair,entry-allowed,"Ledgerline offers public history: token nari-vonn, branch ledgerline-vonn-84, technology seed ledgers.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,579d74e39a361cf7e6
