tick,day,scene_id,agent,trust_before,trust_after,access_before,access_after,unresolved_debt,compounding_applied,repair_restored_access,trust_access_score
0,1,v24-scene-d01,Ori,0.588,0.618,open,conditional,0,0,0,1.0
1,1,v24-scene-d01,Nari,0.606,0.606,open,conditional,0,0,0,1.0
2,1,v24-scene-d01,Ori,0.618,0.618,conditional,conditional,1,1,0,1.0
3,1,v24-scene-d01,Nari,0.606,0.636,conditional,conditional,0,0,1,1.0
4,1,v24-scene-d01,Ori,0.618,0.648,conditional,open,0,0,1,1.0
5,1,v24-scene-d01,Ori,0.648,0.648,open,open,0,0,0,1.0
6,1,v24-scene-d01,Sova,0.66,0.69,open,open,0,0,0,1.0
7,1,v24-scene-d01,Nari,0.636,0.636,conditional,conditional,1,1,0,1.0
8,1,v24-scene-d01,Melo,0.624,0.654,open,open,0,0,0,1.0
9,1,v24-scene-d01,Keth,0.642,0.642,open,open,0,0,0,1.0
10,1,v24-scene-d01,Melo,0.654,0.684,open,open,0,0,0,1.0
11,1,v24-scene-d01,Ori,0.648,0.678,open,open,0,0,0,1.0
12,1,v24-scene-d01,Vonn,0.57,0.57,open,conditional,1,1,0,1.0
13,1,v24-scene-d01,Ori,0.678,0.678,open,open,0,0,0,1.0
14,1,v24-scene-d01,Ori,0.678,0.708,open,open,0,0,0,1.0
15,1,v24-scene-d01,Keth,0.642,0.672,open,open,0,0,0,1.0
16,1,v24-scene-d01,Sova,0.69,0.698,open,conditional,2,1,0,1.0
17,1,v24-scene-d01,Melo,0.684,0.684,open,open,0,0,0,1.0
18,2,v24-scene-d02,Sova,0.698,0.728,conditional,open,0,0,1,1.0
19,2,v24-scene-d02,Nari,0.636,0.636,conditional,conditional,1,1,0,1.0
20,2,v24-scene-d02,Sova,0.728,0.736,open,conditional,2,1,0,1.0
21,2,v24-scene-d02,Ori,0.708,0.708,open,open,0,0,0,1.0
22,2,v24-scene-d02,Vonn,0.57,0.56,conditional,conditional,2,1,0,1.0
23,2,v24-scene-d02,Keth,0.672,0.68,open,conditional,2,1,0,1.0
24,2,v24-scene-d02,Melo,0.684,0.684,open,conditional,1,1,0,1.0
25,2,v24-scene-d02,Melo,0.684,0.714,conditional,open,0,0,1,1.0
26,2,v24-scene-d02,Nari,0.636,0.666,conditional,open,0,0,1,1.0
27,2,v24-scene-d02,Sova,0.736,0.736,conditional,conditional,2,1,0,1.0
28,2,v24-scene-d02,Melo,0.714,0.744,open,open,0,0,0,1.0
29,2,v24-scene-d02,Sova,0.736,0.766,conditional,open,0,0,1,1.0
